,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.44767, 1.54317]","[0.43049, 1.59402]","[0.16301, 1.71284]","[0.00000, 2.58184]","[0.00000, 2.09337]","[0.00000, 2.34080]","[0.34353, 2.37168]","[0.12876, 2.64858]","[1.06443, 1.39098]","[0.06926, 1.93868]","[0.16605, 1.59608]","[0.70135, 1.11756]"
"[7, 8]","[0.38544, 1.60032]","[0.51984, 1.51758]","[0.12442, 1.75932]","[0.00000, 1.80426]","[0.00000, 2.07495]","[0.11964, 2.26916]","[0.49435, 2.37832]","[0.32345, 2.66537]","[1.00263, 1.64208]","[0.10359, 2.01115]","[0.16703, 1.61752]","[0.69899, 1.10504]"
"[8, 9]","[0.37604, 1.58917]","[0.49464, 1.53660]","[0.13485, 1.77224]","[0.03710, 1.74081]","[0.00000, 2.06390]","[0.10979, 2.23296]","[0.49428, 2.31780]","[0.41971, 2.54079]","[0.89333, 1.77642]","[0.23688, 1.93273]","[0.20048, 1.62394]","[0.70065, 1.10454]"
"[9, 10]","[0.39775, 1.56741]","[0.44456, 1.58719]","[0.22679, 1.68656]","[0.03023, 1.76045]","[0.00000, 1.97963]","[0.15274, 2.20461]","[0.53952, 2.28505]","[0.48634, 2.48675]","[0.72549, 1.95889]","[0.19795, 1.98687]","[0.32516, 1.51085]","[0.58181, 1.22834]"
"[10, 11]","[0.37988, 1.58536]","[0.42808, 1.61194]","[0.18278, 1.73215]","[0.04938, 1.73099]","[0.00000, 1.93072]","[0.19928, 2.16568]","[0.59571, 2.25964]","[0.59986, 2.41231]","[0.63737, 2.07126]","[0.21448, 1.96847]","[0.34515, 1.47251]","[0.57223, 1.22316]"
"[11, 12]","[0.56481, 1.87480]","[0.74061, 1.92603]","[0.42144, 1.97205]","[0.20307, 1.73646]","[0.01144, 1.82132]","[0.19806, 2.06388]","[0.57526, 2.29065]","[0.68473, 2.39174]","[0.40923, 2.26782]","[0.16362, 1.85723]","[0.30097, 1.38906]","[0.52895, 1.40447]"
"[12, 13]","[1.04969, 2.40711]","[1.24062, 2.54797]","[0.96720, 2.53224]","[0.69578, 2.16575]","[0.30684, 2.11229]","[0.33766, 2.13171]","[0.53453, 2.26953]","[0.69602, 2.26415]","[0.53806, 2.17925]","[0.30461, 2.03066]","[0.56789, 1.72187]","[0.97436, 1.79718]"
"[13, 14]","[0.86473, 2.48453]","[0.90371, 2.76638]","[0.81233, 2.70018]","[0.56151, 2.54394]","[0.30858, 2.55282]","[0.58939, 2.37310]","[0.66957, 2.52534]","[0.80168, 2.39129]","[0.54388, 2.29658]","[0.36224, 2.05630]","[0.58294, 1.76076]","[0.66201, 2.09070]"
"[14, 15]","[0.22901, 3.01141]","[0.18825, 3.48687]","[0.27463, 3.31782]","[0.00000, 3.30310]","[0.00000, 3.09037]","[0.40172, 2.56414]","[0.75825, 2.66165]","[0.62968, 3.04917]","[0.00000, 4.07594]","[0.70224, 2.13412]","[0.64455, 1.82044]","[0.08557, 2.57315]"
"[15, 16]","[0.00000, 3.44957]","[0.00000, 3.72196]","[0.00000, 3.64614]","[0.00000, 3.61139]","[0.00000, 3.34268]","[0.57634, 2.34269]","[0.77840, 2.60364]","[0.24369, 3.49328]","[0.00000, 4.52154]","[0.75404, 2.33936]","[0.71855, 1.95732]","[0.00000, 3.01851]"
"[16, 17]","[0.00000, 3.63072]","[0.00000, 3.92106]","[0.00000, 3.97914]","[0.00000, 3.88078]","[0.00000, 3.58477]","[0.56879, 2.20936]","[0.70629, 2.49352]","[0.00000, 4.01344]","[0.00000, 4.25689]","[0.89669, 2.33971]","[0.93121, 1.87433]","[0.00000, 3.20965]"
