,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.29324, 1.82891]","[0.40920, 1.73135]","[0.00000, 1.69384]","[0.00000, 1.19308]","[0.00000, 0.70878]","[0.20535, 0.93509]","[0.00000, 5.46377]","[0.00000, 12.21339]","[0.87614, 1.57593]","[0.00000, 2.21858]","[0.00000, 1.67080]","[0.23263, 1.41855]"
"[7, 8]","[0.28595, 1.78351]","[0.36388, 1.73455]","[0.00000, 1.65511]","[0.00000, 1.20266]","[0.00000, 0.65557]","[0.23153, 1.07435]","[0.00000, 5.90830]","[0.00000, 12.76347]","[0.94179, 1.82019]","[0.00000, 2.29762]","[0.00000, 1.60304]","[0.20870, 1.40845]"
"[8, 9]","[0.28757, 1.75449]","[0.30815, 1.74134]","[0.00000, 1.64772]","[0.00000, 1.26960]","[0.00000, 0.70654]","[0.24590, 1.07519]","[0.00000, 5.88557]","[0.00000, 11.86677]","[0.99883, 1.78728]","[0.00000, 2.20717]","[0.00000, 1.64017]","[0.25775, 1.41143]"
"[9, 10]","[0.27430, 1.71896]","[0.28656, 1.74680]","[0.00000, 1.63569]","[0.00000, 1.34843]","[0.00000, 0.73263]","[0.21914, 1.13012]","[0.00000, 5.89726]","[0.00000, 11.08477]","[0.89490, 1.99917]","[0.00000, 2.34283]","[0.00000, 1.66226]","[0.25053, 1.38331]"
"[10, 11]","[0.30748, 1.72562]","[0.28881, 1.76839]","[0.00000, 1.60913]","[0.00000, 1.36962]","[0.00000, 0.85065]","[0.20252, 1.21988]","[0.00000, 5.91259]","[0.00000, 10.24944]","[0.57007, 2.19396]","[0.00000, 2.39711]","[0.00000, 1.60664]","[0.25198, 1.38500]"
"[11, 12]","[0.44861, 1.85446]","[0.48076, 1.96293]","[0.04259, 1.75640]","[0.00000, 1.47082]","[0.00000, 0.80380]","[0.05040, 1.33046]","[0.00000, 5.87627]","[0.00000, 9.63383]","[0.48648, 2.35522]","[0.00000, 2.34906]","[0.00000, 1.58151]","[0.26195, 1.43829]"
"[12, 13]","[0.36000, 1.76876]","[0.39001, 1.86274]","[0.01572, 1.63470]","[0.00000, 1.42538]","[0.00000, 0.99003]","[0.00000, 1.50367]","[0.00000, 5.51145]","[0.00000, 7.79365]","[0.54527, 2.48247]","[0.00000, 2.48608]","[0.00000, 1.61816]","[0.23726, 1.38217]"
"[13, 14]","[0.34572, 1.74317]","[0.41555, 1.91907]","[0.00000, 1.88004]","[0.00000, 1.54953]","[0.00000, 0.87499]","[0.00000, 1.64007]","[0.00000, 5.04943]","[0.00000, 7.97852]","[0.67247, 2.49393]","[0.00000, 2.50746]","[0.00000, 1.64896]","[0.21517, 1.35326]"
"[14, 15]","[0.25999, 1.75138]","[0.44385, 2.03670]","[0.00000, 2.72590]","[0.00000, 1.68953]","[0.00000, 0.93182]","[0.00000, 1.26530]","[0.00000, 4.49001]","[0.00000, 7.93352]","[0.14845, 3.27073]","[0.02888, 2.53666]","[0.00000, 1.73290]","[0.16704, 1.29455]"
"[15, 16]","[0.30595, 1.70879]","[0.35877, 2.05841]","[0.00000, 3.01123]","[0.00000, 1.78055]","[0.00000, 0.95327]","[0.00000, 1.33849]","[0.00000, 4.04349]","[0.00000, 7.18274]","[0.00000, 3.06556]","[0.00000, 2.52272]","[0.00000, 1.83532]","[0.15384, 1.37079]"
"[16, 17]","[0.35973, 1.60693]","[0.26053, 2.09475]","[0.00000, 3.71635]","[0.00000, 1.97809]","[0.00000, 1.30691]","[0.00000, 1.60999]","[0.00000, 3.77991]","[0.00000, 6.38339]","[0.34317, 2.70822]","[0.00000, 2.60947]","[0.00021, 1.77351]","[0.24776, 1.32863]"
"[17, 18]","[0.37203, 1.59934]","[0.22192, 2.17154]","[0.00000, 3.69421]","[0.00000, 1.96535]","[0.00000, 1.15172]","[0.00000, 1.31725]","[0.00000, 4.02034]","[0.00000, 6.53209]","[0.34016, 2.69838]","[0.00000, 2.56391]","[0.00000, 1.88517]","[0.23749, 1.26779]"
