,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 35]","[0.00000, 0.00590]","[0.00000, 0.00762]","[0.00035, 0.00407]","[0.00000, 0.00627]","[0.00004, 0.00387]","[0.00000, 0.00738]","[0.00000, 0.01554]","[0.00000, 0.00485]","[0.00000, 0.00388]","[0.00000, 0.00293]","[0.00000, 0.00324]","[0.00014, 0.00344]"
"[35, 40]","[0.00000, 0.00659]","[0.00000, 0.00584]","[0.00000, 0.00636]","[0.00000, 0.00591]","[0.00000, 0.00544]","[0.00000, 0.00699]","[0.00000, 0.01625]","[0.00000, 0.00737]","[0.00000, 0.00719]","[0.00000, 0.00401]","[0.00000, 0.00342]","[0.00023, 0.00315]"
"[40, 45]","[0.00000, 0.00746]","[0.00000, 0.00752]","[0.00000, 0.00572]","[0.00000, 0.00408]","[0.00000, 0.00327]","[0.00000, 0.00750]","[0.00000, 0.01084]","[0.00000, 0.00698]","[0.00000, 0.00750]","[0.00000, 0.00357]","[0.00000, 0.00331]","[0.00000, 0.00385]"
"[45, 50]","[0.00000, 0.00815]","[0.00000, 0.00476]","[0.00012, 0.00367]","[0.00000, 0.00440]","[0.00000, 0.00482]","[0.00000, 0.00786]","[0.00000, 0.00672]","[0.00000, 0.00691]","[0.00000, 0.00501]","[0.00000, 0.00637]","[0.00000, 0.00456]","[0.00000, 0.00354]"
"[50, 55]","[0.00000, 0.00603]","[0.00000, 0.00529]","[0.00000, 0.02729]","[0.00000, 0.00443]","[0.00000, 0.00317]","[0.00000, 0.00602]","[0.00000, 0.00799]","[0.00000, 0.00538]","[0.00000, 0.00544]","[0.00000, 0.00294]","[0.00000, 0.00309]","[0.00000, 0.00349]"
"[55, 60]","[0.00000, 0.00601]","[0.00000, 0.00537]","[0.00000, 0.03166]","[0.00010, 0.00376]","[0.00000, 0.00607]","[0.00000, 0.00530]","[0.00000, 0.00949]","[0.00000, 0.00559]","[0.00000, 0.00367]","[0.00000, 0.00255]","[0.00000, 0.00271]","[0.00000, 0.00317]"
"[60, 65]","[0.00000, 0.00625]","[0.00000, 0.00603]","[0.00000, 0.04121]","[0.00000, 0.00465]","[0.00000, 0.00313]","[0.00000, 0.00668]","[0.00000, 0.01210]","[0.00000, 0.00373]","[0.00000, 0.00265]","[0.00000, 0.00258]","[0.00000, 0.00217]","[0.00000, 0.00348]"
"[65, 70]","[0.00000, 0.00750]","[0.00000, 0.00672]","[0.00000, 0.03402]","[0.00010, 0.00375]","[0.00000, 0.00334]","[0.00000, 0.00359]","[0.00000, 0.00828]","[0.00000, 0.00475]","[0.00000, 0.00342]","[0.00000, 0.00441]","[0.00000, 0.00395]","[0.00000, 0.00427]"
"[70, 75]","[0.00000, 0.00636]","[0.00000, 0.00693]","[0.00000, 0.02994]","[0.00031, 0.00335]","[0.00000, 0.00338]","[0.00000, 0.00686]","[0.00000, 0.00819]","[0.00000, 0.00345]","[0.00000, 0.00577]","[0.00000, 0.00468]","[0.00000, 0.00213]","[0.00000, 0.00408]"
"[75, 80]","[0.00000, 0.00652]","[0.00000, 0.00713]","[0.00000, 0.03000]","[0.00022, 0.00344]","[0.00000, 0.00444]","[0.00000, 0.00541]","[0.00000, 0.00977]","[0.00000, 0.00652]","[0.00000, 0.00538]","[0.00000, 0.00306]","[0.00000, 0.00209]","[0.00000, 0.00392]"
"[80, 85]","[0.00000, 0.00685]","[0.00000, 0.00706]","[0.00000, 0.03033]","[0.00038, 0.00335]","[0.00000, 0.00843]","[0.00000, 0.00341]","[0.00000, 0.00846]","[0.00000, 0.00392]","[0.00000, 0.00333]","[0.00000, 0.00527]","[0.00000, 0.00281]","[0.00000, 0.00478]"
"[85, 90]","[0.00000, 0.00633]","[0.00000, 0.00719]","[0.00000, 0.03033]","[0.00020, 0.00358]","[0.00000, 0.00455]","[0.00000, 0.00659]","[0.00000, 0.00844]","[0.00000, 0.00485]","[0.00000, 0.00273]","[0.00000, 0.00479]","[0.00000, 0.00262]","[0.00000, 0.00457]"
"[90, 95]","[0.00000, 0.00654]","[0.00000, 0.00727]","[0.00000, 0.02813]","[0.00000, 0.00687]","[0.00000, 0.00353]","[0.00000, 0.00589]","[0.00000, 0.00773]","[0.00000, 0.00274]","[0.00000, 0.00265]","[0.00000, 0.00287]","[0.00000, 0.00320]","[0.00000, 0.00652]"
"[95, 100]","[0.00000, 0.00695]","[0.00000, 0.00658]","[0.00000, 0.03066]","[0.00000, 0.00904]","[0.00000, 0.00610]","[0.00000, 0.00754]","[0.00000, 0.00745]","[0.00000, 0.00392]","[0.00000, 0.00250]","[0.00000, 0.00360]","[0.00000, 0.00320]","[0.00000, 0.00529]"
"[100, 125]","[0.00000, 0.00728]","[0.00000, 0.00665]","[0.00000, 0.02991]","[0.00000, 0.00567]","[0.00000, 0.00418]","[0.00000, 0.00624]","[0.00000, 0.00655]","[0.00000, 0.00449]","[0.00000, 0.00564]","[0.00000, 0.00563]","[0.00000, 0.00445]","[0.00000, 0.00746]"
"[125, 150]","[0.00000, 0.00728]","[0.00000, 0.00660]","[0.00000, 0.03002]","[0.00000, 0.00576]","[0.00000, 0.00548]","[0.00000, 0.00747]","[0.00000, 0.00738]","[0.00000, 0.00507]","[0.00000, 0.00562]","[0.00000, 0.00514]","[0.00000, 0.00520]","[0.00000, 0.00784]"
"[150, 175]","[0.00000, 0.00687]","[0.00000, 0.00599]","[0.00000, 0.02821]","[0.00000, 0.00472]","[0.00000, 0.00776]","[0.00000, 0.00842]","[0.00000, 0.00871]","[0.00000, 0.00627]","[0.00000, 0.00624]","[0.00000, 0.00611]","[0.00000, 0.00563]","[0.00000, 0.00714]"
"[175, 200]","[0.00000, 0.00649]","[0.00000, 0.00749]","[0.00000, 0.02859]","[0.00000, 0.00592]","[0.00000, 0.00663]","[0.00000, 0.00795]","[0.00000, 0.00827]","[0.00000, 0.00565]","[0.00000, 0.00607]","[0.00000, 0.00532]","[0.00000, 0.00553]","[0.00000, 0.00810]"
"[200, 225]","[0.00000, 0.00677]","[0.00000, 0.00591]","[0.00000, 0.02845]","[0.00000, 0.00413]","[0.00000, 0.00558]","[0.00000, 0.00801]","[0.00000, 0.00926]","[0.00000, 0.00532]","[0.00000, 0.00609]","[0.00000, 0.00487]","[0.00000, 0.00517]","[0.00000, 0.00563]"
