,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 35]","[0.06791, 1.29557]","[0.00000, 2.41567]","[0.04611, 1.59176]","[0.00000, 2.48292]","[0.00000, 2.34864]","[0.00000, 6.36015]","[0.00000, 3.12895]","[0.00000, 2.21626]","[0.00000, 2.41888]","[0.00000, 1.84969]","[0.00000, 1.30234]","[0.15776, 1.05830]"
"[35, 40]","[0.00000, 1.12722]","[0.00000, 2.01721]","[0.00000, 1.55083]","[0.00000, 2.20537]","[0.00000, 1.88839]","[0.00000, 3.22542]","[0.00000, 2.35086]","[0.00000, 2.35717]","[0.00000, 1.90202]","[0.00000, 1.60821]","[0.00000, 1.32464]","[0.00000, 1.23737]"
"[40, 45]","[0.00000, 1.13591]","[0.00000, 1.62818]","[0.00000, 1.41926]","[0.00000, 1.82225]","[0.00000, 1.56257]","[0.00000, 2.48242]","[0.00000, 2.33517]","[0.00000, 2.31463]","[0.00000, 1.53426]","[0.00000, 1.23130]","[0.00000, 1.11136]","[0.00000, 1.02740]"
"[45, 50]","[0.00000, 1.04049]","[0.00000, 1.40380]","[0.00000, 1.27034]","[0.00000, 1.42559]","[0.00000, 1.33671]","[0.00000, 2.08629]","[0.00000, 1.96420]","[0.00000, 2.19963]","[0.00000, 1.21974]","[0.00000, 0.92446]","[0.00000, 0.98420]","[0.00000, 0.95994]"
"[50, 55]","[0.00000, 0.91200]","[0.00000, 1.24631]","[0.00000, 1.07288]","[0.00000, 1.16290]","[0.00000, 1.04346]","[0.00000, 1.67642]","[0.00000, 2.25184]","[0.00000, 1.78169]","[0.00000, 1.05055]","[0.00000, 0.69792]","[0.00000, 0.81140]","[0.00000, 0.81882]"
"[55, 60]","[0.00000, 0.77363]","[0.00000, 1.08246]","[0.00000, 0.86877]","[0.00000, 0.95349]","[0.00000, 0.79578]","[0.00000, 1.36975]","[0.00000, 1.17715]","[0.00000, 1.34451]","[0.00000, 0.83911]","[0.00000, 0.53449]","[0.00000, 0.53837]","[0.00000, 0.59738]"
"[60, 65]","[0.00000, 0.62224]","[0.00000, 0.84763]","[0.00000, 0.74190]","[0.00000, 0.84763]","[0.00000, 0.63412]","[0.00000, 1.05785]","[0.00000, 0.59018]","[0.00000, 0.99243]","[0.00000, 0.68955]","[0.00000, 0.43979]","[0.00000, 0.36933]","[0.00000, 0.38723]"
"[65, 70]","[0.00000, 0.48625]","[0.00000, 0.67370]","[0.00000, 0.60099]","[0.00000, 0.65670]","[0.00000, 0.49525]","[0.00000, 0.85636]","[0.00000, 0.41147]","[0.00000, 0.72648]","[0.00000, 0.57654]","[0.00000, 0.41555]","[0.00000, 0.30220]","[0.00000, 0.27508]"
"[70, 75]","[0.00000, 0.36821]","[0.00000, 0.46616]","[0.00000, 0.50843]","[0.00000, 0.53411]","[0.00000, 0.37513]","[0.00000, 0.51057]","[0.00000, 0.31914]","[0.00000, 0.52958]","[0.00000, 0.49285]","[0.00000, 0.31121]","[0.00000, 0.25093]","[0.00000, 0.21878]"
"[75, 80]","[0.00000, 0.28442]","[0.00000, 0.42370]","[0.00000, 0.41830]","[0.00000, 0.49897]","[0.00000, 0.30357]","[0.00000, 0.34160]","[0.00000, 0.26762]","[0.00000, 0.50687]","[0.00000, 0.46394]","[0.00000, 0.24878]","[0.00000, 0.24070]","[0.00000, 0.18309]"
