,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 35]","[0.34247, 2.49557]","[0.52514, 2.34407]","[0.06231, 2.72485]","[0.24682, 2.39567]","[0.18488, 2.35936]","[0.04650, 2.51392]","[0.00000, 4.41758]","[0.14622, 2.59456]","[0.00000, 2.87643]","[0.00000, 2.76966]","[0.09615, 2.58556]","[0.12798, 2.61570]"
"[35, 40]","[0.39274, 2.53795]","[0.31437, 2.64188]","[0.11281, 2.71499]","[0.48922, 2.13696]","[0.30968, 2.18322]","[0.31525, 2.18944]","[0.00000, 4.10550]","[0.25114, 2.44736]","[0.16606, 2.53403]","[0.00000, 2.74723]","[0.11566, 2.56827]","[0.29846, 2.50054]"
"[40, 45]","[0.36846, 2.46777]","[0.52021, 2.33841]","[0.10310, 2.65534]","[0.44992, 2.14237]","[0.20515, 2.26675]","[0.24471, 2.22223]","[0.00000, 2.83704]","[0.03333, 2.59544]","[0.12166, 2.52593]","[0.00000, 2.67226]","[0.05940, 2.58895]","[0.09133, 2.64335]"
"[45, 50]","[0.32136, 2.53295]","[0.78032, 2.09329]","[0.13534, 2.63349]","[0.41835, 2.17582]","[0.28922, 2.17172]","[0.06219, 2.38103]","[0.23583, 2.28380]","[0.08759, 2.51760]","[0.22100, 2.41759]","[0.00000, 2.67269]","[0.00926, 2.65611]","[0.09227, 2.66220]"
"[50, 55]","[0.27397, 2.62143]","[0.82013, 2.09518]","[0.09953, 2.69587]","[0.44087, 2.16013]","[0.32289, 2.13451]","[0.30756, 2.13553]","[0.24667, 2.28203]","[0.00000, 2.63960]","[0.24191, 2.40540]","[0.00000, 2.67676]","[0.00000, 2.83416]","[0.10104, 2.67999]"
"[55, 60]","[0.23354, 2.68777]","[0.87896, 2.12494]","[0.09054, 2.86416]","[0.52513, 2.25709]","[0.00000, 2.77479]","[0.24144, 2.24841]","[0.29231, 2.22207]","[0.34716, 2.25261]","[0.00000, 3.16771]","[0.00000, 2.68385]","[0.00000, 2.78421]","[0.10104, 2.68948]"
"[60, 65]","[0.23916, 2.75499]","[0.94194, 2.15271]","[0.07782, 2.95337]","[0.51115, 2.31181]","[0.35561, 2.24522]","[0.23101, 2.26619]","[0.27342, 2.26419]","[0.18864, 2.44756]","[0.37171, 2.32195]","[0.00000, 2.72012]","[0.00000, 2.83716]","[0.12071, 2.70877]"
"[65, 70]","[0.26499, 2.81515]","[0.96510, 2.18437]","[0.13205, 2.90091]","[0.51136, 2.28103]","[0.38589, 2.19655]","[0.35748, 2.16152]","[0.38702, 2.20148]","[0.23128, 2.45083]","[0.39987, 2.31522]","[0.00000, 2.83611]","[0.00000, 2.87793]","[0.14118, 2.76199]"
"[70, 75]","[0.30350, 2.82185]","[0.98910, 2.21254]","[0.23902, 2.86357]","[0.52270, 2.35249]","[0.41507, 2.24493]","[0.00000, 2.83439]","[0.45083, 2.16859]","[0.40891, 2.29594]","[0.42165, 2.32641]","[0.00000, 2.92311]","[0.00000, 2.95094]","[0.13590, 2.81747]"
"[75, 80]","[0.33308, 2.84902]","[1.01638, 2.25677]","[0.24878, 2.92940]","[0.54499, 2.39670]","[0.45593, 2.25563]","[0.36776, 2.24711]","[0.44716, 2.21129]","[0.22742, 2.51871]","[0.40090, 2.38810]","[0.00000, 2.80798]","[0.00000, 2.96442]","[0.14312, 2.85171]"
