,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[1.20317, 2.34505]","[1.22018, 2.17247]","[0.85597, 1.95187]","[0.85472, 1.88766]","[0.85117, 1.91215]","[0.84762, 1.93664]","[0.84407, 1.96113]","[0.84052, 1.98562]","[0.83697, 2.01011]","[0.83341, 2.0346]","[0.82986, 2.05909]","[1.25916, 2.21962]"
"[25, 30]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[30, 35]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[35, 40]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[40, 45]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[45, 50]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[50, 55]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[55, 60]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[60, 65]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[65, 70]","[0.54272, 2.14503]","[0.45547, 2.12998]","[0.63689, 1.75296]","[0.7789, 1.65657]","[0.73789, 1.69657]","[0.69689, 1.73657]","[0.65588, 1.77657]","[0.61487, 1.81657]","[0.57387, 1.85657]","[0.53286, 1.89657]","[0.41911, 1.91665]","[0.1404, 2.13948]"
"[70, 75]","[0.52115, 2.09323]","[0.47274, 2.06918]","[0.61202, 1.7375]","[0.75549, 1.64344]","[0.71791, 1.69862]","[0.68033, 1.7538]","[0.64275, 1.80898]","[0.60518, 1.86416]","[0.5676, 1.91934]","[0.53002, 1.97452]","[0.42091, 1.94083]","[0.14394, 2.09824]"
"[75, 80]","[0.52589, 2.06049]","[0.48307, 2.02481]","[0.58397, 1.72827]","[0.73101, 1.62071]","[0.70327, 1.68733]","[0.67553, 1.75396]","[0.64779, 1.82058]","[0.62005, 1.8872]","[0.59231, 1.95383]","[0.56457, 2.02045]","[0.40329, 1.98092]","[0.16947, 2.06155]"
"[80, 85]","[0.51424, 2.03498]","[0.48831, 1.99607]","[0.56304, 1.71199]","[0.69061, 1.62691]","[0.68262, 1.68996]","[0.67463, 1.75302]","[0.66665, 1.81608]","[0.65866, 1.87913]","[0.65067, 1.94219]","[0.64268, 2.00524]","[0.39949, 1.99831]","[0.1754, 2.05321]"
"[85, 90]","[0.50895, 2.0242]","[0.47609, 1.98128]","[0.54463, 1.70349]","[0.64587, 1.6127]","[0.64546, 1.67818]","[0.64504, 1.74367]","[0.64463, 1.80915]","[0.64421, 1.87464]","[0.64379, 1.94012]","[0.64338, 2.00561]","[0.37622, 2.03215]","[0.17906, 2.05337]"
"[90, 95]","[0.50423, 1.99429]","[0.46856, 1.96995]","[0.51974, 1.68343]","[0.62891, 1.58996]","[0.63775, 1.64998]","[0.64659, 1.71]","[0.65543, 1.77002]","[0.66427, 1.83005]","[0.67311, 1.89007]","[0.68195, 1.95009]","[0.37245, 2.02898]","[0.17433, 2.06368]"
"[95, 100]","[0.49574, 1.97995]","[0.48668, 1.92666]","[0.52558, 1.65918]","[0.58048, 1.60213]","[0.59547, 1.65342]","[0.61047, 1.70471]","[0.62547, 1.75601]","[0.64046, 1.8073]","[0.65546, 1.85859]","[0.67046, 1.90989]","[0.37153, 2.01299]","[0.18989, 2.05763]"
"[100, 125]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
