,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.00339, 0.0122]","[0.00089, 0.0122]","[0.0, 0.0594]","[0.0, 0.01647]","[0.0, 0.01471]","[0.0, 0.01294]","[0.0, 0.01118]","[0.0, 0.00941]","[0.0, 0.00765]","[0.0, 0.00589]","[0.0, 0.00412]","[0.0, 0.00874]"
"[25, 30]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[30, 35]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[35, 40]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[40, 45]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[45, 50]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[50, 55]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[55, 60]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[60, 65]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[65, 70]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[70, 75]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[75, 80]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[80, 85]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[85, 90]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[90, 95]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[95, 100]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[100, 125]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
