,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[0.541, 1.9605]","[0.5464, 1.8856]","[0.6477, 1.5659]","[0.2838, 2.0421]","[0.0, 3.6878]","[0.0, 3.3481]","[0.0, 3.6433]","[0.0088, 2.6355]","[0.0, 1.5118]","[0.0, 2.3887]","[0.0, 3.3428]","[0.9188, 2.6761]"
"[30, 35]","[0.5779, 1.8847]","[0.5515, 1.8049]","[0.6405, 1.5363]","[0.2353, 2.0509]","[0.0, 3.2999]","[0.0, 3.2888]","[0.0, 3.7236]","[0.1295, 2.8386]","[0.0, 1.5835]","[0.0, 2.3253]","[0.0, 3.1009]","[0.1975, 2.5701]"
"[35, 40]","[0.5415, 1.9181]","[0.5551, 1.8231]","[0.6389, 1.4941]","[0.2507, 2.0482]","[0.0, 3.1254]","[0.0, 3.1489]","[0.0, 3.6896]","[0.1028, 2.8777]","[0.0988, 1.6133]","[0.0, 2.3119]","[0.0, 2.952]","[0.2187, 2.5007]"
"[40, 45]","[0.5074, 1.9261]","[0.5488, 1.8334]","[0.6396, 1.4812]","[0.1987, 2.1638]","[0.0, 3.4071]","[0.0, 3.2809]","[0.0, 3.6798]","[0.0288, 2.9371]","[0.2143, 1.5958]","[0.0, 2.3084]","[0.0, 2.8108]","[0.188, 2.4877]"
"[45, 50]","[0.4825, 1.9113]","[0.5071, 1.8382]","[0.6325, 1.4933]","[0.1363, 2.2813]","[0.0, 3.2987]","[0.0, 3.4497]","[0.0, 3.7048]","[0.0, 2.9897]","[0.2952, 1.5812]","[0.0, 2.42]","[0.0, 2.7268]","[0.1603, 2.4855]"
"[50, 55]","[0.4575, 1.8707]","[0.4762, 1.8109]","[0.6163, 1.5106]","[0.1312, 2.276]","[0.0, 3.4286]","[0.0, 3.3726]","[0.0, 3.6502]","[0.0, 2.9218]","[0.3523, 1.5419]","[0.0, 2.6337]","[0.0, 2.6958]","[0.1234, 2.4749]"
"[55, 60]","[0.4366, 1.8091]","[0.4167, 1.8011]","[0.5912, 1.5127]","[0.1405, 2.235]","[0.0, 3.1423]","[0.0, 3.4154]","[0.0, 3.5654]","[0.0, 2.8892]","[0.3684, 1.5041]","[0.0, 2.7417]","[0.0, 2.6584]","[0.0945, 2.4648]"
"[60, 65]","[0.4337, 1.7222]","[0.3633, 1.7717]","[0.563, 1.5049]","[0.1837, 2.136]","[0.0, 3.0985]","[0.0, 3.3149]","[0.0, 3.5865]","[0.0, 2.8258]","[0.3825, 1.4467]","[0.0, 2.8227]","[0.0, 2.6796]","[0.0743, 2.4431]"
"[65, 70]","[0.4615, 1.5946]","[0.3472, 1.7153]","[0.5093, 1.5065]","[0.2092, 2.0584]","[0.0, 3.032]","[0.0, 3.4683]","[0.0, 3.4161]","[0.0, 2.7828]","[0.4018, 1.3944]","[0.0, 2.8742]","[0.0, 2.7331]","[0.0233, 2.4296]"
"[70, 75]","[0.516, 1.4265]","[0.3154, 1.6751]","[0.4598, 1.5093]","[0.2192, 1.9916]","[0.0, 3.0162]","[0.0, 3.2305]","[0.0, 3.3406]","[0.0, 2.6965]","[0.4139, 1.3481]","[0.0, 2.9077]","[0.0, 2.7703]","[0.0, 2.429]"
"[75, 80]","[0.541, 1.3226]","[0.3008, 1.6328]","[0.418, 1.5164]","[0.2391, 1.9177]","[0.0, 3.0038]","[0.0, 3.1228]","[0.0, 3.2625]","[0.0, 2.6685]","[0.4137, 1.3166]","[0.0, 2.9302]","[0.0, 2.8021]","[0.0, 2.4206]"
"[80, 85]","[0.5387, 1.2649]","[0.2835, 1.6144]","[0.3869, 1.5104]","[0.229, 1.8852]","[0.0, 3.001]","[0.0, 3.1311]","[0.0, 3.2062]","[0.0, 2.5629]","[0.4113, 1.2999]","[0.0, 2.9472]","[0.0, 2.8181]","[0.0, 2.4205]"
"[85, 90]","[0.542, 1.2341]","[0.3106, 1.5981]","[0.3739, 1.4982]","[0.2245, 1.8416]","[0.0, 3.0014]","[0.0, 3.1322]","[0.0, 3.1993]","[0.0, 2.4764]","[0.4139, 1.2723]","[0.0, 2.8876]","[0.0, 2.8485]","[0.0, 2.4596]"
"[90, 95]","[0.5445, 1.2124]","[0.3218, 1.6214]","[0.358, 1.4959]","[0.2457, 1.7747]","[0.0, 3.0441]","[0.0, 3.4965]","[0.0, 3.0676]","[0.0, 2.4271]","[0.4078, 1.2642]","[0.0, 2.8883]","[0.0, 2.9517]","[0.0, 2.5719]"
"[95, 100]","[0.5282, 1.222]","[0.2695, 1.5904]","[0.3465, 1.5252]","[0.2407, 1.7498]","[0.0, 3.0769]","[0.0, 2.9069]","[0.0, 2.9467]","[0.0, 2.4199]","[0.4239, 1.2191]","[0.0, 2.7545]","[0.0, 2.8383]","[0.0, 2.4956]"
"[100, 125]","[8.5738, 9.3909]","[7.2578, 7.9556]","[3.5837, 4.1623]","[0.0, 1.3927]","[0.0, 1.7544]","[0.8506, 1.4716]","[0.9607, 3.1452]","[0.8961, 1.6904]","[0.0, 0.2431]","[0.0, 0.7912]","[2.3596, 3.4151]","[6.3816, 7.3179]"
