,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[0.3233, 1.6722]","[0.051, 1.7148]","[0.0, 1.6947]","[0.0, 3.0779]","[0.0, 5.641]","[0.0, 3.8191]","[0.0, 4.5834]","[0.0, 3.9721]","[0.0, 3.9288]","[0.0, 2.2211]","[0.0, 2.6883]","[0.0, 2.3092]"
"[30, 35]","[0.2867, 1.6304]","[0.0166, 1.7324]","[0.0707, 1.5123]","[0.0, 2.5815]","[0.0, 4.1785]","[0.0, 3.6177]","[0.0, 4.4619]","[0.0, 3.8821]","[0.0, 2.8455]","[0.0, 2.0728]","[0.0, 2.5705]","[0.0, 2.0473]"
"[35, 40]","[0.2225, 1.5563]","[0.0, 1.7007]","[0.066, 1.4324]","[0.0, 2.2358]","[0.0, 3.2292]","[0.0, 3.6774]","[0.0, 3.8531]","[0.0, 3.6192]","[0.0, 2.3136]","[0.0, 1.8895]","[0.0, 2.3731]","[0.0, 1.9641]"
"[40, 45]","[0.1541, 1.453]","[0.0, 1.6162]","[0.0717, 1.2868]","[0.0, 1.9526]","[0.0, 2.665]","[0.0, 3.9129]","[0.0, 2.7167]","[0.0, 2.569]","[0.0, 1.857]","[0.0, 1.6889]","[0.0, 2.2367]","[0.0, 1.8426]"
"[45, 50]","[0.0623, 1.361]","[0.0, 1.5533]","[0.0, 1.2377]","[0.0, 1.4962]","[0.0, 2.2058]","[0.0, 3.6753]","[0.0, 2.2188]","[0.0, 2.741]","[0.0, 1.6496]","[0.0, 1.5595]","[0.0, 2.0619]","[0.0, 1.7239]"
"[50, 55]","[0.0, 1.1166]","[0.0, 1.5542]","[0.0, 1.2224]","[0.0, 1.1716]","[0.0, 1.6359]","[0.0, 2.7786]","[0.0, 2.0352]","[0.0, 1.4062]","[0.0, 1.4609]","[0.0, 1.4039]","[0.0, 1.9014]","[0.0, 1.5186]"
"[55, 60]","[0.0, 1.0354]","[0.0, 1.3945]","[0.0, 1.17]","[0.0, 1.0994]","[0.0, 1.2784]","[0.0, 2.1209]","[0.0, 1.9904]","[0.0, 1.0013]","[0.0, 1.1314]","[0.0, 1.2753]","[0.0, 1.6983]","[0.0, 1.3824]"
"[60, 65]","[0.0, 0.9228]","[0.0, 1.2258]","[0.0, 1.1291]","[0.0, 1.0777]","[0.0, 0.9124]","[0.0, 1.2878]","[0.0, 1.7158]","[0.0, 0.6964]","[0.0, 0.7829]","[0.0, 1.0883]","[0.0, 1.4976]","[0.0, 1.2363]"
"[65, 70]","[0.0, 0.8332]","[0.0, 1.0266]","[0.0, 0.9562]","[0.0, 0.9914]","[0.0, 0.718]","[0.0, 0.8041]","[0.0, 0.9612]","[0.0, 0.6263]","[0.0, 0.6305]","[0.0, 0.8888]","[0.0, 1.3354]","[0.0, 1.0682]"
"[70, 75]","[0.0, 0.6953]","[0.0, 0.8129]","[0.0, 0.8679]","[0.0, 0.934]","[0.0, 0.5645]","[0.0, 0.5597]","[0.0, 0.5838]","[0.0, 0.4548]","[0.0, 0.5668]","[0.0, 0.7539]","[0.0, 1.1562]","[0.0, 0.9172]"
"[75, 80]","[0.0, 0.5755]","[0.0, 0.6656]","[0.0, 0.8027]","[0.0, 0.906]","[0.0, 0.4948]","[0.0, 0.494]","[0.0, 0.4142]","[0.0, 0.3686]","[0.0, 0.5114]","[0.0, 0.6584]","[0.0, 0.9949]","[0.0, 0.7139]"
"[80, 85]","[0.0, 0.5016]","[0.0, 0.5267]","[0.0, 0.7435]","[0.0, 0.8396]","[0.0, 0.5012]","[0.0, 0.4923]","[0.0, 0.3422]","[0.0, 0.3152]","[0.0, 0.4392]","[0.0, 0.5784]","[0.0, 0.8276]","[0.0, 0.5662]"
"[85, 90]","[0.0, 0.3918]","[0.0, 0.4129]","[0.0, 0.6906]","[0.0, 0.8041]","[0.0, 0.4324]","[0.0, 0.3172]","[0.0, 0.2669]","[0.0, 0.2562]","[0.0, 0.3266]","[0.0, 0.5547]","[0.0, 0.7105]","[0.0, 0.4633]"
"[90, 95]","[0.0, 0.318]","[0.0, 0.3453]","[0.0, 0.6399]","[0.0, 0.693]","[0.0, 0.3688]","[0.0, 0.2822]","[0.0, 0.218]","[0.0, 0.2168]","[0.0, 0.2886]","[0.0, 0.5091]","[0.0, 0.5844]","[0.0, 0.3699]"
"[95, 100]","[0.0, 0.2613]","[0.0, 0.2825]","[0.0, 0.6159]","[0.0, 0.5298]","[0.0, 0.3436]","[0.0, 0.2394]","[0.0, 0.1857]","[0.0, 0.1891]","[0.0, 0.2467]","[0.0, 0.4474]","[0.0, 0.4518]","[0.0, 0.3003]"
"[100, 125]","[2.3117, 2.6699]","[2.0437, 2.5259]","[0.9425, 1.5487]","[0.0, 0.5439]","[0.0, 2.4233]","[0.0261, 0.1944]","[0.3578, 0.4941]","[0.0, 1.6469]","[0.0, 50.0]","[0.0, 50.0]","[0.4227, 0.533]","[1.5611, 1.7954]"
