,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[0.0, 0.0089]","[0.0, 0.0183]","[0.0, 0.0329]","[0.0, 0.0368]","[0.0, 0.0073]","[0.0, 0.009]","[0.0, 0.0133]","[0.0, 0.028]","[0.0, 0.052]","[0.0, 0.062]","[0.002, 0.0087]","[0.0, 0.0133]"
"[30, 35]","[0.0, 0.0089]","[0.0, 0.0164]","[0.0, 0.0315]","[0.0, 0.0331]","[0.0, 0.0065]","[0.0, 0.0071]","[0.0, 0.0117]","[0.0, 0.0266]","[0.0, 0.0506]","[0.0, 0.0574]","[0.0018, 0.0084]","[0.0, 0.0236]"
"[35, 40]","[0.0, 0.009]","[0.0, 0.0171]","[0.0, 0.0314]","[0.0, 0.0306]","[0.0, 0.006]","[0.0, 0.0063]","[0.0, 0.0108]","[0.0, 0.0275]","[0.0, 0.0495]","[0.0, 0.0588]","[0.0017, 0.0084]","[0.0, 0.0247]"
"[40, 45]","[0.0, 0.0088]","[0.0, 0.0188]","[0.0, 0.0323]","[0.0, 0.0335]","[0.0, 0.0053]","[0.0, 0.0053]","[0.0, 0.0097]","[0.0, 0.0269]","[0.0, 0.049]","[0.0, 0.0592]","[0.0017, 0.0082]","[0.0, 0.0248]"
"[45, 50]","[0.0, 0.0087]","[0.0, 0.0185]","[0.0, 0.0335]","[0.0, 0.0356]","[0.0, 0.006]","[0.0, 0.006]","[0.0, 0.0098]","[0.0, 0.0272]","[0.0, 0.0494]","[0.0, 0.0592]","[0.0016, 0.0082]","[0.0, 0.0255]"
"[50, 55]","[0.0, 0.0086]","[0.0, 0.0184]","[0.0, 0.0335]","[0.0, 0.0363]","[0.0, 0.0065]","[0.0, 0.0053]","[0.0, 0.0092]","[0.0, 0.0271]","[0.0, 0.0488]","[0.0, 0.0588]","[0.0, 0.0103]","[0.0, 0.0273]"
"[55, 60]","[0.0, 0.0083]","[0.0, 0.0185]","[0.0, 0.0339]","[0.0, 0.0363]","[0.0, 0.0053]","[0.0, 0.0046]","[0.0, 0.0087]","[0.0, 0.0274]","[0.0, 0.0489]","[0.0, 0.0606]","[0.0001, 0.0097]","[0.0, 0.0281]"
"[60, 65]","[0.0, 0.0085]","[0.0, 0.0188]","[0.0, 0.0336]","[0.0, 0.0364]","[0.0, 0.0054]","[0.0, 0.0043]","[0.0, 0.0099]","[0.0, 0.0274]","[0.0, 0.0475]","[0.0, 0.0601]","[0.0, 0.0111]","[0.0, 0.0276]"
"[65, 70]","[0.0, 0.0082]","[0.0, 0.0188]","[0.0, 0.0339]","[0.0, 0.0367]","[0.0, 0.0056]","[0.0, 0.005]","[0.0, 0.0085]","[0.0, 0.0271]","[0.0, 0.0481]","[0.0, 0.06]","[0.0, 0.0118]","[0.0, 0.0286]"
"[70, 75]","[0.0, 0.0084]","[0.0, 0.0191]","[0.0, 0.0345]","[0.0, 0.037]","[0.0, 0.006]","[0.0, 0.0063]","[0.0, 0.0086]","[0.0, 0.0273]","[0.0, 0.0476]","[0.0, 0.0597]","[0.0, 0.0106]","[0.0, 0.0281]"
"[75, 80]","[0.0, 0.009]","[0.0, 0.0196]","[0.0, 0.036]","[0.0, 0.037]","[0.0, 0.0068]","[0.0, 0.0057]","[0.0, 0.0088]","[0.0, 0.0273]","[0.0, 0.0486]","[0.0, 0.0601]","[0.0, 0.0115]","[0.0, 0.0292]"
"[80, 85]","[0.0, 0.0099]","[0.0, 0.0203]","[0.0, 0.0367]","[0.0, 0.037]","[0.0, 0.0062]","[0.0, 0.0066]","[0.0, 0.0084]","[0.0, 0.0287]","[0.0, 0.05]","[0.0, 0.0611]","[0.0, 0.0117]","[0.0, 0.0312]"
"[85, 90]","[0.0, 0.011]","[0.0, 0.0216]","[0.0, 0.0357]","[0.0, 0.0375]","[0.0, 0.007]","[0.0, 0.0078]","[0.0, 0.0087]","[0.0, 0.0293]","[0.0, 0.0503]","[0.0, 0.0653]","[0.0, 0.0129]","[0.0, 0.0328]"
"[90, 95]","[0.0, 0.0127]","[0.0, 0.0239]","[0.0, 0.037]","[0.0, 0.0381]","[0.0, 0.0078]","[0.0, 0.0068]","[0.0, 0.0084]","[0.0, 0.0301]","[0.0, 0.0508]","[0.0, 0.0662]","[0.0, 0.0134]","[0.0, 0.0365]"
"[95, 100]","[0.0, 0.0149]","[0.0, 0.0246]","[0.0, 0.0411]","[0.0, 0.0396]","[0.0, 0.0097]","[0.0, 0.0058]","[0.0, 0.0089]","[0.0, 0.027]","[0.0, 0.0425]","[0.0, 0.069]","[0.0, 0.0148]","[0.0, 0.0262]"
"[100, 125]","[0.1929, 0.2344]","[0.159, 0.2155]","[0.0572, 0.1288]","[0.0, 0.0084]","[0.0, 0.0882]","[0.0006, 0.0091]","[0.0266, 0.0366]","[0.0049, 0.0298]","[0.0, 5.0]","[0.0, 0.0515]","[0.0412, 0.0526]","[0.1369, 0.1634]"
