,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[0.48183, 2.25507]","[0.42676, 1.62411]","[0.16299, 1.64406]","[0.21288, 1.97767]","[0.0, 3.1445]","[0.0, 3.21094]","[0.19856, 2.41349]","[0.0, 2.14901]","[0.09502, 1.92095]","[0.13356, 2.3703]","[0.15894, 2.95448]","[0.35548, 2.88708]"
"[30, 35]","[0.50538, 2.2041]","[0.43809, 1.59504]","[0.11538, 1.65732]","[0.10857, 2.03548]","[0.0, 3.63693]","[0.0, 3.42624]","[0.31022, 2.44073]","[0.0, 2.2965]","[0.07174, 2.04571]","[0.15891, 2.35928]","[0.20137, 2.86697]","[0.29656, 2.89527]"
"[35, 40]","[0.37534, 2.11233]","[0.41376, 1.58586]","[0.36159, 1.87776]","[0.30941, 2.16966]","[0.0, 2.70617]","[0.0, 3.64736]","[0.38155, 2.41379]","[0.08607, 2.47924]","[0.0, 1.9751]","[0.17215, 2.33601]","[0.22679, 2.76327]","[0.22151, 2.77382]"
"[40, 45]","[0.31254, 2.15087]","[0.39655, 1.54232]","[0.36634, 1.83688]","[0.33613, 2.13143]","[0.0, 3.10139]","[0.0, 3.30223]","[0.30876, 2.50063]","[0.17194, 2.41278]","[0.02476, 2.03075]","[0.17698, 2.42758]","[0.24755, 2.72062]","[0.2096, 2.7501]"
"[45, 50]","[0.27961, 2.14681]","[0.40988, 1.45639]","[0.37555, 1.75797]","[0.34123, 2.05955]","[0.0, 3.05833]","[0.0, 3.37994]","[0.39585, 2.42211]","[0.20554, 2.4001]","[0.13427, 1.98437]","[0.16591, 2.55073]","[0.23998, 2.72619]","[0.18941, 2.72993]"
"[50, 55]","[0.24798, 2.1535]","[0.41924, 1.37573]","[0.38563, 1.69068]","[0.35201, 2.00562]","[0.0, 2.6206]","[0.0, 3.55675]","[0.3559, 2.44412]","[0.20388, 2.37342]","[0.13983, 2.02767]","[0.18137, 2.65591]","[0.22551, 2.7404]","[0.15897, 2.70973]"
"[55, 60]","[0.19872, 2.14744]","[0.43764, 1.31168]","[0.40278, 1.6175]","[0.36792, 1.92332]","[0.0, 3.09999]","[0.0, 3.37264]","[0.0, 3.14744]","[0.18555, 2.34643]","[0.0, 2.20387]","[0.20139, 2.76123]","[0.22771, 2.75952]","[0.13717, 2.67407]"
"[60, 65]","[0.16794, 2.14415]","[0.45532, 1.25408]","[0.4094, 1.55592]","[0.36348, 1.85777]","[0.0, 3.41187]","[0.0, 3.51009]","[0.31981, 2.37708]","[0.17441, 2.29877]","[0.11673, 2.03102]","[0.26501, 2.80349]","[0.24412, 2.77814]","[0.1177, 2.65027]"
"[65, 70]","[0.13222, 2.1597]","[0.43456, 1.16683]","[0.18798, 1.26457]","[0.24582, 1.66674]","[0.0, 3.05025]","[0.0, 3.10038]","[0.26697, 2.36227]","[0.1322, 2.23481]","[0.26548, 2.17584]","[0.1763, 2.68325]","[0.32931, 2.85886]","[0.22182, 2.76857]"
"[70, 75]","[0.09892, 2.18176]","[0.43043, 1.13405]","[0.18361, 1.22038]","[0.24806, 1.618]","[0.10322, 2.3896]","[0.0, 3.45715]","[0.15213, 2.41579]","[0.14575, 2.16057]","[0.27285, 2.12879]","[0.20328, 2.64894]","[0.33744, 2.8658]","[0.23094, 2.77184]"
