,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[0.0, 1.73199]","[0.0, 1.6697]","[0.0, 2.16591]","[0.0, 2.86518]","[0.0, 4.14116]","[0.0, 4.01865]","[0.0, 3.8374]","[0.0, 3.65301]","[0.0, 2.56694]","[0.0, 2.01159]","[0.0, 2.32422]","[0.0, 1.97389]"
"[30, 35]","[0.05053, 1.41112]","[0.0, 1.69073]","[0.0, 2.10226]","[0.0, 2.70382]","[0.0, 3.60546]","[0.0, 3.76877]","[0.0, 3.96746]","[0.0, 3.74618]","[0.0, 2.67054]","[0.0, 1.84794]","[0.0, 2.17207]","[0.0, 1.87215]"
"[35, 40]","[0.0, 1.32543]","[0.0, 1.62975]","[0.0, 2.00804]","[0.0, 2.49146]","[0.0, 3.22696]","[0.0, 3.68933]","[0.0, 3.61501]","[0.0, 3.56887]","[0.0, 2.64259]","[0.0, 1.79848]","[0.0, 2.00511]","[0.0, 1.6978]"
"[40, 45]","[0.0, 1.215]","[0.0, 1.60535]","[0.0, 1.94416]","[0.0, 2.31516]","[0.0, 2.77023]","[0.0, 3.49937]","[0.0, 3.44652]","[0.0, 2.67924]","[0.0, 2.46458]","[0.0, 1.72257]","[0.0, 1.85022]","[0.0, 1.5334]"
"[45, 50]","[0.0, 1.06469]","[0.0, 1.27903]","[0.0, 1.68377]","[0.0, 2.11378]","[0.0, 2.22275]","[0.0, 2.56889]","[0.0, 3.26551]","[0.0, 2.1575]","[0.0, 2.012]","[0.0, 1.52426]","[0.0, 1.71833]","[0.0, 1.3747]"
"[50, 55]","[0.0, 0.97363]","[0.0, 1.02843]","[0.0, 1.56986]","[0.0, 2.11129]","[0.0, 1.66351]","[0.0, 1.94425]","[0.0, 3.09909]","[0.0, 1.6589]","[0.0, 1.78569]","[0.0, 1.30053]","[0.0, 1.55314]","[0.0, 1.20519]"
"[55, 60]","[0.0, 0.90306]","[0.0, 0.80666]","[0.0, 1.4504]","[0.0, 2.09415]","[0.0, 1.40804]","[0.0, 1.42549]","[0.0, 2.43027]","[0.0, 1.29874]","[0.0, 1.36761]","[0.0, 1.1223]","[0.0, 1.3594]","[0.0, 1.02864]"
"[60, 65]","[0.0, 0.81525]","[0.0, 0.63775]","[0.0, 1.24345]","[0.0, 1.84916]","[0.0, 1.21984]","[0.0, 1.14567]","[0.0, 1.73162]","[0.0, 1.1341]","[0.0, 1.00035]","[0.0, 0.91872]","[0.0, 1.17272]","[0.0, 0.86785]"
"[65, 70]","[0.0, 0.74045]","[0.0, 0.54539]","[0.0, 1.0759]","[0.0, 1.60641]","[0.0, 1.09188]","[0.0, 0.97511]","[0.0, 1.19419]","[0.0, 0.87284]","[0.0, 0.74718]","[0.0, 0.76245]","[0.0, 0.99704]","[0.0, 0.73061]"
"[70, 75]","[0.0, 0.67732]","[0.0, 0.5776]","[0.0, 0.97333]","[0.0, 1.36906]","[0.0, 0.98499]","[0.0, 0.79685]","[0.0, 0.89879]","[0.0, 0.5933]","[0.0, 0.56492]","[0.0, 0.63982]","[0.0, 0.82051]","[0.0, 0.61689]"
"[75, 80]","[0.0, 0.61935]","[0.0, 0.46042]","[0.0, 0.75074]","[0.0, 1.04107]","[0.0, 0.79491]","[0.0, 0.75003]","[0.0, 0.70044]","[0.0, 0.49126]","[0.0, 0.45245]","[0.0, 0.54656]","[0.0, 0.65141]","[0.0, 0.50174]"
"[80, 85]","[0.0, 0.55771]","[0.0, 0.44437]","[0.0, 0.63414]","[0.0, 0.82391]","[0.0, 0.49946]","[0.0, 0.59359]","[0.0, 0.55927]","[0.0, 0.41124]","[0.0, 0.36143]","[0.0, 0.45828]","[0.0, 0.50802]","[0.0, 0.41954]"
"[85, 90]","[0.0, 0.50832]","[0.0, 0.42413]","[0.0, 0.54011]","[0.0, 0.65608]","[0.0, 0.47515]","[0.0, 0.54338]","[0.0, 0.48854]","[0.0, 0.35952]","[0.0, 0.29325]","[0.0, 0.38348]","[0.0, 0.39385]","[0.0, 0.35202]"
"[90, 95]","[0.0, 0.45849]","[0.0, 0.38412]","[0.0, 0.45707]","[0.0, 0.53002]","[0.0, 0.35638]","[0.0, 0.48968]","[0.0, 0.40809]","[0.0, 0.32172]","[0.0, 0.24662]","[0.0, 0.32162]","[0.0, 0.33939]","[0.0, 0.29081]"
"[95, 100]","[0.0, 0.40184]","[0.0, 0.35463]","[0.0, 0.40066]","[0.0, 0.4467]","[0.0, 0.36098]","[0.0, 0.52153]","[0.0, 0.36469]","[0.0, 0.29132]","[0.0, 0.20542]","[0.0, 0.27684]","[0.0, 0.25969]","[0.0, 0.23904]"
"[100, 125]","[0.0, 0.44293]","[0.0, 0.42662]","[0.0, 0.38301]","[0.0, 0.33941]","[0.0, 0.52364]","[0.0, 0.45231]","[0.0, 0.30798]","[0.0, 0.24975]","[0.0, 0.1405]","[0.0, 0.21492]","[0.0, 0.2373]","[0.0, 0.17087]"
"[125, 150]","[0.0, 0.5979]","[0.0, 0.43055]","[0.0, 0.54902]","[0.01898, 0.24259]","[0.0208, 0.1174]","[0.04222, 0.04222]","[0.02488, 0.07596]","[0.01342, 0.11558]","[0.02651, 0.09477]","[0.02962, 0.06397]","[0.05368, 0.05368]","[0.03959, 0.15941]"
