,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[0.00038, 0.00521]","[0.0, 0.00598]","[0.0, 0.00494]","[0.00044, 0.00419]","[0.0, 0.00746]","[0.0, 0.01724]","[0.0, 0.01511]","[0.0, 0.01494]","[0.0, 0.01051]","[0.0, 0.00556]","[0.0, 0.0055]","[0.0, 0.00827]"
"[30, 35]","[0.00018, 0.00541]","[0.0, 0.00578]","[0.0, 0.00496]","[0.0, 0.00435]","[0.0, 0.00753]","[0.0, 0.01711]","[0.0, 0.01721]","[0.0, 0.01653]","[0.0, 0.01101]","[0.0, 0.00605]","[0.0, 0.00524]","[0.0, 0.00771]"
"[35, 40]","[0.00018, 0.00523]","[0.0, 0.00579]","[0.0, 0.00504]","[0.0, 0.00437]","[0.0, 0.00801]","[0.0, 0.01711]","[0.0, 0.018]","[0.0, 0.01722]","[0.0, 0.01029]","[0.0, 0.00536]","[0.0, 0.00482]","[0.0, 0.00788]"
"[40, 45]","[9e-05, 0.00495]","[0.0, 0.00621]","[0.0, 0.00522]","[0.0, 0.00426]","[0.0, 0.00974]","[0.0, 0.01731]","[0.0, 0.01804]","[0.0, 0.01645]","[0.0, 0.01061]","[0.0, 0.00537]","[0.0, 0.00449]","[0.0, 0.00816]"
"[45, 50]","[0.0, 0.00458]","[0.0, 0.00546]","[0.0, 0.00474]","[0.0, 0.00401]","[0.0, 0.00777]","[0.0, 0.01807]","[0.0, 0.01775]","[0.0, 0.01659]","[0.0, 0.01111]","[0.0, 0.00741]","[0.0, 0.00442]","[0.0, 0.0087]"
"[50, 55]","[0.0, 0.00452]","[0.0, 0.00399]","[0.0, 0.00405]","[0.0, 0.00412]","[0.0, 0.00845]","[0.0, 0.01723]","[0.0, 0.01704]","[0.0, 0.01651]","[0.0, 0.01121]","[0.0, 0.00621]","[0.0, 0.00431]","[0.0, 0.00888]"
"[55, 60]","[0.0, 0.00443]","[0.0, 0.00437]","[0.0, 0.00439]","[0.0, 0.00441]","[0.0, 0.00859]","[0.0, 0.01739]","[0.0, 0.01719]","[0.0, 0.01601]","[0.0, 0.01113]","[0.0, 0.00543]","[0.0, 0.00398]","[0.0, 0.00868]"
"[60, 65]","[0.0, 0.00438]","[0.0, 0.00393]","[0.0, 0.00409]","[0.0, 0.00424]","[0.0, 0.00778]","[0.0, 0.01737]","[0.0, 0.01623]","[0.0, 0.0159]","[0.0, 0.01122]","[0.0, 0.00564]","[0.0, 0.00435]","[0.0, 0.00867]"
"[65, 70]","[0.0, 0.00426]","[0.0, 0.00435]","[0.0, 0.00429]","[0.0, 0.00422]","[0.0, 0.00548]","[0.0, 0.01631]","[0.0, 0.01625]","[0.0, 0.01597]","[0.0, 0.01126]","[0.0, 0.00647]","[0.0, 0.00426]","[0.0, 0.00883]"
"[70, 75]","[0.0, 0.00431]","[0.0, 0.00445]","[0.0, 0.00424]","[0.0, 0.00404]","[0.0, 0.00538]","[0.0, 0.01672]","[0.0, 0.0161]","[0.0, 0.01575]","[0.0, 0.01142]","[0.0, 0.00698]","[0.0, 0.0047]","[0.0, 0.00874]"
"[75, 80]","[0.0, 0.00417]","[0.0, 0.00449]","[0.0, 0.00467]","[0.0, 0.00485]","[0.0, 0.00618]","[0.0, 0.01648]","[0.0, 0.01617]","[0.0, 0.01595]","[0.0, 0.01209]","[0.0, 0.00696]","[0.0, 0.00399]","[0.0, 0.00883]"
"[80, 85]","[0.0, 0.0042]","[0.0, 0.0048]","[0.0, 0.00429]","[0.0, 0.00379]","[0.0, 0.00478]","[0.0, 0.01666]","[0.0, 0.01599]","[0.0, 0.01612]","[0.0, 0.01237]","[0.0, 0.00895]","[0.0, 0.00412]","[0.0, 0.00899]"
"[85, 90]","[0.0, 0.00426]","[0.0, 0.00509]","[0.0, 0.00466]","[0.0, 0.00423]","[0.0, 0.00667]","[0.0, 0.01678]","[0.0, 0.01612]","[0.0, 0.0162]","[0.0, 0.01176]","[0.0, 0.00747]","[0.0, 0.00408]","[0.0, 0.00925]"
"[90, 95]","[0.0, 0.00436]","[0.0, 0.00636]","[0.0, 0.00537]","[0.0, 0.00438]","[0.0, 0.00637]","[0.0, 0.01669]","[0.0, 0.01658]","[0.0, 0.01651]","[0.0, 0.0119]","[0.0, 0.00713]","[0.0, 0.00433]","[0.0, 0.00923]"
"[95, 100]","[0.0, 0.00454]","[0.0, 0.00554]","[0.0, 0.0051]","[0.0, 0.00465]","[0.0, 0.00662]","[0.0, 0.01608]","[0.0, 0.0163]","[0.0, 0.0165]","[0.0, 0.01202]","[0.0, 0.00675]","[0.0, 0.00421]","[0.0, 0.00945]"
"[100, 125]","[0.0, 0.0052]","[0.0, 0.00637]","[0.0, 0.0064]","[0.0, 0.00644]","[0.0, 0.00738]","[0.0, 0.01606]","[0.0, 0.01585]","[0.0, 0.01566]","[0.0, 0.0136]","[0.0, 0.00641]","[0.0, 0.00538]","[0.0, 0.00987]"
"[125, 150]","[0.0, 0.01662]","[0.00123, 0.00811]","[0.0, 0.0345]","[0.00074, 0.01081]","[0.00234, 0.00847]","[0.00474, 0.00474]","[0.00269, 0.00553]","[0.00079, 0.00648]","[0.0008, 0.00563]","[0.00083, 0.00479]","[0.00257, 0.00257]","[0.0, 0.01022]"
