,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0, 200.0]","[0, 200.0]","[2.178, 2.178]","[2.22348, 3.16323]","[2.26897, 4.14847]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]"
"[25, 30]","[0.38213, 4.07566]","[0.82382, 2.6129]","[0.89386, 2.26245]","[0.0, 5.72349]","[0.0, 4.90805]","[0.17963, 4.05037]","[0.0, 3.41913]","[0.0, 2.73064]","[0.2362, 2.52673]","[0.0, 4.41294]","[0.56002, 4.51581]","[0.0, 5.37009]"
"[30, 35]","[0.16271, 4.27432]","[0.71037, 2.64121]","[0.6893, 2.29861]","[0.0, 5.1912]","[0.0, 4.82407]","[0.33421, 3.94069]","[0.08228, 3.41862]","[0.0, 2.73367]","[0.23478, 2.61042]","[0.0, 4.27679]","[0.61939, 4.42791]","[0.06871, 5.20475]"
"[35, 40]","[0.29268, 4.06636]","[0.70285, 2.592]","[0.72754, 2.23151]","[0.0, 5.51305]","[0.0, 4.80266]","[0.34852, 3.95254]","[0.04485, 3.518]","[0.02204, 2.79763]","[0.24465, 2.68757]","[0.0, 4.39334]","[0.64288, 4.38317]","[0.08316, 5.12178]"
"[40, 45]","[0.27873, 4.03082]","[0.71149, 2.5422]","[0.75137, 2.20199]","[0.0, 5.58576]","[0.0, 4.80937]","[0.35966, 3.92902]","[0.0, 3.54806]","[0.12965, 2.70424]","[0.29968, 2.68978]","[0.0, 4.43474]","[0.68683, 4.38016]","[0.10745, 5.08333]"
"[45, 50]","[0.27666, 3.92179]","[0.67943, 2.4846]","[0.77398, 2.16492]","[0.0, 5.69599]","[0.0, 4.99804]","[0.30322, 3.9753]","[0.0, 3.55529]","[0.0148, 2.82154]","[0.34809, 2.70916]","[0.0, 4.47804]","[0.7319, 4.37682]","[0.07502, 5.06386]"
"[50, 55]","[0.36332, 3.71477]","[0.64446, 2.44326]","[0.76462, 2.19096]","[0.0, 5.86426]","[0.0, 5.02044]","[0.29229, 3.93612]","[0.0, 3.47238]","[0.03642, 2.79404]","[0.40173, 2.74589]","[0.0, 4.50993]","[0.78545, 4.37386]","[0.22487, 4.85067]"
"[55, 60]","[0.33256, 3.64936]","[0.61847, 2.40649]","[0.74014, 2.22294]","[0.0, 5.95819]","[0.0, 4.88895]","[0.32343, 3.84431]","[0.0, 3.38812]","[0.03228, 2.773]","[0.47408, 2.72967]","[0.0, 4.62093]","[0.79412, 4.40094]","[0.55003, 4.47391]"
"[60, 65]","[0.29934, 3.64188]","[0.59332, 2.40155]","[0.7416, 2.22087]","[0.0, 5.71204]","[0.0, 4.73853]","[0.26112, 3.8383]","[0.0, 3.35444]","[0.02817, 2.75252]","[0.50141, 2.74272]","[0.0, 4.87139]","[0.71761, 4.5226]","[0.58578, 4.42987]"
"[65, 70]","[0.50929, 3.45842]","[0.45742, 2.48352]","[0.64722, 2.16728]","[0.0, 4.45976]","[0.0, 4.58907]","[0.20318, 3.79429]","[0.0, 3.35192]","[0.03561, 2.75718]","[0.54721, 2.71673]","[0.0, 4.93908]","[0.77496, 4.50999]","[0.0, 5.26508]"
"[70, 75]","[1.05715, 3.15554]","[0.80045, 2.96034]","[1.18144, 2.50754]","[0.6513, 2.52144]","[0.0, 2.71095]","[0.83526, 0.83526]","[0.67227, 1.93737]","[1.19296, 3.72316]","[1.74892, 5.54422]","[1.5998, 6.6602]","[2.19993, 5.19275]","[1.23875, 4.36369]"
