,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 50.0]","[0.0, 50.0]","[0.7021, 0.7021]","[0.37528, 1.58164]","[0.04847, 2.46118]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[25, 30]","[0.0, 2.40304]","[0.0, 1.34489]","[0.02007, 1.0125]","[0.0, 3.16756]","[0.0, 3.54127]","[0.0, 5.00752]","[0.0, 6.67378]","[0.0, 4.77318]","[0.0, 3.24974]","[0.0, 2.43187]","[0.0, 2.41672]","[0.18516, 1.95464]"
"[30, 35]","[0.0, 2.71401]","[0.02861, 1.33059]","[0.0, 1.27357]","[0.0, 2.48491]","[0.0, 3.60032]","[0.0, 4.7812]","[0.0, 5.80271]","[0.0, 4.531]","[0.0, 3.02461]","[0.0, 2.4106]","[0.0, 2.36113]","[0.0832, 1.89402]"
"[35, 40]","[0.0, 2.5486]","[0.10834, 1.25463]","[0.0, 1.31878]","[0.0, 2.05311]","[0.0, 2.67775]","[0.0, 4.00665]","[0.0, 5.02441]","[0.0, 4.18416]","[0.0, 2.78282]","[0.0, 2.21396]","[0.0, 2.26492]","[0.0496, 1.75855]"
"[40, 45]","[0.0, 2.53518]","[0.10174, 1.23783]","[0.0, 1.26278]","[0.0, 1.98148]","[0.0, 1.83948]","[0.0, 2.94379]","[0.0, 3.55056]","[0.0, 3.08556]","[0.0, 2.31513]","[0.0, 2.00315]","[0.0, 2.17764]","[0.01966, 1.68396]"
"[45, 50]","[0.0, 2.81229]","[0.12456, 1.15254]","[0.0, 1.27087]","[0.0, 1.64741]","[0.0, 1.36389]","[0.0, 2.38345]","[0.0, 2.06375]","[0.0, 2.14431]","[0.0, 1.76445]","[0.0, 1.76761]","[0.0, 2.0422]","[0.0, 1.62624]"
"[50, 55]","[0.0, 3.13431]","[0.12413, 1.12854]","[0.0, 1.29145]","[0.0, 1.63036]","[0.0, 1.11809]","[0.0, 1.88024]","[0.0, 1.34983]","[0.0, 1.63217]","[0.0, 1.41813]","[0.0, 1.54238]","[0.0, 1.92164]","[0.0, 1.58174]"
"[55, 60]","[0.0, 3.19262]","[0.12773, 1.09311]","[0.0, 1.34592]","[0.0, 1.54092]","[0.0, 1.01968]","[0.0, 1.29316]","[0.0, 1.03837]","[0.0, 1.45138]","[0.0, 1.15008]","[0.0, 1.35346]","[0.0, 1.69645]","[0.0, 1.52039]"
"[60, 65]","[0.0, 3.33552]","[0.13029, 1.09141]","[0.0, 1.32872]","[0.0, 1.64366]","[0.0, 0.83656]","[0.0, 0.92318]","[0.0, 0.75137]","[0.0, 0.75931]","[0.0, 0.8606]","[0.0, 1.12305]","[0.0, 1.42374]","[0.0, 1.45589]"
"[65, 70]","[0.0, 2.25937]","[0.14942, 0.96826]","[0.0, 1.39379]","[0.0, 2.38373]","[0.0, 1.11702]","[0.0, 0.73598]","[0.0, 0.56063]","[0.0, 0.59996]","[0.0, 0.6374]","[0.0, 1.03234]","[0.0, 1.26797]","[0.0, 1.33883]"
"[70, 75]","[0.18906, 1.12163]","[0.39822, 1.14213]","[0.0, 1.38362]","[0.0, 2.73063]","[0.10729, 0.26751]","[0.93412, 0.93412]","[1.75635, 1.75755]","[1.97993, 1.98233]","[1.42071, 1.42431]","[0.55856, 0.56336]","[0.0, 0.74369]","[0.0, 0.61793]"
