,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 5.0]","[0.0, 5.0]","[0.03705, 0.03705]","[0.019, 0.02049]","[0.00095, 0.00393]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[25, 30]","[0.00479, 0.0313]","[0.0, 0.05764]","[0.0, 0.05891]","[0.0, 0.0622]","[0.00132, 0.00835]","[0.0, 0.0052]","[0.0, 0.01065]","[0.0, 0.01669]","[0.0, 0.01871]","[0.0, 0.0112]","[0.0, 0.01532]","[0.0, 0.02524]"
"[30, 35]","[0.00054, 0.03383]","[0.0, 0.06898]","[0.0, 0.08196]","[0.0, 0.06726]","[0.00203, 0.01036]","[0.0, 0.00528]","[0.0, 0.01027]","[0.0, 0.01564]","[0.0, 0.01944]","[0.0, 0.01116]","[0.0, 0.01439]","[0.0, 0.02583]"
"[35, 40]","[0.00135, 0.03266]","[0.0, 0.06971]","[0.0, 0.08023]","[0.0, 0.0659]","[0.00156, 0.0104]","[0.0, 0.00519]","[0.0, 0.00988]","[0.0, 0.01504]","[0.0, 0.01922]","[0.0, 0.01161]","[0.0, 0.01507]","[0.0, 0.02574]"
"[40, 45]","[0.00187, 0.03208]","[0.0, 0.06947]","[0.0, 0.07789]","[0.0, 0.06685]","[0.00065, 0.01101]","[0.0, 0.00579]","[0.0, 0.00907]","[0.0, 0.01441]","[0.0, 0.02046]","[0.0, 0.01217]","[0.0, 0.01511]","[0.0, 0.02657]"
"[45, 50]","[0.0, 0.03461]","[0.0, 0.06918]","[0.0, 0.07849]","[0.0, 0.06925]","[0.00026, 0.01167]","[0.0, 0.00564]","[0.0, 0.00842]","[0.0, 0.01483]","[0.0, 0.0248]","[0.0, 0.01241]","[0.0, 0.01581]","[0.0, 0.02701]"
"[50, 55]","[0.0, 0.0368]","[0.0, 0.06905]","[0.0, 0.08029]","[0.0, 0.07008]","[0.0, 0.01218]","[0.0, 0.00573]","[0.0, 0.00835]","[0.0, 0.015]","[0.0, 0.02637]","[0.0, 0.01418]","[0.0, 0.01628]","[0.0, 0.02807]"
"[55, 60]","[0.0, 0.03776]","[0.0, 0.06866]","[0.0, 0.08254]","[0.0, 0.07062]","[0.0, 0.01238]","[0.0, 0.00583]","[0.0, 0.00844]","[0.0, 0.01558]","[0.0, 0.03049]","[0.0, 0.01788]","[0.0, 0.01781]","[0.0, 0.02837]"
"[60, 65]","[0.0, 0.03986]","[0.0, 0.06933]","[0.0, 0.08571]","[0.0, 0.07019]","[0.0, 0.0128]","[0.0, 0.0061]","[0.0, 0.0087]","[0.0, 0.01655]","[0.0, 0.03369]","[0.0, 0.02038]","[0.0, 0.02137]","[0.0, 0.03208]"
"[65, 70]","[0.0, 0.03879]","[0.0, 0.07246]","[0.0, 0.0771]","[0.0, 0.06713]","[0.0006, 0.01393]","[0.0, 0.00686]","[0.0, 0.00874]","[0.0, 0.01649]","[0.0, 0.0368]","[0.0, 0.02089]","[0.0, 0.02501]","[0.0, 0.03362]"
"[70, 75]","[0.0036, 0.03918]","[0.0, 0.07667]","[0.00856, 0.04589]","[0.0, 0.04167]","[0.00277, 0.00561]","[0.00928, 0.00928]","[0.02364, 0.02483]","[0.03334, 0.03572]","[0.02823, 0.0318]","[0.01266, 0.01742]","[0.0, 0.01691]","[0.0, 0.02142]"
