,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0, 200.0]","[0.71334, 2.40834]","[0, 200.0]"
"[25, 30]","[0.21502, 3.34052]","[0.9962, 2.65324]","[0.67526, 2.51895]","[0.57513, 2.13198]","[0.06709, 2.54625]","[0.0, 2.9163]","[0.44064, 2.48314]","[0.0, 2.62565]","[0.18703, 1.74305]","[0.14826, 1.46392]","[0.0, 2.13883]","[0.71089, 2.12611]"
"[30, 35]","[0.0, 5.53298]","[0.0, 3.69232]","[1.03244, 2.1144]","[0.0, 2.84631]","[0.0, 2.59642]","[0.07516, 2.81862]","[0.50206, 2.53381]","[0.31576, 2.33544]","[0.17776, 1.7778]","[0.13527, 1.4382]","[0.0, 2.24951]","[0.55078, 2.27364]"
"[35, 40]","[0.0, 6.75607]","[0.0, 4.09531]","[1.28366, 2.00479]","[0.0, 2.83616]","[0.0, 2.57212]","[0.15873, 2.76496]","[0.6266, 2.58253]","[0.0, 6.36442]","[0.23822, 1.87002]","[0.03551, 1.55389]","[0.0, 2.11604]","[0.58832, 2.28043]"
"[40, 45]","[0.0, 6.82835]","[0.0, 3.97318]","[1.28166, 1.99937]","[0.0, 2.85992]","[0.0, 2.76828]","[0.20762, 2.73273]","[0.65097, 2.60601]","[0.0, 7.47754]","[0.27926, 1.94565]","[0.02221, 1.65743]","[0.0, 2.12136]","[0.58349, 2.24532]"
"[45, 50]","[0.0, 6.64396]","[0.0, 4.1296]","[1.31574, 1.94876]","[0.0, 2.82979]","[0.0, 2.61624]","[0.19909, 2.73013]","[0.59474, 2.68273]","[0.0, 7.86733]","[0.26751, 2.00651]","[0.0, 1.87453]","[0.0, 2.11779]","[0.59926, 2.21019]"
"[50, 55]","[0.0, 6.85866]","[0.0, 4.01135]","[1.36433, 1.92433]","[0.0, 2.84338]","[0.0, 2.6843]","[0.19741, 2.70859]","[0.48328, 2.76088]","[0.0, 6.71507]","[0.33456, 1.99708]","[0.0, 2.02889]","[0.0, 2.12393]","[0.6133, 2.18741]"
"[55, 60]","[0.0, 6.88002]","[0.0, 3.99342]","[1.39303, 1.91619]","[0.0, 2.8426]","[0.0, 2.637]","[0.16473, 2.69844]","[0.36944, 2.79501]","[0.0, 8.34227]","[0.36452, 2.03469]","[0.0, 1.99727]","[0.0, 7.14643]","[0.71257, 2.19692]"
"[60, 65]","[0.0, 6.53441]","[0.0, 3.99752]","[1.43373, 1.92168]","[0.0, 2.79865]","[0.0, 2.59643]","[0.1262, 2.6618]","[0.26131, 2.92799]","[0.0, 7.29772]","[0.0, 2.84288]","[0.0, 1.94268]","[0.0, 2.08416]","[0.66223, 2.08661]"
"[65, 70]","[0.0, 6.88362]","[0.0, 3.89932]","[1.40167, 1.90588]","[0.0, 2.72545]","[0.0, 2.58651]","[0.09913, 2.65403]","[0.17361, 2.9615]","[0.0, 6.05475]","[0.0, 3.34232]","[0.0, 1.9365]","[0.0, 2.1507]","[0.659, 2.0838]"
