,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[1.1918, 1.85451]","[0.0, 50.0]"
"[25, 30]","[0.0, 1.44943]","[0.0, 1.85088]","[0.0, 1.881]","[0.0, 2.74493]","[0.0, 5.71304]","[0.0, 5.7383]","[0.0, 4.69562]","[0.0, 3.55372]","[0.0, 1.93695]","[0.0, 1.82866]","[0.0, 1.86929]","[0.0, 1.88143]"
"[30, 35]","[0.0, 1.3069]","[0.0, 1.77773]","[0.0, 1.93222]","[0.0, 4.45124]","[0.0, 4.74131]","[0.0, 4.89979]","[0.0, 3.76823]","[0.0, 3.00169]","[0.0, 1.80856]","[0.0, 1.73671]","[0.0, 1.68973]","[0.0, 1.5582]"
"[35, 40]","[0.0, 1.22518]","[0.0, 1.5063]","[0.00054, 1.62751]","[0.0, 4.51771]","[0.0, 3.78059]","[0.0, 4.45082]","[0.0, 2.92094]","[0.0, 3.14163]","[0.0, 1.64534]","[0.0, 2.04562]","[0.0, 1.54022]","[0.0, 1.33514]"
"[40, 45]","[0.0, 1.18209]","[0.0, 1.36975]","[0.0, 1.4331]","[0.0, 4.12557]","[0.0, 3.1515]","[0.0, 3.6759]","[0.0, 2.62604]","[0.0, 2.61087]","[0.0, 1.99457]","[0.0, 1.94834]","[0.0, 1.55838]","[0.0, 1.18718]"
"[45, 50]","[0.0, 1.11807]","[0.0, 1.27497]","[0.0, 1.32413]","[0.0, 3.7402]","[0.0, 2.32884]","[0.0, 2.62086]","[0.0, 2.53672]","[0.0, 2.18938]","[0.0, 2.01747]","[0.0, 1.59696]","[0.0, 1.46873]","[0.0, 1.08548]"
"[50, 55]","[0.0, 0.98713]","[0.0, 1.13607]","[0.0, 1.12052]","[0.0, 3.40758]","[0.0, 1.99946]","[0.0, 2.01632]","[0.0, 2.19034]","[0.0, 2.01357]","[0.0, 1.91271]","[0.0, 1.32174]","[0.0, 1.38399]","[0.0, 1.04849]"
"[55, 60]","[0.0, 0.97144]","[0.0, 1.08252]","[0.0, 0.99648]","[0.0, 3.0053]","[0.0, 1.31897]","[0.0, 1.62523]","[0.0, 1.86381]","[0.0, 1.64076]","[0.0, 1.66139]","[0.0, 1.18439]","[0.0, 4.11312]","[0.0, 0.95657]"
"[60, 65]","[0.0, 0.98179]","[0.0, 0.93672]","[0.0, 0.90581]","[0.0, 2.82439]","[0.0, 0.9701]","[0.0, 1.36847]","[0.0, 1.61478]","[0.0, 1.41271]","[0.0, 1.54371]","[0.0, 0.99628]","[0.0, 1.13692]","[0.0, 0.87169]"
"[65, 70]","[0.0, 0.83097]","[0.0, 0.76814]","[0.0, 0.80519]","[0.0, 2.56359]","[0.0, 0.80465]","[0.0, 1.19467]","[0.0, 1.33555]","[0.0, 1.13938]","[0.0, 1.56179]","[0.0, 0.77203]","[0.0, 1.05917]","[0.0, 0.82214]"
"[70, 75]","[0.0, 0.79238]","[0.0, 0.72116]","[0.0, 0.7153]","[0.0, 2.3077]","[0.0, 0.90059]","[0.0, 0.93073]","[0.0, 1.03713]","[0.0, 0.9944]","[0.0, 0.74057]","[0.0, 0.60848]","[0.0, 0.90174]","[0.0, 0.79136]"
"[75, 80]","[0.0, 0.76189]","[0.0, 0.70144]","[0.0, 0.6612]","[0.0, 1.97307]","[0.0, 0.51711]","[0.0, 0.94084]","[0.0, 0.79409]","[0.0, 0.99052]","[0.0, 0.61824]","[0.0, 0.5254]","[0.0, 0.84528]","[0.0, 0.73289]"
"[80, 85]","[0.0, 0.73869]","[0.0, 0.66354]","[0.0, 0.60063]","[0.0, 1.52752]","[0.0, 0.45638]","[0.0, 0.54152]","[0.0, 0.6353]","[0.0, 0.73684]","[0.0, 0.52202]","[0.0, 0.43688]","[0.0, 0.7494]","[0.0, 0.68009]"
"[85, 90]","[0.0, 0.69938]","[0.0, 0.62753]","[0.0, 0.55755]","[0.0, 1.20716]","[0.0, 0.39632]","[0.0, 0.45494]","[0.0, 0.49765]","[0.0, 0.68169]","[0.0, 0.43325]","[0.0, 0.35799]","[0.0, 0.63748]","[0.0, 0.61459]"
"[90, 95]","[0.0, 0.66782]","[0.0, 0.6156]","[0.0, 0.52083]","[0.0, 1.07272]","[0.0, 0.30105]","[0.0, 0.31135]","[0.0, 0.39813]","[0.0, 0.68809]","[0.0, 0.39062]","[0.0, 0.30453]","[0.0, 0.5431]","[0.0, 0.52065]"
"[95, 100]","[0.0, 0.647]","[0.0, 0.60135]","[0.0, 0.47703]","[0.0, 1.00235]","[0.0, 0.34351]","[0.0, 0.24964]","[0.0, 0.32098]","[0.0, 0.61361]","[0.0, 0.29893]","[0.0, 0.24956]","[0.0, 0.55564]","[0.0, 0.47308]"
"[100, 125]","[0.0, 0.57724]","[0.0, 0.53899]","[0.0, 0.39507]","[0.0, 0.63327]","[0.0, 0.19731]","[0.0, 0.18739]","[0.0, 0.21681]","[0.0, 0.59982]","[0.0, 0.20767]","[0.0, 0.2503]","[0.0, 0.63651]","[0.0, 0.26574]"
"[125, 150]","[0.0, 0.45267]","[0.0, 0.41682]","[0.0, 0.29397]","[0.0, 0.31073]","[0.0, 0.13451]","[0.0, 0.17695]","[0.0, 0.11071]","[0.0, 0.55453]","[0.0, 0.10383]","[0.0, 0.09007]","[0.0, 0.71151]","[0.0, 0.131]"
"[150, 175]","[0.0, 0.2382]","[0.0, 0.23124]","[0.0, 0.13314]","[0.0, 0.28156]","[0.0, 0.1012]","[0.0, 0.2188]","[0.0, 0.12491]","[0.0, 0.56047]","[0.0, 0.07528]","[0.0, 0.08574]","[0.0, 0.60737]","[0.0, 0.0649]"
"[175, 200]","[0.0, 0.09305]","[0.0, 0.07522]","[0.0, 0.06621]","[0.0, 0.28213]","[0.0, 0.09269]","[0.0, 0.09552]","[0.0, 0.0899]","[0.0, 0.58244]","[0.0, 0.08041]","[0.0, 0.08456]","[0.0, 0.60928]","[0.0, 0.05913]"
"[200, 225]","[0.0, 0.0612]","[0.0, 0.50283]","[0.0, 0.04241]","[0.0, 0.27101]","[0.0, 0.10486]","[0.0, 0.22065]","[0.0, 0.08506]","[0.0, 0.49311]","[0.0, 0.07486]","[0.0, 0.08649]","[0.0, 0.56742]","[0.0, 0.10166]"
"[225, 250]","[0.0, 0.06128]","[0.0, 0.10278]","[0.0, 0.04027]","[0.0, 0.24554]","[0.0, 0.09859]","[0.0, 0.08916]","[0.0, 0.08708]","[0.0, 0.53375]","[0.0, 0.07563]","[0.0, 0.08669]","[0.0, 0.58589]","[0.0, 0.11625]"
"[250, 275]","[0.0, 0.06326]","[0.0, 0.23115]","[0.0, 0.04233]","[0.0, 0.14672]","[0.0, 0.08476]","[0.0, 0.20038]","[0.0, 0.08647]","[0.0, 0.52474]","[0.0, 0.076]","[0.0, 0.10018]","[0.0, 0.57816]","[0.0, 0.0634]"
"[275, 300]","[0.0, 0.06927]","[0.0, 0.22048]","[0.0, 0.04236]","[0.0, 0.18976]","[0.0, 0.09369]","[0.0, 0.19349]","[0.0, 0.08674]","[0.0, 0.51447]","[0.0, 0.07655]","[0.0, 0.08693]","[0.0, 0.57444]","[0.0, 0.0683]"
"[300, 325]","[0.0, 0.06473]","[0.0, 0.24375]","[0.0, 0.04361]","[0.0, 0.10536]","[0.0, 0.09396]","[0.0, 0.26676]","[0.0, 0.09235]","[0.0, 0.52994]","[0.0, 0.07676]","[0.0, 0.08747]","[0.0, 0.58313]","[0.0, 0.06159]"
"[325, 350]","[0.0, 0.0963]","[0.0, 0.0519]","[0.0, 0.04328]","[0.0, 0.20991]","[0.0, 0.11177]","[0.0, 0.17177]","[0.0, 0.08644]","[0.0, 0.55478]","[0.0, 0.07698]","[0.0, 0.08835]","[0.0, 0.62043]","[0.0, 0.06162]"
