,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.00153, 0.00315]","[0.0, 5.0]"
"[25, 30]","[0.00064, 0.00416]","[0.0, 0.01121]","[0.0, 0.03635]","[0.0, 0.04476]","[0.00014, 0.00857]","[0.0, 0.00882]","[0.0, 0.01105]","[0.0, 0.07957]","[0.00291, 0.00924]","[0.0, 0.01286]","[0.0, 0.01687]","[0.0, 0.00333]"
"[30, 35]","[0.00048, 0.00435]","[0.00069, 0.00614]","[0.0, 0.02452]","[0.0, 0.00822]","[0.0, 0.00582]","[0.0, 0.00633]","[0.0, 0.00784]","[0.0, 0.00962]","[0.0, 0.00671]","[0.0, 0.01064]","[0.0, 0.02789]","[0.0, 0.00517]"
"[35, 40]","[0.00046, 0.00391]","[5e-05, 0.00551]","[0.0, 0.00915]","[0.0, 0.00563]","[0.0, 0.00502]","[0.0, 0.00543]","[0.0, 0.00737]","[0.0, 0.01684]","[0.0, 0.0073]","[0.0, 0.01133]","[0.0, 0.02197]","[0.0, 0.00661]"
"[40, 45]","[0.00053, 0.00383]","[0.0, 0.0071]","[0.0, 0.01128]","[8e-05, 0.00548]","[0.0, 0.00443]","[0.0, 0.00467]","[0.0, 0.00695]","[0.0, 0.01779]","[0.0, 0.00668]","[0.0, 0.01147]","[0.0, 0.02181]","[0.0, 0.00699]"
"[45, 50]","[0.0001, 0.00391]","[0.00016, 0.00529]","[0.0, 0.0075]","[0.0, 0.00509]","[0.0, 0.00383]","[0.0, 0.00401]","[0.0, 0.00612]","[0.0, 0.01783]","[0.0, 0.00677]","[0.0, 0.01083]","[0.0, 0.02084]","[0.0, 0.00471]"
"[50, 55]","[0.00029, 0.0036]","[0.00038, 0.00483]","[0.00134, 0.00422]","[0.0, 0.00475]","[0.0, 0.00334]","[0.0, 0.00403]","[0.0, 0.0058]","[0.0, 0.01798]","[0.0, 0.00694]","[0.0, 0.011]","[0.0, 0.0186]","[0.0, 0.00564]"
"[55, 60]","[0.0, 0.00427]","[0.0, 0.00395]","[0.00081, 0.0029]","[0.0, 0.00402]","[0.0, 0.0047]","[0.0, 0.00483]","[0.0, 0.00572]","[0.0, 0.01614]","[0.0, 0.00708]","[0.0, 0.02639]","[0.0, 0.06671]","[0.0, 0.00522]"
"[60, 65]","[5e-05, 0.00325]","[0.0, 0.00386]","[0.00087, 0.003]","[0.0, 0.00391]","[5e-05, 0.00261]","[0.0, 0.00388]","[0.0, 0.00593]","[0.0, 0.01731]","[0.0, 0.01615]","[0.0, 0.01081]","[0.0, 0.01925]","[0.0, 0.00837]"
"[65, 70]","[0.0, 0.00291]","[0.0, 0.00322]","[0.0008, 0.00244]","[0.0, 0.0037]","[0.0, 0.00318]","[0.0, 0.00324]","[0.0, 0.00777]","[0.0, 0.01436]","[0.0, 0.01146]","[0.0, 0.01108]","[0.0, 0.01968]","[0.0, 0.00623]"
