,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.00341, 0.00645]","[0.00393, 0.00798]","[0.00445, 0.00951]","[0.00408, 0.00841]","[0.00371, 0.00732]","[0.00334, 0.00623]","[0.00297, 0.00513]","[0.0026, 0.00404]","[0.00223, 0.00295]","[0.00185, 0.00185]","[0.00237, 0.00339]","[0.00289, 0.00492]"
"[25, 30]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[30, 35]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[35, 40]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[40, 45]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[45, 50]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[50, 55]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[55, 60]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[60, 65]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[65, 70]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[70, 75]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.01497, 0.01497]","[0.0, 5.0]"
