,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[25, 30]","[0.50711, 2.5463]","[0.30244, 1.72712]","[0.45386, 1.50622]","[0.12966, 2.06645]","[0.0, 2.66805]","[0.62403, 2.83574]","[0.25183, 2.88053]","[0.0, 2.10846]","[0.0, 1.63584]","[0.0, 2.50186]","[0.01596, 2.49011]","[0.16691, 2.40938]"
"[30, 35]","[0.44043, 2.53132]","[0.35157, 1.64841]","[0.46302, 1.50254]","[0.16926, 1.90682]","[0.0, 2.53047]","[0.0, 2.72961]","[0.0, 2.37831]","[0.0, 2.24769]","[0.00556, 1.67839]","[0.0, 2.41377]","[0.0, 2.42692]","[0.11391, 2.41762]"
"[35, 40]","[0.40401, 2.53563]","[0.37008, 1.57293]","[0.44725, 1.47446]","[0.19377, 1.8893]","[0.05175, 2.50944]","[0.0, 2.70329]","[0.0, 2.34091]","[0.0, 2.22757]","[0.05875, 1.77321]","[0.0, 2.49891]","[0.0, 2.40197]","[0.10093, 2.39019]"
"[40, 45]","[0.35783, 2.53477]","[0.42619, 1.48102]","[0.44866, 1.42216]","[0.19903, 1.88074]","[0.09821, 2.48592]","[0.0, 2.64404]","[0.07061, 2.25645]","[0.10555, 2.1459]","[0.12023, 1.82]","[0.0, 2.71959]","[0.0, 2.37326]","[0.09807, 2.33236]"
"[45, 50]","[0.31969, 2.53654]","[0.4283, 1.44578]","[0.49052, 1.35058]","[0.18007, 1.89565]","[0.014, 2.57004]","[0.0, 2.66208]","[0.16558, 2.21905]","[0.28418, 2.04679]","[0.19561, 1.83086]","[0.0, 2.99424]","[0.0, 2.38852]","[0.11038, 2.2852]"
"[50, 55]","[0.29729, 2.51915]","[0.45355, 1.41476]","[0.48897, 1.30445]","[0.19982, 1.84255]","[0.11003, 2.44337]","[0.0, 2.57212]","[0.17927, 2.2239]","[0.34125, 2.02091]","[0.26309, 1.81724]","[0.0, 3.17599]","[0.0, 2.43395]","[0.11759, 2.25756]"
"[55, 60]","[0.36469, 3.33465]","[0.77189, 3.10182]","[1.15499, 3.62818]","[0.83159, 3.84031]","[0.0803, 2.45055]","[0.0, 2.56711]","[0.0, 2.69874]","[0.31621, 2.00877]","[0.275, 1.79064]","[0.0, 3.25518]","[0.55557, 2.95455]","[0.50407, 3.20928]"
"[60, 65]","[0.2953, 2.565]","[0.0, 2.86987]","[0.4989, 1.24801]","[0.23448, 1.74908]","[0.06724, 2.43891]","[0.0, 2.59272]","[0.04461, 2.36339]","[0.29551, 1.96769]","[0.28677, 1.74102]","[0.0, 3.24148]","[0.0, 2.65711]","[0.0, 2.59184]"
"[65, 70]","[0.25166, 2.46333]","[0.34349, 1.49837]","[0.47425, 1.23088]","[0.27837, 1.67361]","[0.07213, 2.40733]","[0.0, 2.52205]","[0.05635, 2.34849]","[0.28536, 1.90975]","[0.28214, 1.73182]","[0.0, 3.18082]","[0.0, 2.69804]","[0.08704, 2.24027]"
