,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[25, 30]","[0.00136, 1.12795]","[0.0, 1.48652]","[0.10785, 1.77059]","[0.0, 4.62943]","[0.0, 6.06904]","[0.0, 4.63658]","[0.0, 4.10729]","[0.0, 2.94762]","[0.0, 1.83691]","[0.0, 1.88865]","[0.0, 1.75799]","[0.0, 1.90471]"
"[30, 35]","[0.00127, 1.14852]","[0.0, 1.37291]","[0.00447, 1.59472]","[0.0, 4.50602]","[0.0, 6.50276]","[0.0, 4.95564]","[0.0, 3.23092]","[0.0, 2.97742]","[0.0, 1.7698]","[0.0, 1.79505]","[0.0, 1.76575]","[0.0, 1.65203]"
"[35, 40]","[0.0, 1.10379]","[0.0, 1.31017]","[0.0, 1.23056]","[0.0, 4.36698]","[0.0, 4.49064]","[0.0, 4.97186]","[0.0, 2.46355]","[0.0, 2.99319]","[0.0, 1.89389]","[0.0, 1.68948]","[0.0, 1.82005]","[0.0, 1.45379]"
"[40, 45]","[0.0, 1.05634]","[0.0, 1.13294]","[0.0, 1.11786]","[0.0, 4.10996]","[0.0, 2.91859]","[0.0, 3.37588]","[0.0, 2.22577]","[0.0, 2.48965]","[0.0, 1.98545]","[0.0, 1.58938]","[0.0, 1.72991]","[0.0, 1.33069]"
"[45, 50]","[0.0, 0.95716]","[0.0, 1.14854]","[0.0, 1.1753]","[0.0, 3.48552]","[0.0, 2.0576]","[0.0, 2.46567]","[0.0, 2.35466]","[0.0, 2.01619]","[0.0, 1.98167]","[0.0, 1.52072]","[0.0, 1.62036]","[0.0, 1.17662]"
"[50, 55]","[0.0, 0.90786]","[0.0, 1.01994]","[0.0, 1.05566]","[0.0, 3.16351]","[0.0, 1.46704]","[0.0, 1.91392]","[0.0, 2.19911]","[0.0, 1.95394]","[0.0, 1.74174]","[0.0, 1.38652]","[0.0, 1.52194]","[0.0, 1.07811]"
"[55, 60]","[0.0, 0.85999]","[0.0, 0.96851]","[0.0, 1.76304]","[0.0, 1.54162]","[0.0, 1.1461]","[0.0, 1.44045]","[0.0, 1.95149]","[0.0, 1.60029]","[0.0, 1.49397]","[0.0, 1.21168]","[0.0, 1.0972]","[0.0, 0.91171]"
"[60, 65]","[0.0, 0.80798]","[0.0, 0.75845]","[0.0, 0.85477]","[0.0, 2.50536]","[0.0, 0.99174]","[0.0, 1.20594]","[0.0, 1.66159]","[0.0, 1.13315]","[0.0, 1.15245]","[0.0, 1.02189]","[0.0, 1.22884]","[0.0, 0.92441]"
"[65, 70]","[0.0, 0.84815]","[0.0, 0.72803]","[0.0, 0.66755]","[0.0, 2.54513]","[0.0, 0.69372]","[0.0, 1.00952]","[0.0, 1.4417]","[0.0, 0.80566]","[0.0, 0.90284]","[0.0, 0.81353]","[0.0, 1.0749]","[0.0, 0.92225]"
"[70, 75]","[0.0, 0.76382]","[0.0, 0.7644]","[0.0, 0.69895]","[0.0, 1.98855]","[0.0, 0.66556]","[0.0, 0.80519]","[0.0, 1.07395]","[0.0, 0.62586]","[0.0, 0.69501]","[0.0, 0.6452]","[0.0, 0.82692]","[0.0, 0.83992]"
"[75, 80]","[0.0, 0.73024]","[0.0, 0.66544]","[0.0, 0.65271]","[0.0, 1.74795]","[0.0, 0.55295]","[0.0, 0.61504]","[0.0, 0.81825]","[0.0, 0.49825]","[0.0, 0.56656]","[0.0, 0.51603]","[0.0, 0.72114]","[0.0, 0.73791]"
"[80, 85]","[0.0, 0.69369]","[0.0, 0.62419]","[0.0, 0.59706]","[0.0, 1.58633]","[0.0, 0.44973]","[0.0, 0.55404]","[0.0, 0.63302]","[0.0, 0.40321]","[0.0, 0.48282]","[0.0, 0.41331]","[0.0, 0.60868]","[0.0, 0.66536]"
"[85, 90]","[0.0, 0.66414]","[0.0, 0.59358]","[0.0, 0.55115]","[0.0, 1.25199]","[0.0, 0.36578]","[0.0, 0.4393]","[0.0, 0.514]","[0.0, 0.33892]","[0.0, 0.39431]","[0.0, 0.32874]","[0.0, 0.56025]","[0.0, 0.56553]"
"[90, 95]","[0.0, 0.66047]","[0.0, 0.5379]","[0.0, 0.4947]","[0.0, 0.95312]","[0.0, 0.32563]","[0.0, 0.31597]","[0.0, 0.42359]","[0.0, 0.28876]","[0.0, 0.33242]","[0.0, 0.27773]","[0.0, 0.36596]","[0.0, 0.46922]"
"[95, 100]","[0.0, 0.59532]","[0.0, 0.51432]","[0.0, 0.46734]","[0.0, 0.8325]","[0.0, 0.29433]","[0.0, 0.26125]","[0.0, 0.35585]","[0.0, 0.25504]","[0.0, 0.27587]","[0.0, 0.2309]","[0.0, 0.26765]","[0.0, 0.39233]"
"[100, 125]","[0.0, 0.47413]","[0.0, 0.4326]","[0.0, 0.38246]","[0.0, 0.67229]","[0.0, 0.24375]","[0.0, 0.17135]","[0.0, 0.26749]","[0.0, 0.20943]","[0.0, 0.19615]","[0.0, 0.16002]","[0.0, 0.16846]","[0.0, 0.30058]"
"[125, 150]","[0.0, 0.28078]","[0.0, 0.34551]","[0.0, 0.28397]","[0.0, 0.51118]","[0.0, 0.16797]","[0.0, 0.12446]","[0.0, 0.16869]","[0.0, 0.18787]","[0.0, 0.13611]","[0.0, 0.11251]","[0.0, 0.10526]","[0.0, 0.10479]"
"[150, 175]","[0.0, 0.17873]","[0.0, 0.14589]","[0.0, 0.18237]","[0.0, 0.52509]","[0.0, 0.16659]","[0.0, 0.14111]","[0.0, 0.14344]","[0.0, 0.1828]","[0.0, 0.12528]","[0.0, 0.10359]","[0.0, 0.10018]","[0.0, 0.12088]"
"[175, 200]","[0.0, 0.14265]","[0.0, 0.08375]","[0.00101, 0.10539]","[0.0, 0.48226]","[0.0, 0.15517]","[0.0, 0.10362]","[0.0, 0.1412]","[0.0, 0.17327]","[0.0, 0.12456]","[0.0, 0.10146]","[0.0, 0.09781]","[0.0, 0.16417]"
"[200, 225]","[0.0, 0.24099]","[0.0, 0.18451]","[0.00854, 0.0943]","[0.0, 0.46347]","[0.0, 0.11895]","[0.0, 0.10355]","[0.0, 0.13767]","[0.0, 0.17132]","[0.0, 0.1214]","[0.0, 0.10307]","[0.0, 0.10508]","[0.0, 0.11788]"
"[225, 250]","[0.0, 0.16781]","[0.0, 0.07016]","[0.0, 0.07314]","[0.0, 0.49337]","[0.0, 0.11063]","[0.0, 0.09776]","[0.0, 0.14779]","[0.0, 0.19222]","[0.0, 0.11661]","[0.0, 0.10264]","[0.0, 0.10325]","[0.0, 0.13209]"
"[250, 275]","[0.0, 0.16873]","[0.0, 0.08068]","[0.0, 0.07379]","[0.0, 0.49729]","[0.0, 0.11183]","[0.0, 0.10018]","[0.0, 0.14845]","[0.0, 0.19625]","[0.0, 0.12055]","[0.0, 0.12535]","[0.0, 0.10624]","[0.0, 0.11008]"
"[275, 300]","[0.0, 0.17344]","[0.0, 0.77805]","[0.0, 0.07465]","[0.0, 0.50335]","[0.0, 0.11569]","[0.0, 0.10445]","[0.0, 0.14924]","[0.0, 0.19805]","[0.0, 0.12364]","[0.0, 0.10367]","[0.0, 0.10758]","[0.0, 0.10818]"
"[300, 325]","[0.0, 0.17465]","[0.0, 0.07063]","[0.0, 0.07604]","[0.0, 0.50042]","[0.0, 0.10454]","[0.0, 0.10773]","[0.0, 0.14884]","[0.0, 0.20021]","[0.0, 0.12599]","[0.0, 0.10495]","[0.0, 0.10522]","[0.0, 0.1599]"
"[325, 350]","[0.0, 0.1779]","[0.0, 0.06928]","[0.0, 0.07364]","[0.0, 0.49025]","[0.0, 0.11392]","[0.0, 0.10299]","[0.0, 0.15245]","[0.0, 0.20675]","[0.0, 0.12659]","[0.0, 0.10876]","[0.0, 0.10839]","[0.0, 0.19797]"
"[350, 375]","[0.0, 0.17589]","[0.0, 0.09716]","[0.0, 0.07449]","[0.0, 0.48845]","[0.0, 0.11533]","[0.0, 0.11142]","[0.0, 0.1475]","[0.0, 0.20154]","[0.0, 0.12659]","[0.0, 0.1163]","[0.0, 0.10429]","[0.0, 0.10941]"
"[375, 400]","[0.0, 0.17534]","[0.0, 0.07189]","[0.0, 0.07436]","[0.0, 0.56625]","[0.0, 0.2472]","[0.0, 0.10206]","[0.0, 0.14683]","[0.0, 0.20394]","[0.0, 0.12855]","[0.0, 0.10556]","[0.0, 0.13518]","[0.0, 0.10966]"
"[400, 425]","[0.0, 0.17696]","[0.0, 0.06752]","[0.0, 0.07443]","[0.0, 0.39303]","[0.0, 0.10186]","[0.0, 0.11019]","[0.0, 0.16703]","[0.0, 0.15422]","[0.0, 0.10492]","[0.00017, 0.10038]","[0.0, 0.1036]","[0.0, 0.1092]"
"[425, 450]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.05, 0.05]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
