,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]","[0.0, 5.0]"
"[25, 30]","[0.0, 0.01104]","[0.00032, 0.0055]","[0.00031, 0.00505]","[0.0, 0.0058]","[0.0, 0.00794]","[0.0, 0.00819]","[0.0, 0.00739]","[0.0, 0.00757]","[0.0, 0.00442]","[0.0, 0.00382]","[0.00016, 0.0037]","[0.0, 0.0069]"
"[30, 35]","[0.0, 0.01074]","[0.00055, 0.00517]","[0.00034, 0.00478]","[0.0, 0.00542]","[0.0, 0.00668]","[0.0, 0.01038]","[0.0, 0.00731]","[0.0, 0.00708]","[0.00016, 0.00383]","[0.0, 0.00453]","[0.00022, 0.00362]","[0.0, 0.00855]"
"[35, 40]","[0.0, 0.0107]","[0.0, 0.00566]","[0.00035, 0.00459]","[0.0, 0.00529]","[0.0, 0.00779]","[0.0, 0.00845]","[0.0, 0.00671]","[0.0, 0.00756]","[0.0, 0.00447]","[0.0, 0.00376]","[0.0, 0.00409]","[0.0, 0.00632]"
"[40, 45]","[0.0, 0.01088]","[0.0011, 0.0044]","[0.00015, 0.00465]","[0.0, 0.00503]","[0.0, 0.00803]","[0.0, 0.00573]","[2e-05, 0.00494]","[0.0, 0.00818]","[0.0, 0.00489]","[0.0, 0.00382]","[0.00015, 0.00336]","[0.0, 0.00523]"
"[45, 50]","[0.0, 0.01096]","[0.00092, 0.00445]","[0.0, 0.0047]","[0.0, 0.00496]","[0.0, 0.00754]","[0.0, 0.00724]","[0.0, 0.00459]","[0.0, 0.00787]","[0.0, 0.00434]","[0.0, 0.0037]","[0.00033, 0.00307]","[0.0, 0.00557]"
"[50, 55]","[0.0, 0.01104]","[0.00139, 0.00454]","[0.00064, 0.00447]","[0.0, 0.00486]","[0.0, 0.00428]","[0.0, 0.00429]","[0.0, 0.00417]","[0.0, 0.00831]","[0.0, 0.00544]","[0.0, 0.00358]","[0.0, 0.00313]","[0.0, 0.00486]"
"[55, 60]","[0.0, 0.01053]","[0.0, 0.0319]","[0.0, 0.02097]","[0.0, 0.02066]","[0.0, 0.00611]","[0.0, 0.00394]","[0.0, 0.0058]","[0.0, 0.00784]","[0.0, 0.00598]","[0.0, 0.00413]","[0.0, 0.00331]","[0.0, 0.0093]"
"[60, 65]","[0.0, 0.01189]","[0.0, 0.01578]","[0.00177, 0.00518]","[0.0, 0.00481]","[0.0, 0.00405]","[0.0, 0.00422]","[0.0, 0.0066]","[0.0, 0.00828]","[0.0, 0.00427]","[0.0, 0.00403]","[0.0, 0.00368]","[0.0, 0.00747]"
"[65, 70]","[0.0, 0.01254]","[0.00099, 0.00757]","[0.00189, 0.00507]","[0.0, 0.00469]","[0.0, 0.00553]","[0.0, 0.00312]","[0.0, 0.00546]","[0.0, 0.00724]","[0.0, 0.00394]","[0.0, 0.0041]","[0.00012, 0.00276]","[0.0, 0.00569]"
"[70, 75]","[0.0, 0.01251]","[0.0003, 0.00286]","[0.00041, 0.00353]","[0.0, 0.00476]","[0.0, 0.005]","[0.0, 0.00404]","[0.0, 0.00579]","[0.0, 0.00815]","[0.0, 0.00359]","[0.0, 0.00477]","[0.0, 0.05824]","[0.0, 0.0046]"
"[75, 80]","[0.0, 0.01078]","[0.00097, 0.00366]","[0.00055, 0.00327]","[0.0, 0.00366]","[0.0, 0.0052]","[0.0, 0.00575]","[0.0, 0.00646]","[0.0, 0.00683]","[0.0, 0.0034]","[0.0, 0.0045]","[0.00012, 0.00273]","[0.0, 0.00461]"
"[80, 85]","[0.0, 0.01081]","[0.0014, 0.00316]","[0.00051, 0.0032]","[0.0, 0.00441]","[0.0, 0.00609]","[0.0, 0.00355]","[0.0, 0.00573]","[0.0, 0.0067]","[0.0, 0.00336]","[0.0, 0.00428]","[0.0, 0.00536]","[0.0, 0.00449]"
"[85, 90]","[0.0, 0.01066]","[0.00133, 0.00318]","[0.00046, 0.00316]","[0.0, 0.00299]","[0.0, 0.00552]","[0.0, 0.00334]","[0.0, 0.00568]","[0.0, 0.00678]","[0.0, 0.00338]","[0.0, 0.00379]","[0.0, 0.0028]","[0.0, 0.00442]"
"[90, 95]","[0.0, 0.01065]","[0.00133, 0.00316]","[0.0005, 0.00306]","[0.0, 0.00302]","[0.0, 0.00326]","[0.0, 0.00385]","[0.00034, 0.00233]","[0.0, 0.00656]","[0.0, 0.00314]","[0.0, 0.00339]","[0.0, 0.0028]","[0.0, 0.00463]"
"[95, 100]","[0.0, 0.01051]","[0.0013, 0.00318]","[0.00053, 0.00298]","[0.0, 0.00277]","[0.0, 0.00551]","[0.0, 0.00518]","[0.00026, 0.00241]","[0.0, 0.00685]","[0.0, 0.00335]","[0.0, 0.00334]","[0.0, 0.00499]","[0.0, 0.00453]"
"[100, 125]","[0.0, 0.01069]","[0.00083, 0.00364]","[0.00052, 0.0029]","[0.0, 0.00266]","[0.0, 0.00417]","[0.0, 0.00386]","[0.0, 0.0031]","[0.0, 0.00675]","[0.0, 0.00285]","[0.0, 0.00369]","[0.0, 0.00389]","[0.0, 0.00462]"
