,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00061, 0.00194]","[0.00067, 0.00201]","[0.00000, 0.00321]","[0.00000, 0.00382]","[0.00000, 0.01345]","[0.00055, 0.00316]","[0.00000, 0.01261]","[0.00000, 0.00607]","[0.00000, 0.00647]","[0.00032, 0.00383]","[0.00058, 0.00289]","[0.00051, 0.00231]"
"[7, 8]","[0.00059, 0.00208]","[0.00066, 0.00216]","[0.00000, 0.00416]","[0.00000, 0.00364]","[0.00000, 0.00933]","[0.00040, 0.00284]","[0.00000, 0.01175]","[0.00000, 0.00569]","[0.00000, 0.00506]","[0.00032, 0.00372]","[0.00003, 0.00330]","[0.00050, 0.00230]"
"[8, 9]","[0.00053, 0.00217]","[0.00080, 0.00205]","[0.00000, 0.00570]","[0.00000, 0.00604]","[0.00000, 0.00939]","[0.00007, 0.00339]","[0.00000, 0.01144]","[0.00000, 0.00581]","[0.00000, 0.00505]","[0.00000, 0.00453]","[0.00000, 0.00334]","[0.00048, 0.00232]"
"[9, 10]","[0.00062, 0.00209]","[0.00066, 0.00221]","[0.00000, 0.00571]","[0.00000, 0.00361]","[0.00000, 0.00902]","[0.00000, 0.00400]","[0.00000, 0.01259]","[0.00000, 0.00796]","[0.00000, 0.00510]","[0.00000, 0.00399]","[0.00000, 0.00345]","[0.00049, 0.00228]"
"[10, 11]","[0.00056, 0.00203]","[0.00065, 0.00218]","[0.00000, 0.00599]","[0.00000, 0.00409]","[0.00000, 0.00923]","[0.00000, 0.00394]","[0.00000, 0.01501]","[0.00000, 0.00768]","[0.00000, 0.00499]","[0.00000, 0.00436]","[0.00000, 0.00432]","[0.00000, 0.00284]"
"[11, 12]","[0.00061, 0.00201]","[0.00080, 0.00204]","[0.00000, 0.00398]","[0.00000, 0.00741]","[0.00000, 0.01257]","[0.00032, 0.00315]","[0.00000, 0.00689]","[0.00000, 0.00719]","[0.00000, 0.00529]","[0.00000, 0.00370]","[0.00000, 0.00366]","[0.00000, 0.00347]"
"[12, 13]","[0.00056, 0.00209]","[0.00087, 0.00230]","[0.00000, 0.00482]","[0.00000, 0.00706]","[0.00000, 0.00549]","[0.00044, 0.00309]","[0.00000, 0.00708]","[0.00000, 0.00595]","[0.00000, 0.00597]","[0.00000, 0.00400]","[0.00000, 0.00385]","[0.00000, 0.00255]"
"[13, 14]","[0.00055, 0.00225]","[0.00076, 0.00214]","[0.00000, 0.00385]","[0.00000, 0.00574]","[0.00000, 0.00678]","[0.00001, 0.00362]","[0.00000, 0.01331]","[0.00000, 0.00634]","[0.00000, 0.00564]","[0.00000, 0.00405]","[0.00000, 0.00329]","[0.00000, 0.00313]"
"[14, 15]","[0.00039, 0.00262]","[0.00097, 0.00258]","[0.00000, 0.00401]","[0.00000, 0.00378]","[0.00000, 0.00851]","[0.00000, 0.00509]","[0.00011, 0.00374]","[0.00000, 0.00617]","[0.00000, 0.00604]","[0.00000, 0.00429]","[0.00000, 0.00439]","[0.00000, 0.00290]"
"[15, 16]","[0.00009, 0.00274]","[0.00074, 0.00252]","[0.00000, 0.00345]","[0.00000, 0.00475]","[0.00000, 0.00750]","[0.00000, 0.00430]","[0.00000, 0.01025]","[0.00000, 0.00792]","[0.00000, 0.00538]","[0.00000, 0.00542]","[0.00000, 0.00401]","[0.00000, 0.00314]"
