,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.12319, 1.35194]","[0.17329, 1.27320]","[0.00000, 2.14982]","[0.00000, 3.22274]","[0.00000, 2.86710]","[0.05635, 0.57983]","[0.00000, 2.03378]","[0.00000, 2.66625]","[0.00000, 2.15429]","[0.22543, 1.51668]","[0.30500, 1.55930]","[0.21064, 1.47113]"
"[7, 8]","[0.15651, 1.39700]","[0.20358, 1.29935]","[0.00000, 2.03375]","[0.00000, 2.86948]","[0.00000, 2.51736]","[0.00000, 0.46397]","[0.00000, 2.86458]","[0.00000, 2.65603]","[0.00000, 2.21833]","[0.14946, 1.53711]","[0.24804, 1.53972]","[0.20230, 1.47602]"
"[8, 9]","[0.15422, 1.40875]","[0.23325, 1.27864]","[0.00000, 1.66645]","[0.00000, 2.91206]","[0.00000, 2.75203]","[0.00000, 0.50526]","[0.00000, 2.99326]","[0.00000, 2.58006]","[0.00000, 2.23722]","[0.13005, 1.56909]","[0.23102, 1.56710]","[0.17517, 1.51298]"
"[9, 10]","[0.16863, 1.40766]","[0.25439, 1.27414]","[0.00000, 1.57464]","[0.00000, 2.97200]","[0.00000, 2.79736]","[0.00000, 0.62310]","[0.00000, 2.60251]","[0.00000, 2.49785]","[0.00000, 2.25057]","[0.06516, 1.67155]","[0.23324, 1.59079]","[0.17048, 1.53323]"
"[10, 11]","[0.16905, 1.41136]","[0.25984, 1.27768]","[0.00000, 1.55559]","[0.00000, 2.51869]","[0.00000, 2.76022]","[0.00000, 0.59769]","[0.00000, 2.83154]","[0.00000, 2.40329]","[0.00000, 2.16517]","[0.00000, 1.76714]","[0.23323, 1.60574]","[0.16598, 1.54369]"
"[11, 12]","[0.20933, 1.43595]","[0.29644, 1.28284]","[0.00000, 1.56718]","[0.00000, 2.06730]","[0.00000, 2.75816]","[0.00000, 0.67383]","[0.00000, 1.13769]","[0.00000, 2.38264]","[0.00000, 2.02908]","[0.00000, 1.76386]","[0.19521, 1.59252]","[0.19898, 1.54278]"
"[12, 13]","[0.27622, 1.47670]","[0.29280, 1.30599]","[0.00000, 1.53683]","[0.00000, 2.22163]","[0.00000, 2.55936]","[0.00000, 0.70390]","[0.00000, 1.16377]","[0.00000, 2.10307]","[0.00000, 1.96136]","[0.00000, 1.83182]","[0.19339, 1.60806]","[0.25646, 1.58361]"
"[13, 14]","[0.26227, 1.39514]","[0.35444, 1.33909]","[0.01498, 1.59085]","[0.00000, 2.27409]","[0.00000, 2.38330]","[0.00000, 0.61746]","[0.00000, 3.06661]","[0.00000, 2.35140]","[0.00000, 1.95262]","[0.00000, 1.94384]","[0.09661, 1.54030]","[0.18216, 1.45164]"
"[14, 15]","[0.30984, 1.38238]","[0.42250, 1.50308]","[0.00000, 2.11554]","[0.00000, 4.14050]","[0.00000, 2.13029]","[0.00000, 0.82475]","[0.00000, 0.83510]","[0.00000, 2.61156]","[0.00000, 2.01723]","[0.00000, 2.09827]","[0.07534, 1.52904]","[0.16800, 1.38297]"
"[15, 16]","[0.29324, 1.38456]","[0.36797, 1.55653]","[0.00000, 2.41527]","[0.00000, 2.56094]","[0.00000, 1.66689]","[0.00000, 0.64349]","[0.00000, 1.74521]","[0.00000, 2.78645]","[0.00000, 2.10321]","[0.00000, 2.08168]","[0.10469, 1.52974]","[0.17609, 1.36945]"
"[16, 17]","[0.27411, 1.41065]","[0.24820, 1.70855]","[0.00000, 3.43008]","[0.00000, 2.70247]","[0.00000, 1.60870]","[0.00000, 0.67190]","[0.00000, 1.46054]","[0.00000, 2.92676]","[0.00000, 2.21985]","[0.00000, 2.09455]","[0.08342, 1.55152]","[0.16557, 1.37378]"
"[17, 18]","[0.29948, 1.40072]","[0.24012, 1.80386]","[0.00000, 4.13001]","[0.00000, 3.07059]","[0.00000, 1.54126]","[0.00000, 0.84654]","[0.00000, 1.67570]","[0.00000, 2.87175]","[0.00000, 2.37281]","[0.00000, 2.10368]","[0.05418, 1.53416]","[0.13739, 1.35656]"
"[18, 19]","[0.29960, 1.40182]","[0.26176, 1.81911]","[0.00000, 4.27872]","[0.00000, 3.22307]","[0.00000, 1.56826]","[0.00000, 0.93831]","[0.00000, 1.32434]","[0.00000, 2.76549]","[0.00000, 2.33430]","[0.00000, 2.09594]","[0.06103, 1.52242]","[0.13453, 1.34187]"
"[19, 20]","[0.32350, 1.36510]","[0.25050, 1.82577]","[0.00000, 4.25874]","[0.00000, 3.55386]","[0.00000, 1.59131]","[0.00000, 1.10509]","[0.00000, 1.31905]","[0.00000, 2.82517]","[0.00000, 2.32723]","[0.00000, 2.08854]","[0.08100, 1.49822]","[0.11122, 1.35250]"
"[20, 21]","[0.32506, 1.35628]","[0.24138, 1.79596]","[0.00000, 4.26013]","[0.00000, 3.64189]","[0.00000, 1.55522]","[0.00000, 1.40008]","[0.00000, 2.30200]","[0.00000, 3.01338]","[0.00000, 2.42519]","[0.00000, 2.17398]","[0.12347, 1.56157]","[0.15617, 1.36397]"
"[21, 22]","[0.31395, 1.36311]","[0.25534, 1.75589]","[0.00000, 4.22019]","[0.00000, 3.50046]","[0.00000, 1.82049]","[0.00000, 1.48641]","[0.00000, 2.49932]","[0.00000, 2.65826]","[0.00000, 2.42069]","[0.00000, 2.14080]","[0.14074, 1.54699]","[0.14734, 1.38228]"
"[22, 23]","[0.32923, 1.35212]","[0.27522, 1.72242]","[0.00000, 4.20251]","[0.00000, 3.46861]","[0.00000, 1.98992]","[0.00000, 1.80838]","[0.00000, 2.91328]","[0.00000, 2.83115]","[0.00000, 2.37310]","[0.00000, 2.10022]","[0.10659, 1.54401]","[0.17140, 1.35796]"
"[23, 24]","[0.32836, 1.32960]","[0.28594, 1.70549]","[0.00000, 4.17418]","[0.00000, 3.66849]","[0.00000, 1.68764]","[0.00000, 1.79164]","[0.00000, 1.76253]","[0.00000, 2.87654]","[0.00000, 2.32283]","[0.00000, 2.13015]","[0.11853, 1.51621]","[0.15446, 1.34507]"
"[24, 25]","[0.33320, 1.32032]","[0.27122, 1.66825]","[0.00000, 3.76024]","[0.00000, 3.21235]","[0.00000, 1.82990]","[0.00000, 2.04285]","[0.00000, 2.26571]","[0.00000, 2.75682]","[0.00000, 2.25604]","[0.00000, 2.09362]","[0.08157, 1.53290]","[0.16725, 1.34355]"
"[25, 26]","[0.32395, 1.35385]","[0.26231, 1.69600]","[0.00000, 3.60128]","[0.00000, 3.37301]","[0.00000, 1.62984]","[0.00000, 1.69603]","[0.00000, 2.59177]","[0.00000, 2.68502]","[0.00000, 2.22486]","[0.00000, 2.08324]","[0.03879, 1.55793]","[0.15019, 1.36246]"
"[26, 27]","[0.31385, 1.36164]","[0.26608, 1.70717]","[0.00000, 4.02591]","[0.00000, 3.82175]","[0.00000, 2.11251]","[0.00000, 1.67945]","[0.00000, 2.57621]","[0.00000, 2.92053]","[0.00000, 2.15105]","[0.00000, 1.89667]","[0.06818, 1.52277]","[0.11898, 1.39097]"
