,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.35307, 2.07695]","[0.17750, 2.22213]","[0.08748, 2.31007]","[0.00000, 2.70140]","[0.00000, 4.75479]","[1.00130, 2.09138]","[0.00000, 3.07648]","[0.00000, 3.10412]","[0.01191, 2.36429]","[0.01987, 2.15531]","[0.08812, 2.12527]","[0.24683, 2.11007]"
"[7, 8]","[0.37831, 2.02289]","[0.16875, 2.19351]","[0.10159, 2.32333]","[0.00000, 2.85197]","[0.00000, 4.03437]","[1.09613, 2.11994]","[0.00000, 3.16985]","[0.00000, 3.05619]","[0.02262, 2.33185]","[0.03192, 2.17252]","[0.08358, 2.18558]","[0.22504, 2.15651]"
"[8, 9]","[0.41595, 1.95211]","[0.23992, 2.12304]","[0.07457, 2.37965]","[0.03276, 2.64709]","[0.00000, 4.19148]","[0.94616, 2.09451]","[0.00000, 3.06959]","[0.00000, 2.94909]","[0.00000, 2.47820]","[0.00000, 2.26640]","[0.00000, 2.72147]","[0.21331, 2.14693]"
"[9, 10]","[0.40509, 1.98894]","[0.27038, 2.11990]","[0.12653, 2.33037]","[0.01644, 2.63075]","[0.00000, 3.77381]","[0.91318, 2.08467]","[0.00000, 2.97394]","[0.00000, 2.84131]","[0.12228, 2.24178]","[0.00000, 2.30829]","[0.01044, 2.27891]","[0.21570, 2.15181]"
"[10, 11]","[0.46004, 2.05455]","[0.30926, 2.10572]","[0.11280, 2.31739]","[0.06767, 2.56342]","[0.00000, 3.73834]","[0.83429, 2.24252]","[0.00000, 3.06571]","[0.00000, 2.90764]","[0.23134, 2.30835]","[0.00000, 2.58659]","[0.16233, 2.37328]","[0.14429, 2.43284]"
"[11, 12]","[0.58318, 2.13445]","[0.41746, 2.16538]","[0.17877, 2.34653]","[0.06790, 2.57521]","[0.00000, 3.80437]","[1.09944, 1.95562]","[0.00000, 3.10665]","[0.00000, 2.92987]","[0.37299, 2.33868]","[0.10572, 2.56299]","[0.22781, 2.50748]","[0.38551, 2.39795]"
"[12, 13]","[0.73655, 2.36423]","[0.61852, 2.33877]","[0.36944, 2.47401]","[0.29708, 2.65303]","[0.00000, 3.82523]","[1.32899, 2.12379]","[0.14696, 3.23420]","[0.00000, 3.24310]","[0.35931, 2.36951]","[0.05163, 2.60423]","[0.38022, 2.46109]","[0.49152, 2.57132]"
"[13, 14]","[0.68082, 2.57901]","[0.70929, 2.46386]","[0.47468, 2.55929]","[0.39236, 2.68256]","[0.00000, 3.70820]","[1.12827, 2.46709]","[0.19933, 3.39440]","[0.02647, 3.25410]","[0.35889, 2.52724]","[0.05934, 2.65209]","[0.20003, 2.65219]","[0.45475, 2.66969]"
"[14, 15]","[0.61739, 2.62612]","[0.62420, 2.62926]","[0.44630, 2.70003]","[0.29700, 2.82004]","[0.00000, 3.35354]","[0.00000, 3.73208]","[0.13376, 3.49467]","[0.00000, 3.60618]","[0.40868, 2.69596]","[0.00000, 2.89384]","[0.34166, 2.51035]","[0.34497, 2.71312]"
"[15, 16]","[0.51099, 2.67416]","[0.55214, 2.64934]","[0.31592, 2.80977]","[0.27524, 2.83222]","[0.03355, 3.20757]","[0.00000, 3.86486]","[0.00000, 3.61951]","[0.08072, 3.34531]","[0.40417, 2.74423]","[0.11137, 2.81087]","[0.35594, 2.54166]","[0.28142, 2.75976]"
"[16, 17]","[0.50114, 2.65495]","[0.38577, 2.78432]","[0.27518, 2.84478]","[0.30985, 2.82445]","[0.23202, 3.04744]","[0.00000, 3.77686]","[0.00000, 3.73295]","[0.00000, 3.44738]","[0.33906, 2.80354]","[0.01170, 2.92477]","[0.33992, 2.57426]","[0.26169, 2.77503]"
"[17, 18]","[0.52967, 2.64000]","[0.43510, 2.74966]","[0.29625, 2.82745]","[0.33959, 2.78281]","[0.26890, 2.99149]","[0.00000, 3.62013]","[0.00000, 3.81023]","[0.13955, 3.28393]","[0.02976, 3.12813]","[0.08507, 2.85785]","[0.06356, 2.85174]","[0.31256, 2.72951]"
"[18, 19]","[0.56003, 2.61865]","[0.55356, 2.64530]","[0.33347, 2.80019]","[0.34311, 2.77319]","[0.34713, 2.88722]","[0.00000, 3.57618]","[0.00000, 3.73703]","[0.13800, 3.26918]","[0.17609, 2.98008]","[0.09697, 2.84999]","[0.36255, 2.55599]","[0.35203, 2.69370]"
"[19, 20]","[0.57253, 2.59738]","[0.58207, 2.62641]","[0.42350, 2.74312]","[0.34345, 2.80401]","[0.42761, 2.80491]","[0.00000, 3.39438]","[0.00000, 3.72130]","[0.09062, 3.29658]","[0.21442, 2.96358]","[0.00804, 2.98040]","[0.00000, 3.41428]","[0.31042, 2.73534]"
"[20, 21]","[0.58523, 2.58766]","[0.56395, 2.60959]","[0.43327, 2.72282]","[0.38662, 2.78038]","[0.46680, 2.77133]","[0.00000, 3.47422]","[0.00000, 3.53961]","[0.00000, 3.40524]","[0.28318, 3.01305]","[0.26529, 2.92503]","[0.43593, 2.70245]","[0.43204, 2.71525]"
"[21, 22]","[0.62330, 2.55423]","[0.58976, 2.58804]","[0.45068, 2.71498]","[0.38801, 2.79624]","[0.42031, 2.83933]","[0.00000, 3.47035]","[0.00000, 3.45938]","[0.00000, 3.46025]","[0.30808, 2.99700]","[0.14273, 3.05890]","[0.54613, 2.60420]","[0.45063, 2.70548]"
"[22, 23]","[0.62384, 2.53497]","[0.58880, 2.58759]","[0.49593, 2.69633]","[0.41804, 2.79798]","[0.45129, 2.81491]","[0.00000, 3.39536]","[0.05130, 3.35389]","[0.04480, 3.37321]","[0.33909, 3.02530]","[0.07646, 3.19605]","[0.57041, 2.62152]","[0.42556, 2.72981]"
"[23, 24]","[0.62516, 2.53035]","[0.60651, 2.57309]","[0.51403, 2.68138]","[0.40988, 2.79586]","[0.48752, 2.75325]","[0.03116, 3.28582]","[0.03793, 3.36897]","[0.15055, 3.30296]","[0.38815, 3.03030]","[0.28476, 3.03338]","[0.10230, 3.11012]","[0.39332, 2.76215]"
"[24, 25]","[0.63967, 2.52655]","[0.61801, 2.56265]","[0.47194, 2.70898]","[0.37257, 2.80796]","[0.42465, 2.79242]","[0.00000, 3.32755]","[0.22917, 3.17704]","[0.17290, 3.28416]","[0.35562, 3.06405]","[0.26065, 3.05701]","[0.48494, 2.73090]","[0.39622, 2.76915]"
"[25, 26]","[0.61032, 2.55517]","[0.56512, 2.62519]","[0.48881, 2.70888]","[0.41824, 2.77209]","[0.45811, 2.75074]","[0.04535, 3.23691]","[0.06138, 3.32485]","[0.00000, 4.11967]","[0.00000, 3.59333]","[0.00000, 3.62896]","[0.42909, 2.79539]","[0.34018, 2.82366]"
"[26, 27]","[0.63407, 2.53312]","[0.62389, 2.56524]","[0.57861, 2.63351]","[0.44960, 2.77887]","[0.53045, 2.72569]","[0.00000, 3.32622]","[0.20314, 3.17851]","[0.00000, 3.63278]","[0.36238, 3.04384]","[0.15125, 3.17752]","[0.46489, 2.77090]","[0.32115, 2.85493]"
"[27, 28]","[0.67900, 2.49150]","[0.68062, 2.51459]","[0.61343, 2.61259]","[0.50940, 2.73430]","[0.34128, 2.91918]","[0.08169, 3.21802]","[0.26011, 3.10176]","[0.25890, 3.15445]","[0.35892, 3.05356]","[0.00000, 3.36979]","[0.48913, 2.76643]","[0.37414, 2.81225]"
"[28, 29]","[0.66334, 2.49371]","[0.69367, 2.49946]","[0.62187, 2.62106]","[0.55376, 2.70900]","[0.54491, 2.71238]","[0.00000, 3.33744]","[0.27684, 3.04621]","[0.00000, 3.45639]","[0.34273, 3.08739]","[0.00000, 3.59798]","[0.47225, 2.80625]","[0.38590, 2.79876]"
"[29, 30]","[0.68042, 2.47673]","[0.68719, 2.50311]","[0.62805, 2.61929]","[0.56258, 2.71718]","[0.17795, 3.10144]","[0.06547, 3.21455]","[0.26097, 3.05376]","[0.09441, 3.27926]","[0.44560, 2.96176]","[0.24391, 3.12964]","[0.47005, 2.81178]","[0.35304, 2.83742]"
"[30, 31]","[0.66615, 2.50841]","[0.69718, 2.50147]","[0.64414, 2.59430]","[0.57071, 2.69181]","[0.54214, 2.73086]","[0.07963, 3.21669]","[0.35660, 2.99037]","[0.26583, 3.13703]","[0.46429, 2.95543]","[0.25214, 3.12017]","[0.02143, 3.26044]","[0.35547, 2.84642]"
