,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.01570, 2.49932]","[0.00000, 2.73878]","[0.00000, 2.76705]","[0.00000, 3.03403]","[0.08180, 2.92043]","[0.00000, 3.90177]","[0.40122, 2.05327]","[0.00000, 2.08024]","[0.00000, 1.73161]","[0.00000, 1.76353]","[0.09157, 2.15017]","[0.08927, 2.53514]"
"[7, 8]","[0.00000, 2.44699]","[0.00000, 2.82319]","[0.00000, 2.89855]","[0.00000, 2.90345]","[0.00000, 2.65520]","[0.00000, 2.55840]","[0.00000, 1.60627]","[0.00000, 1.95719]","[0.00000, 1.99950]","[0.00000, 1.93142]","[0.08444, 2.12555]","[0.00000, 2.47868]"
"[8, 9]","[0.00000, 2.49425]","[0.00000, 2.81906]","[0.00000, 2.82981]","[0.00000, 2.90356]","[0.00000, 2.58384]","[0.00000, 2.71129]","[0.00000, 1.68138]","[0.00000, 1.89481]","[0.00000, 2.00496]","[0.00000, 1.97502]","[0.06399, 2.14292]","[0.00000, 2.54031]"
"[9, 10]","[0.01475, 2.55438]","[0.00000, 2.75157]","[0.00000, 2.71655]","[0.00000, 2.90926]","[0.00000, 3.00350]","[0.00000, 3.38646]","[0.39629, 2.19255]","[0.00000, 2.13426]","[0.00000, 1.98688]","[0.00000, 1.85389]","[0.07755, 2.13921]","[0.02292, 2.59617]"
"[10, 11]","[0.00000, 2.55168]","[0.00000, 2.77168]","[0.00000, 2.78168]","[0.00000, 2.97845]","[0.00000, 3.06775]","[0.00000, 3.65379]","[0.25106, 2.04803]","[0.00000, 2.08817]","[0.00000, 1.95632]","[0.00000, 1.96762]","[0.18365, 2.19350]","[0.03229, 2.61133]"
"[11, 12]","[0.02035, 2.51968]","[0.00000, 2.77457]","[0.00000, 2.72866]","[0.00000, 2.87829]","[0.00000, 2.90108]","[0.00000, 4.91812]","[0.02251, 2.03388]","[0.00000, 2.00568]","[0.00000, 2.08340]","[0.02086, 1.98251]","[0.22115, 2.20715]","[0.08605, 2.54842]"
"[12, 13]","[0.04744, 2.48365]","[0.00000, 2.73249]","[0.00000, 2.69834]","[0.00000, 2.72474]","[0.00000, 2.69459]","[0.00000, 2.84218]","[0.00000, 1.92042]","[0.00000, 2.08605]","[0.00000, 2.13183]","[0.07066, 2.05091]","[0.20428, 2.18169]","[0.08600, 2.44343]"
"[13, 14]","[0.10860, 2.43610]","[0.00000, 2.63230]","[0.00000, 2.59596]","[0.00000, 2.67249]","[0.00000, 2.70065]","[0.00000, 2.89693]","[0.00000, 2.07442]","[0.00000, 2.08289]","[0.00000, 2.10965]","[0.05150, 2.06311]","[0.18625, 2.18724]","[0.13856, 2.39782]"
"[14, 15]","[0.10948, 2.42275]","[0.00000, 2.62845]","[0.00000, 2.66148]","[0.00000, 2.64484]","[0.00000, 2.32460]","[0.00000, 2.68402]","[0.00000, 1.95424]","[0.00000, 2.08122]","[0.00000, 2.06956]","[0.10372, 2.03780]","[0.14308, 2.22014]","[0.12166, 2.38000]"
"[15, 16]","[0.05859, 2.44592]","[0.00000, 2.68639]","[0.00000, 2.70046]","[0.00000, 2.73369]","[0.00000, 2.71886]","[0.00000, 2.91581]","[0.00000, 1.94711]","[0.00000, 2.10384]","[0.00000, 2.14534]","[0.08489, 2.07652]","[0.09309, 2.28013]","[0.07734, 2.41187]"
