,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.32316, 1.38657]","[0.00000, 1.30611]","[0.00000, 1.43792]","[0.00000, 2.13776]","[0.16567, 2.86625]","[0.00000, 5.32650]","[0.00000, 2.85034]","[0.26470, 0.87837]","[0.00000, 0.25976]","[0.00000, 0.43390]","[0.03523, 1.10176]","[0.41821, 1.46069]"
"[7, 8]","[0.26968, 1.33196]","[0.00000, 1.41295]","[0.00000, 1.67777]","[0.00000, 2.05294]","[0.00000, 2.35760]","[0.00000, 2.44948]","[0.00000, 2.08739]","[0.03080, 0.65809]","[0.00000, 0.33028]","[0.00000, 0.59075]","[0.02740, 1.10856]","[0.30568, 1.32191]"
"[8, 9]","[0.25275, 1.32609]","[0.00000, 1.49725]","[0.00000, 1.66377]","[0.00000, 1.89972]","[0.00000, 2.03926]","[0.00000, 1.77896]","[0.00000, 1.81081]","[0.00000, 0.63942]","[0.00000, 0.42424]","[0.00000, 0.71294]","[0.01390, 1.06145]","[0.22794, 1.22500]"
"[9, 10]","[0.42534, 1.48977]","[0.00000, 1.15110]","[0.00000, 1.32843]","[0.00000, 2.32788]","[0.87810, 3.59149]","[1.09898, 4.29771]","[0.68995, 3.36178]","[0.35964, 1.07507]","[0.00000, 0.00708]","[0.00000, 0.28628]","[0.10940, 1.16365]","[0.66099, 1.65660]"
"[10, 11]","[0.33205, 1.40800]","[0.00000, 1.39909]","[0.00000, 1.59743]","[0.00000, 2.09271]","[0.00000, 2.93062]","[0.00000, 3.91697]","[0.00000, 2.23305]","[0.03927, 0.69537]","[0.00000, 0.26233]","[0.00000, 0.60276]","[0.08481, 1.16138]","[0.42968, 1.39410]"
"[11, 12]","[0.29893, 1.45299]","[0.00000, 1.47995]","[0.00000, 1.65095]","[0.00000, 1.98868]","[0.00000, 2.55783]","[0.00000, 6.37752]","[0.00000, 2.18109]","[0.06012, 0.57651]","[0.00000, 0.32887]","[0.00000, 0.64897]","[0.04854, 1.13789]","[0.32721, 1.38227]"
"[12, 13]","[0.29450, 1.55344]","[0.00000, 1.61119]","[0.00000, 1.63347]","[0.00000, 1.86069]","[0.00000, 2.30393]","[0.00000, 2.32745]","[0.00000, 2.41058]","[0.18026, 0.70879]","[0.01811, 0.40739]","[0.00000, 0.64689]","[0.00000, 1.12465]","[0.23822, 1.43166]"
"[13, 14]","[0.20076, 1.48332]","[0.00000, 1.60802]","[0.00000, 1.65163]","[0.00000, 2.00339]","[0.00000, 2.23198]","[0.00000, 1.81776]","[0.00000, 1.97858]","[0.00000, 0.45792]","[0.00000, 0.36688]","[0.00000, 0.74234]","[0.00331, 1.21863]","[0.19123, 1.40278]"
"[14, 15]","[0.20388, 1.50249]","[0.00000, 1.61520]","[0.00000, 1.65100]","[0.00000, 2.00711]","[0.00000, 2.27440]","[0.00000, 2.15498]","[0.00000, 2.21773]","[0.00000, 0.46682]","[0.00000, 0.40176]","[0.00000, 0.72332]","[0.00209, 1.21214]","[0.20154, 1.40763]"
"[15, 16]","[0.22877, 1.46282]","[0.00000, 1.61112]","[0.00000, 1.69508]","[0.00000, 2.06909]","[0.00000, 2.31069]","[0.00000, 1.96032]","[0.00000, 2.15363]","[0.00000, 0.52866]","[0.00000, 0.37353]","[0.00000, 0.73851]","[0.02854, 1.21098]","[0.21252, 1.40422]"
