,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[5.41681, 9.82263]","[6.12346, 10.10955]","[5.48048, 10.82842]","[6.20602, 8.87609]","[5.02366, 7.59196]","[0.00000, 12.74111]","[1.64868, 5.74821]","[0.00000, 8.44631]","[0.42150, 7.17223]","[0.00000, 10.21898]","[1.65893, 10.08408]","[3.18819, 10.50507]"
"[7, 8]","[5.80999, 9.77157]","[6.00247, 10.21929]","[5.47573, 10.52895]","[6.22900, 8.78609]","[5.23963, 7.97060]","[0.00000, 12.22166]","[2.28787, 5.94970]","[0.00000, 9.94610]","[0.00000, 10.28968]","[0.00000, 9.74362]","[2.54102, 8.83651]","[2.92953, 10.99164]"
"[8, 9]","[5.66679, 9.83348]","[5.78987, 10.03009]","[5.71886, 9.83030]","[6.16568, 8.73748]","[5.43860, 8.16795]","[0.00000, 12.02816]","[2.45972, 6.31444]","[0.00000, 10.77653]","[0.00000, 8.16346]","[0.00000, 9.76400]","[2.12023, 9.38305]","[4.32846, 9.75597]"
"[9, 10]","[5.56730, 9.93542]","[6.18404, 10.08715]","[5.75102, 10.15165]","[6.04918, 8.54167]","[5.04112, 7.61247]","[0.00000, 13.17098]","[1.79418, 6.76718]","[0.00000, 11.67739]","[0.00000, 11.52905]","[0.00000, 10.37721]","[1.95884, 9.28416]","[3.64890, 10.02569]"
"[10, 11]","[5.89668, 9.46083]","[6.01930, 9.81368]","[5.51459, 10.05572]","[6.43165, 8.45983]","[5.50422, 8.22429]","[0.35000, 11.54146]","[1.30980, 8.31113]","[0.00000, 11.12098]","[0.00000, 10.89730]","[0.00000, 9.22675]","[0.96826, 10.27695]","[3.47930, 10.29044]"
"[11, 12]","[5.65228, 9.95064]","[5.99158, 10.20544]","[5.52065, 10.18836]","[6.14737, 8.31105]","[5.15822, 7.64851]","[0.00000, 13.17604]","[0.80572, 8.62115]","[0.00000, 12.42276]","[0.00000, 13.39461]","[0.00000, 11.95292]","[1.69139, 9.94387]","[3.63584, 10.28769]"
"[12, 13]","[5.76681, 9.70245]","[6.22057, 10.38177]","[5.59418, 10.56916]","[5.82947, 8.70068]","[5.09208, 7.54522]","[0.00000, 13.09206]","[1.92317, 8.49824]","[0.00000, 16.14527]","[0.00000, 12.14223]","[0.00000, 11.39984]","[0.03404, 11.15066]","[3.21698, 10.08741]"
"[13, 14]","[5.79659, 9.74828]","[6.06820, 10.26828]","[5.69734, 10.00458]","[5.77150, 8.65717]","[5.39562, 8.00737]","[1.66429, 11.16312]","[0.13382, 12.10488]","[0.00000, 15.69640]","[0.00000, 16.29754]","[0.00000, 10.99281]","[0.00000, 11.53128]","[3.34491, 10.12197]"
"[14, 15]","[5.79814, 9.61489]","[6.40330, 10.64376]","[5.81263, 10.86173]","[5.90568, 8.54476]","[4.67872, 7.21386]","[0.00000, 12.66512]","[0.00000, 11.73572]","[0.00000, 17.63098]","[0.00000, 18.71503]","[0.00000, 13.55391]","[0.82705, 10.75609]","[3.19015, 9.88569]"
"[15, 16]","[4.47867, 12.37924]","[6.92097, 10.36302]","[6.21931, 10.08136]","[6.00335, 8.50795]","[4.98223, 7.68429]","[0.00000, 12.30906]","[0.00000, 11.71448]","[0.00000, 16.12763]","[0.00000, 16.67014]","[0.00000, 14.42013]","[0.00000, 13.03165]","[4.50618, 10.56178]"
"[16, 17]","[4.95988, 12.27292]","[7.31537, 10.77082]","[6.13365, 10.53465]","[0.46379, 13.71613]","[4.84558, 7.50396]","[0.00000, 12.74789]","[0.00000, 13.80098]","[0.00000, 19.35178]","[0.00000, 14.03125]","[0.00000, 13.76728]","[0.00000, 13.09027]","[3.26776, 11.30994]"
"[17, 18]","[5.10481, 13.15623]","[7.93091, 11.91908]","[5.41679, 12.89971]","[6.29894, 8.90015]","[5.10946, 7.83498]","[0.00000, 13.40963]","[0.00000, 14.25627]","[0.00000, 20.67925]","[0.00000, 14.91503]","[0.00000, 13.01473]","[1.25909, 9.81550]","[3.00996, 11.44925]"
"[18, 19]","[4.67269, 12.56131]","[4.49316, 14.70532]","[6.02773, 12.78354]","[6.18782, 10.12007]","[5.29111, 8.05955]","[0.00000, 12.50530]","[0.00000, 13.90871]","[0.00000, 19.81045]","[0.00000, 17.08016]","[0.00000, 15.38987]","[0.00000, 14.48790]","[2.17055, 12.13344]"
"[19, 20]","[3.27361, 14.43550]","[4.71291, 15.65224]","[4.77547, 15.01736]","[5.65044, 10.79170]","[4.93666, 7.95556]","[0.00000, 13.14084]","[0.00000, 15.56227]","[0.00000, 22.34616]","[0.00000, 15.41620]","[0.00000, 16.61697]","[0.00000, 12.39680]","[2.78806, 11.13302]"
"[20, 21]","[4.48842, 13.21314]","[4.62788, 15.33385]","[4.90110, 14.36054]","[6.57371, 10.01628]","[5.15193, 9.18635]","[0.00000, 14.25765]","[0.00000, 16.03036]","[0.00000, 22.91954]","[0.00000, 18.01237]","[0.00000, 16.53769]","[0.00000, 14.22995]","[2.99213, 10.96917]"
