,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 35.42279]","[0.00000, 31.31314]","[0.00000, 29.54209]","[0.00000, 28.44892]","[0.00000, 35.88100]","[0.00000, 24.37029]","[0.00000, 31.13703]","[0.00000, 37.78023]","[0.00000, 32.18856]","[0.00000, 22.97007]","[0.00000, 23.68017]","[0.00000, 16.26417]"
"[7, 8]","[1.94360, 10.82956]","[5.86774, 11.01573]","[7.19177, 13.93842]","[0.00000, 32.93183]","[0.00000, 46.26255]","[0.00000, 25.38837]","[2.89437, 11.85617]","[0.00000, 35.14243]","[0.00000, 45.81868]","[0.00000, 50.45517]","[0.00000, 29.00341]","[0.00000, 13.39757]"
"[8, 9]","[7.88700, 13.33720]","[0.00000, 44.79356]","[0.00000, 34.94414]","[3.53865, 12.93401]","[0.52730, 9.55493]","[0.00000, 8.15356]","[0.00000, 5.85440]","[0.00000, 18.20496]","[0.00000, 26.33179]","[0.61297, 9.88425]","[0.00000, 38.40343]","[0.00000, 26.92357]"
"[9, 10]","[5.88296, 10.56142]","[5.53290, 12.44142]","[3.51809, 13.53425]","[3.18935, 11.23306]","[1.19168, 10.43038]","[0.00000, 31.56096]","[0.00000, 9.01221]","[0.00000, 24.38663]","[0.00000, 13.20038]","[0.00000, 32.43885]","[1.52552, 8.44066]","[0.00000, 14.02848]"
"[10, 11]","[0.62753, 16.01647]","[6.00117, 12.22770]","[4.09708, 12.48451]","[2.77457, 10.52548]","[0.00000, 11.22905]","[0.00000, 13.63531]","[0.00000, 34.16017]","[0.00000, 10.49809]","[0.00000, 24.75963]","[0.00000, 7.96315]","[0.00000, 10.37199]","[0.00000, 13.71623]"
"[11, 12]","[5.10855, 10.46727]","[0.00000, 31.42959]","[9.89097, 12.00038]","[3.37903, 13.19036]","[0.00000, 10.34588]","[0.00000, 10.60385]","[0.00000, 13.74327]","[2.88085, 11.78255]","[0.00000, 47.26349]","[0.00000, 30.17933]","[1.28626, 10.88308]","[0.00000, 12.52150]"
"[12, 13]","[0.14546, 16.30713]","[5.08684, 12.29613]","[4.47431, 11.37472]","[3.26990, 10.23023]","[0.82962, 10.94687]","[0.00000, 11.12973]","[0.00000, 12.51883]","[0.00000, 15.17557]","[0.00000, 9.46178]","[0.00000, 8.36797]","[0.00000, 9.20603]","[0.00000, 13.57753]"
"[13, 14]","[0.00000, 33.88806]","[4.48473, 14.24727]","[3.42413, 13.78187]","[3.00155, 11.49178]","[0.55764, 12.33236]","[0.00000, 11.05808]","[0.00000, 17.94269]","[0.49223, 4.92277]","[0.00000, 36.57519]","[0.00000, 27.46630]","[0.00000, 41.81711]","[0.00000, 21.39452]"
"[14, 15]","[0.00000, 27.11404]","[6.17427, 11.46129]","[5.60259, 10.99408]","[4.94374, 8.14071]","[2.78849, 11.76084]","[3.40779, 6.34935]","[0.00000, 12.14008]","[0.00000, 26.10256]","[0.00000, 12.33571]","[0.00000, 39.84263]","[1.37463, 9.19966]","[0.00000, 13.51082]"
"[15, 16]","[0.00000, 33.56329]","[0.00000, 35.41152]","[5.08497, 13.94217]","[3.50196, 9.96604]","[3.21329, 10.87814]","[1.06629, 10.73371]","[0.00000, 10.97308]","[0.00000, 15.42238]","[0.00000, 20.81672]","[0.00000, 27.37711]","[0.00000, 21.21658]","[0.00000, 21.78414]"
