,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 43.43060]","[0.00000, 47.91564]","[0.00000, 37.68171]","[0.00000, 46.63215]","[0.00000, 27.95944]","[0.00000, 24.14588]","[1.95982, 5.33886]","[0.00000, 44.09395]","[0.00000, 30.53180]","[0.00000, 42.59512]","[0.00000, 30.64316]","[0.00000, 26.70169]"
"[7, 8]","[0.00000, 41.37812]","[0.00000, 29.29027]","[0.00000, 40.48242]","[0.00000, 39.84513]","[0.00000, 37.85789]","[0.00000, 4.19281]","[0.01344, 4.05686]","[0.00000, 12.04073]","[0.00000, 38.38714]","[0.00000, 53.50502]","[0.00000, 35.70488]","[0.00000, 41.70548]"
"[8, 9]","[0.00000, 42.89007]","[0.00000, 31.97507]","[0.00000, 28.10817]","[0.00000, 44.73885]","[2.75827, 5.36134]","[0.00000, 38.78350]","[0.08161, 3.22562]","[0.00000, 2.93568]","[0.00000, 17.28625]","[2.62763, 4.15058]","[0.00000, 36.43062]","[0.00000, 39.90981]"
"[9, 10]","[2.00784, 5.18166]","[0.00000, 8.85951]","[0.00000, 7.00388]","[0.00000, 31.25361]","[0.00000, 3.50116]","[0.00000, 3.51941]","[0.00000, 27.26985]","[0.00000, 22.26130]","[0.00000, 8.92566]","[0.00000, 48.95547]","[0.00000, 6.55238]","[0.00000, 7.80143]"
"[10, 11]","[0.00000, 13.68543]","[0.00000, 35.37876]","[0.00000, 28.13784]","[2.04786, 3.53230]","[0.00000, 2.69767]","[0.00000, 3.59568]","[0.00000, 22.14710]","[0.00000, 6.59034]","[0.00000, 11.28108]","[0.00000, 26.11748]","[0.00000, 24.77607]","[0.29002, 7.96028]"
"[11, 12]","[0.00000, 38.37519]","[6.85619, 12.39285]","[0.00000, 45.68598]","[4.89338, 7.18616]","[0.00000, 3.89258]","[0.00000, 2.68149]","[0.00000, 8.15672]","[0.00000, 7.22359]","[0.00000, 28.17706]","[0.00000, 50.60543]","[0.53684, 8.17118]","[0.00000, 27.89542]"
"[12, 13]","[0.00000, 12.56972]","[0.00000, 9.19278]","[1.58889, 3.79075]","[0.00000, 4.56249]","[0.00000, 3.32919]","[0.00000, 3.39250]","[0.00000, 3.62251]","[0.00000, 6.82020]","[0.00000, 7.41538]","[0.00000, 49.52572]","[1.85451, 8.65956]","[0.00000, 37.09061]"
"[13, 14]","[0.00000, 33.88989]","[0.15714, 11.20542]","[0.00000, 9.56019]","[0.17103, 2.60607]","[0.00000, 1.86752]","[0.00000, 3.26328]","[0.00000, 10.47807]","[0.78060, 3.81806]","[0.00000, 33.48423]","[0.00000, 36.18120]","[0.00000, 24.66910]","[0.00000, 32.26309]"
"[14, 15]","[0.00000, 40.60487]","[3.97123, 8.12090]","[1.12337, 7.68815]","[0.00000, 7.61897]","[0.00000, 6.41453]","[0.61138, 2.06732]","[0.00000, 6.85779]","[0.00000, 32.34603]","[0.00000, 19.18456]","[0.00000, 36.52825]","[0.00000, 30.10528]","[0.00000, 21.06583]"
"[15, 16]","[0.00000, 27.86824]","[0.00000, 30.27056]","[0.00000, 10.27420]","[0.00000, 8.61445]","[0.00000, 8.64074]","[0.00000, 8.74424]","[0.00000, 9.30646]","[0.00000, 10.28338]","[0.00000, 26.36827]","[0.00000, 34.62072]","[0.00000, 21.70852]","[0.00000, 31.71007]"
