,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 22.27333]","[0.00000, 30.92928]","[0.00000, 45.34606]","[0.00000, 34.85039]","[7.78992, 9.93464]","[0.00000, 34.94063]","[0.00000, 36.42624]","[0.00000, 39.25766]","[0.00000, 47.42471]","[0.00000, 21.84149]","[0.00000, 33.80034]","[0.00000, 24.47353]"
"[7, 8]","[0.00000, 40.54477]","[0.00000, 37.01134]","[0.00000, 31.33121]","[0.00000, 36.63845]","[0.00000, 20.03142]","[0.00000, 32.01529]","[0.00000, 32.35906]","[0.00000, 30.27128]","[0.00000, 28.07531]","[0.00000, 27.18355]","[0.00000, 30.76965]","[0.00000, 36.93938]"
"[8, 9]","[0.00000, 30.47425]","[0.00000, 29.91140]","[0.00000, 24.69431]","[0.00000, 34.72040]","[0.00000, 30.53355]","[0.00000, 17.32731]","[0.00000, 27.67631]","[0.00000, 30.32126]","[0.00000, 37.86232]","[0.00000, 14.92790]","[0.00000, 23.32448]","[0.00000, 17.83844]"
"[9, 10]","[1.64013, 18.60676]","[0.00000, 39.26424]","[0.00000, 32.82315]","[0.00000, 23.73720]","[0.00000, 17.79626]","[0.00000, 17.53311]","[0.00000, 14.75232]","[0.00000, 25.99158]","[0.00000, 13.24606]","[0.00000, 15.75665]","[0.00000, 24.90263]","[0.00000, 27.18941]"
"[10, 11]","[0.00000, 23.16827]","[0.00000, 45.38923]","[0.00000, 31.33087]","[0.00000, 22.87596]","[0.45235, 15.03051]","[0.00000, 18.17636]","[0.00000, 29.80266]","[0.67985, 10.68600]","[0.00000, 14.80647]","[0.00000, 16.06918]","[0.00000, 16.33308]","[0.00000, 19.91975]"
"[11, 12]","[0.00000, 33.62772]","[0.00000, 34.38280]","[0.00000, 22.62945]","[0.00000, 31.04753]","[2.93112, 14.37953]","[0.00000, 20.51172]","[0.00000, 22.92424]","[0.00000, 9.90570]","[0.00000, 12.81329]","[0.00000, 16.78547]","[0.00000, 29.32108]","[0.00000, 31.28566]"
"[12, 13]","[0.39036, 18.22120]","[0.00000, 40.21978]","[0.00000, 38.98379]","[0.76823, 25.05247]","[0.00000, 21.16551]","[0.00000, 12.23846]","[0.00000, 13.43123]","[0.00000, 33.65046]","[0.00000, 44.17498]","[0.00000, 45.78028]","[0.00000, 36.36435]","[0.00000, 24.17241]"
"[13, 14]","[0.43153, 19.47415]","[0.00000, 33.75183]","[0.00000, 34.17533]","[0.00000, 25.59126]","[0.00000, 23.29108]","[0.00000, 14.89816]","[0.00000, 15.80822]","[0.00000, 12.44969]","[0.00000, 12.36684]","[0.00000, 12.29922]","[0.00000, 14.29081]","[0.00000, 15.48648]"
"[14, 15]","[0.00000, 19.75740]","[0.00000, 21.11231]","[0.00000, 27.52403]","[0.00000, 27.72030]","[0.60327, 17.96422]","[0.00000, 20.79200]","[0.00000, 13.11097]","[0.00000, 11.86785]","[0.00000, 25.30564]","[0.00000, 25.67333]","[0.00000, 23.05660]","[0.00000, 25.75011]"
"[15, 16]","[0.00000, 17.06752]","[0.00000, 19.47406]","[0.62157, 21.09512]","[0.00000, 24.36087]","[0.00000, 18.71002]","[0.00000, 16.35169]","[0.00000, 12.46574]","[0.00000, 8.39127]","[0.00000, 12.21766]","[0.00000, 29.67894]","[0.00000, 15.61120]","[0.00000, 24.77547]"
"[16, 17]","[0.00000, 22.10453]","[1.05705, 18.85864]","[0.00000, 29.99304]","[1.34238, 20.33580]","[0.00000, 23.06290]","[0.00000, 19.06753]","[0.25839, 4.95485]","[0.00000, 3.94043]","[0.00000, 3.73154]","[0.00000, 10.29388]","[0.00000, 13.61266]","[0.00000, 16.77059]"
"[17, 18]","[0.00000, 31.76039]","[0.00000, 22.92401]","[3.16662, 21.87973]","[0.00000, 29.89045]","[0.00000, 23.10282]","[0.00000, 17.76961]","[0.00000, 15.44917]","[0.00000, 10.65032]","[0.00000, 10.11150]","[0.00000, 14.05915]","[0.00000, 15.15469]","[0.00000, 15.71448]"
"[18, 19]","[0.00000, 20.35039]","[0.00000, 21.82306]","[0.99692, 18.75350]","[0.00000, 20.03631]","[0.00000, 22.03571]","[0.00000, 17.16316]","[0.00000, 15.43111]","[0.00000, 8.83731]","[0.00000, 8.23498]","[0.00000, 13.22023]","[0.00000, 16.06581]","[0.00000, 18.56056]"
