,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 42.08070]","[0.00000, 41.36157]","[0.00000, 42.29160]","[0.00000, 45.05304]","[0.00000, 42.88191]","[0.00000, 50.85913]","[0.00000, 43.07925]","[0.00000, 37.01560]","[0.00000, 35.99146]","[0.00000, 32.83678]","[0.00000, 38.66136]","[0.00000, 44.97935]"
"[7, 8]","[0.00000, 30.96952]","[0.00000, 34.90315]","[0.00000, 40.13390]","[9.03907, 9.82742]","[0.00000, 35.25564]","[0.00000, 29.32756]","[0.00000, 33.03920]","[0.00000, 21.33930]","[0.00000, 30.23998]","[0.00000, 39.32373]","[0.00000, 38.33079]","[0.00000, 42.33785]"
"[8, 9]","[0.00000, 38.57941]","[0.00000, 35.87723]","[0.00000, 40.84793]","[0.00000, 33.39880]","[0.00000, 39.54819]","[1.82082, 8.39919]","[0.00000, 22.23661]","[0.00000, 24.26634]","[0.00000, 32.13966]","[0.00000, 33.38009]","[0.00000, 35.23496]","[0.00000, 17.76815]"
"[9, 10]","[0.00000, 32.98633]","[0.00000, 26.04265]","[9.08818, 12.63010]","[0.00000, 41.39785]","[0.00000, 40.16798]","[2.34828, 9.39875]","[0.00000, 6.13457]","[0.00000, 18.61550]","[0.00000, 7.06936]","[0.00000, 28.61330]","[0.00000, 38.57706]","[0.00000, 43.42694]"
"[10, 11]","[0.00000, 37.57336]","[0.00000, 40.77184]","[0.00000, 34.70599]","[0.00000, 33.25708]","[0.00000, 28.53643]","[0.43394, 8.67768]","[0.00000, 19.53502]","[0.00000, 7.92049]","[0.00000, 17.50425]","[0.00000, 30.86619]","[0.00000, 27.23275]","[0.00000, 30.25492]"
"[11, 12]","[0.06525, 9.90330]","[2.61701, 8.42619]","[5.78977, 8.34233]","[0.00000, 23.93385]","[0.00000, 18.03144]","[0.88392, 8.38257]","[0.00000, 5.68970]","[0.00000, 8.27668]","[0.00000, 8.37689]","[0.00000, 28.54394]","[0.00000, 32.99379]","[0.00000, 11.63530]"
"[12, 13]","[0.00000, 31.08644]","[0.00000, 39.91816]","[0.00000, 38.06570]","[0.00000, 19.29461]","[0.00000, 21.89078]","[2.38062, 8.13819]","[0.03115, 9.05694]","[0.00000, 25.39784]","[0.00000, 30.37627]","[0.00000, 27.69472]","[0.00000, 24.21401]","[0.00000, 28.25498]"
"[13, 14]","[0.00000, 24.84462]","[0.00000, 27.21103]","[0.00000, 36.92019]","[0.00000, 17.49388]","[0.00000, 14.15454]","[2.15400, 8.30031]","[1.44445, 8.90749]","[0.00000, 33.83355]","[0.00000, 24.14466]","[0.00000, 22.04757]","[0.00000, 25.21157]","[0.00000, 41.78088]"
"[14, 15]","[0.00000, 27.75344]","[0.00000, 24.91619]","[0.00000, 27.96675]","[0.00000, 27.84602]","[3.54818, 9.58760]","[0.67579, 8.28379]","[2.23575, 2.75591]","[0.00000, 6.03014]","[0.00000, 22.31311]","[0.00000, 38.14577]","[0.00000, 30.00678]","[0.00000, 40.86492]"
"[15, 16]","[2.78219, 9.85577]","[4.92705, 9.25624]","[6.56758, 9.43441]","[0.00000, 29.27084]","[4.24332, 8.51051]","[0.00000, 8.64700]","[0.00000, 3.90531]","[0.00000, 6.24181]","[0.00000, 28.59001]","[0.00000, 19.02786]","[0.00000, 26.48678]","[0.00000, 23.13073]"
"[16, 17]","[0.00000, 24.24576]","[2.53498, 17.49260]","[1.22118, 19.17143]","[0.00000, 29.99110]","[3.22728, 6.53714]","[0.00000, 6.46420]","[2.22621, 2.69197]","[0.00000, 7.71684]","[0.00000, 23.12059]","[0.00000, 30.44649]","[0.00000, 23.76948]","[0.00000, 12.12939]"
"[17, 18]","[0.00000, 30.84891]","[7.23315, 10.86108]","[8.71018, 11.57507]","[0.00000, 23.79193]","[4.80047, 8.54132]","[0.79912, 6.48861]","[0.00000, 3.82935]","[0.00000, 7.90459]","[0.00000, 5.27426]","[0.00000, 7.76509]","[0.00000, 9.78622]","[0.05641, 9.81614]"
"[18, 19]","[0.00000, 33.72983]","[0.00000, 21.87317]","[0.00000, 29.38321]","[6.49963, 9.17890]","[3.73772, 6.22257]","[0.00000, 5.70993]","[0.00000, 3.96351]","[0.00000, 7.57927]","[0.00000, 6.66341]","[0.00000, 19.32193]","[0.00000, 33.52875]","[1.42141, 12.27581]"
"[19, 20]","[4.27567, 10.16220]","[1.75975, 15.38095]","[6.04388, 10.45023]","[4.78750, 8.13973]","[2.46602, 6.07230]","[0.04389, 5.34617]","[2.03507, 2.03507]","[0.00000, 7.96789]","[0.00000, 6.14660]","[0.00000, 7.11960]","[0.00000, 9.32913]","[0.89331, 9.10320]"
"[20, 21]","[1.41974, 10.02743]","[4.85327, 10.20208]","[6.42365, 10.91542]","[0.00000, 35.21477]","[5.67700, 5.67700]","[0.00000, 6.61275]","[0.00000, 5.79307]","[0.00000, 6.68208]","[0.00000, 6.02316]","[0.00000, 7.26470]","[0.00000, 21.59794]","[0.00000, 9.24504]"
"[21, 22]","[1.03367, 10.85838]","[4.33508, 10.07648]","[6.00726, 9.17498]","[5.37995, 7.70832]","[2.41525, 6.33059]","[0.00000, 4.89053]","[0.86480, 0.93980]","[0.00000, 6.85251]","[0.00000, 6.53833]","[0.00000, 8.01819]","[0.00000, 9.57942]","[0.02246, 9.24073]"
"[22, 23]","[1.46212, 9.87541]","[7.52247, 10.67228]","[0.00000, 42.61643]","[0.00000, 37.33186]","[5.26727, 9.00757]","[0.66765, 5.85208]","[0.00000, 5.33268]","[0.00000, 7.02449]","[0.00000, 6.64757]","[0.00000, 7.17530]","[0.00000, 9.36640]","[0.00000, 9.43786]"
"[23, 24]","[0.00000, 21.19722]","[5.42275, 9.48354]","[6.98814, 8.10410]","[5.16602, 7.82972]","[3.72676, 5.88770]","[0.02819, 6.35326]","[0.00000, 5.95689]","[0.00000, 6.18041]","[0.00000, 6.73345]","[0.00000, 7.05013]","[0.00000, 9.28666]","[0.00000, 9.95048]"
"[24, 25]","[2.25683, 10.04259]","[4.91225, 9.25731]","[6.25052, 8.38837]","[4.80044, 8.27676]","[3.17335, 6.57807]","[0.00000, 6.13707]","[0.00000, 4.32673]","[0.00000, 6.49634]","[0.00000, 6.25221]","[0.00000, 7.15733]","[0.00000, 8.68167]","[0.00000, 20.49732]"
"[25, 26]","[0.00000, 29.34044]","[6.11545, 11.03321]","[7.44403, 9.77694]","[0.00000, 27.20660]","[0.00000, 29.89869]","[0.42029, 9.21364]","[1.62590, 4.41415]","[0.00000, 7.14894]","[0.00000, 5.31623]","[0.00000, 21.82647]","[0.00000, 10.45208]","[0.21578, 11.73157]"
"[26, 27]","[0.00000, 22.99182]","[5.17459, 10.21496]","[7.02236, 8.52467]","[4.89875, 8.55322]","[2.62047, 7.37825]","[0.00000, 8.33096]","[1.02314, 3.02559]","[0.00000, 6.03763]","[0.00000, 6.03792]","[0.00000, 7.43269]","[0.00000, 10.29906]","[0.00000, 11.50246]"
"[27, 28]","[0.00000, 23.33700]","[5.28016, 10.00044]","[6.49362, 9.03441]","[0.00000, 20.60519]","[3.38184, 8.23510]","[0.00000, 9.86985]","[0.00000, 8.68161]","[0.00000, 7.73756]","[0.00000, 6.40756]","[0.00000, 6.71044]","[0.00000, 10.32423]","[0.00000, 10.69840]"
"[28, 29]","[0.00000, 29.43812]","[6.48317, 10.53680]","[8.63167, 10.41213]","[0.00000, 27.64536]","[4.50558, 8.81562]","[0.00000, 10.25816]","[0.00000, 7.96530]","[0.00000, 6.77950]","[0.00000, 5.97076]","[0.00000, 7.34278]","[0.00000, 8.97373]","[0.30101, 8.57115]"
"[29, 30]","[1.83864, 10.04401]","[4.43686, 9.91510]","[5.52213, 9.53711]","[5.12667, 8.17433]","[3.69304, 5.96392]","[0.04153, 5.68461]","[1.53786, 1.53786]","[0.00000, 5.73045]","[0.00000, 6.20207]","[0.00000, 7.43026]","[0.00000, 9.62730]","[0.00000, 10.39312]"
"[30, 31]","[0.72236, 10.98726]","[4.99196, 9.69333]","[6.33852, 8.92847]","[4.91783, 7.65331]","[2.68140, 5.16065]","[0.00000, 6.15124]","[0.04774, 1.65223]","[0.00000, 6.10670]","[0.00000, 5.98012]","[0.00000, 7.36749]","[0.00000, 9.50991]","[0.00000, 10.63194]"
"[31, 32]","[0.00000, 15.61548]","[6.38750, 10.42102]","[8.49093, 11.83993]","[0.00000, 31.40330]","[5.75881, 9.64902]","[0.00000, 8.91846]","[0.00000, 5.79306]","[0.00000, 5.20456]","[0.00000, 5.44275]","[0.00000, 7.88238]","[0.00000, 10.52317]","[0.00000, 9.95739]"
"[32, 33]","[1.70929, 10.08704]","[4.05937, 10.17191]","[6.03846, 8.97830]","[4.54465, 8.98339]","[3.62794, 6.61183]","[0.00000, 6.83353]","[0.00000, 6.69692]","[0.00000, 6.22502]","[0.00000, 5.70520]","[0.00000, 7.12730]","[0.00000, 9.29906]","[0.00000, 10.18898]"
"[33, 34]","[0.00000, 9.77245]","[5.02467, 9.83140]","[8.25974, 11.69691]","[0.00000, 25.74061]","[6.02542, 9.60657]","[2.32309, 5.52665]","[0.00000, 5.90499]","[0.00000, 5.96430]","[0.00000, 6.12977]","[0.00000, 15.86281]","[0.00000, 10.51245]","[0.00000, 9.78026]"
