,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 447.06152]","[0.00000, 472.42574]","[0.00000, 615.49548]","[0.00000, 672.04398]","[0.00000, 510.31414]","[0.00000, 746.78080]","[0.00000, 884.69187]","[0.00000, 644.88160]","[0.00000, 317.22373]","[0.00000, 582.57967]","[0.00000, 341.89049]","[0.00000, 255.62601]"
"[7, 8]","[0.00000, 356.44816]","[0.00000, 412.35902]","[0.00000, 546.00153]","[0.00000, 606.88435]","[0.00000, 452.39020]","[0.00000, 655.50000]","[0.00000, 800.18860]","[0.00000, 583.20753]","[0.00000, 514.18129]","[0.00000, 548.65473]","[0.00000, 303.03920]","[0.00000, 230.23964]"
"[8, 9]","[0.00000, 308.52948]","[0.00000, 379.70531]","[0.00000, 495.73563]","[0.00000, 551.94233]","[0.00000, 412.76779]","[0.00000, 572.46701]","[0.00000, 713.78145]","[0.00000, 515.67077]","[0.00000, 533.44779]","[0.00000, 513.02171]","[0.00000, 273.02734]","[0.00000, 201.43627]"
"[9, 10]","[0.00000, 266.81139]","[0.00000, 355.11594]","[0.00000, 441.64624]","[0.00000, 489.81697]","[0.00000, 361.30343]","[0.00000, 502.53771]","[0.00000, 633.00274]","[0.00000, 447.55205]","[0.00000, 486.11920]","[0.00000, 463.15575]","[0.00000, 241.16607]","[0.00000, 175.22348]"
"[10, 11]","[0.00000, 238.82992]","[0.00000, 328.30536]","[0.00000, 401.72322]","[0.00000, 446.60376]","[0.00000, 327.29511]","[0.00000, 458.51278]","[0.00000, 571.01334]","[0.00000, 394.94474]","[0.00000, 442.76006]","[0.00000, 413.92892]","[0.00000, 215.53375]","[0.00000, 158.40585]"
"[11, 12]","[0.00000, 213.53268]","[0.00000, 298.20075]","[0.00000, 358.33593]","[0.00000, 402.88954]","[0.00000, 300.86338]","[0.00000, 420.22246]","[0.00000, 505.29680]","[0.00000, 334.39073]","[0.00000, 391.60130]","[0.00000, 361.07033]","[0.00000, 191.20083]","[0.00000, 145.39133]"
"[12, 13]","[0.00000, 191.84525]","[0.00000, 274.62756]","[0.00000, 327.41395]","[0.00000, 371.18470]","[0.00000, 273.50221]","[0.00000, 378.21124]","[0.00000, 456.18476]","[0.00000, 299.85890]","[0.00000, 357.15449]","[0.00000, 324.30930]","[0.00000, 173.18562]","[0.00000, 133.53061]"
"[13, 14]","[0.00000, 173.08926]","[0.00000, 251.34521]","[0.00000, 293.25250]","[0.00000, 336.99942]","[0.00000, 250.07401]","[0.00000, 340.13485]","[0.00000, 417.76556]","[0.00000, 262.65003]","[0.00000, 317.59317]","[0.00000, 291.12905]","[0.00000, 149.21054]","[0.00000, 118.07328]"
"[14, 15]","[0.00000, 190.86574]","[0.00000, 240.01673]","[0.00000, 232.70303]","[0.00000, 290.85952]","[0.00000, 283.03349]","[0.00000, 499.79914]","[0.00000, 602.96614]","[0.00000, 300.36322]","[0.00000, 285.60700]","[0.00000, 213.69266]","[0.00000, 104.48696]","[0.00000, 120.21892]"
"[15, 16]","[0.00000, 165.52213]","[0.00000, 214.14523]","[0.00000, 229.23361]","[0.00000, 310.52134]","[0.00000, 307.29406]","[0.00000, 407.40616]","[0.00000, 540.53079]","[0.00000, 312.61843]","[0.00000, 276.98235]","[0.00000, 240.73099]","[0.00000, 91.02775]","[0.00000, 94.90048]"
"[16, 17]","[0.00000, 125.15967]","[0.00000, 178.14143]","[0.00000, 192.30506]","[0.00000, 238.94204]","[0.00000, 229.88183]","[0.00000, 346.75994]","[0.00000, 510.68433]","[0.00000, 291.77419]","[0.00000, 256.41027]","[0.00000, 186.28283]","[0.00000, 61.68906]","[0.00000, 71.26937]"
"[17, 18]","[0.00000, 114.20136]","[0.00000, 168.31894]","[0.00000, 178.02793]","[0.00000, 217.19065]","[0.00000, 209.73999]","[0.00000, 309.13958]","[0.00000, 391.01186]","[0.00000, 256.37765]","[0.00000, 256.36614]","[0.00000, 177.74178]","[0.00000, 53.85554]","[0.00000, 69.16723]"
"[18, 19]","[0.00000, 119.53069]","[0.00000, 188.55021]","[0.00000, 167.72555]","[0.00000, 206.89816]","[0.00000, 191.01562]","[0.00000, 268.67986]","[0.00000, 369.08568]","[0.00000, 234.58065]","[0.00000, 293.24659]","[0.00000, 165.47231]","[0.00000, 59.98874]","[0.00000, 76.48458]"
"[19, 20]","[0.00000, 110.63893]","[0.00000, 153.23439]","[0.00000, 144.00373]","[0.00000, 189.14193]","[0.00000, 178.61407]","[0.00000, 238.08672]","[0.00000, 331.71386]","[0.00000, 223.09827]","[0.00000, 309.59757]","[0.00000, 162.53704]","[0.00000, 53.95066]","[0.00000, 87.15550]"
"[20, 21]","[0.00000, 102.46254]","[0.00000, 150.87525]","[0.00000, 131.29383]","[0.00000, 165.80331]","[0.00000, 159.76617]","[0.00000, 214.06344]","[0.00000, 296.13725]","[0.00000, 198.16865]","[0.00000, 305.50170]","[0.00000, 146.62521]","[0.00000, 55.29157]","[0.00000, 93.55196]"
"[21, 22]","[0.00000, 88.76548]","[0.00000, 134.92790]","[0.00000, 125.37519]","[0.00000, 156.65398]","[0.00000, 140.16080]","[0.00000, 174.16805]","[0.00000, 243.75211]","[0.00000, 160.10862]","[0.00000, 271.15273]","[0.00000, 145.78318]","[0.00000, 54.58309]","[0.00000, 85.38644]"
"[22, 23]","[0.00000, 79.04284]","[0.00000, 117.63417]","[0.00000, 120.24318]","[0.00000, 146.29633]","[0.00000, 127.51289]","[0.00000, 136.31679]","[0.00000, 198.75072]","[0.00000, 129.30034]","[0.00000, 237.18241]","[0.00000, 140.53725]","[0.00000, 55.02044]","[0.00000, 79.33952]"
