,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 5]","[0.00000, 1617.71263]","[0.00000, 1825.78601]","[0.00000, 1654.66786]","[0.00000, 1722.78956]","[0.00000, 1710.43595]","[0.00000, 1754.11427]","[0.00000, 1698.38942]","[0.00000, 1484.78495]","[0.00000, 1588.41142]","[0.00000, 1430.15236]","[0.00000, 1890.87307]","[0.00000, 1298.31256]"
"[5, 10]","[0.00000, 965.32461]","[0.00000, 893.44706]","[0.00000, 717.51467]","[0.00000, 672.69552]","[0.00000, 802.32378]","[0.00000, 780.65824]","[0.00000, 679.37203]","[0.00000, 602.92629]","[0.00000, 793.10730]","[0.00000, 545.25636]","[0.00000, 964.91039]","[0.00000, 583.62881]"
"[10, 15]","[0.00000, 511.78121]","[0.00000, 379.21005]","[0.00000, 268.59842]","[0.00000, 220.72734]","[0.00000, 326.06410]","[0.00000, 304.56824]","[0.00000, 231.15987]","[0.00000, 215.76935]","[0.00000, 355.31846]","[0.00000, 181.83621]","[0.00000, 463.57913]","[0.00000, 258.58765]"
"[15, 20]","[0.00000, 258.84711]","[0.00000, 170.28545]","[0.00000, 99.73073]","[0.00000, 70.74106]","[0.00000, 125.24781]","[0.00000, 119.78902]","[0.00000, 88.21744]","[0.00000, 78.89584]","[0.00000, 137.83131]","[0.00000, 69.71518]","[0.00000, 242.12907]","[0.00000, 99.86321]"
"[20, 25]","[0.00000, 132.55054]","[0.00000, 72.79815]","[0.00000, 37.15785]","[0.00000, 22.84884]","[0.00000, 50.49306]","[0.00000, 48.04288]","[0.00000, 30.96047]","[0.00000, 28.66292]","[0.00000, 61.32375]","[0.00000, 24.66689]","[0.00000, 120.61219]","[0.00000, 46.43767]"
"[25, 30]","[0.00000, 69.60302]","[0.00000, 29.11715]","[0.00000, 13.64717]","[0.00000, 7.80040]","[0.00000, 21.92577]","[0.00000, 18.98723]","[0.00000, 9.19247]","[0.00000, 10.41973]","[0.00000, 31.50316]","[0.00000, 6.08996]","[0.00000, 59.89010]","[0.00000, 21.20184]"
"[30, 35]","[0.00000, 35.80513]","[0.00000, 12.49588]","[0.00000, 5.12026]","[0.00000, 2.59670]","[0.00000, 9.02470]","[0.00000, 7.60620]","[0.00000, 3.17286]","[0.00000, 3.89018]","[0.00000, 14.26463]","[0.00000, 1.96186]","[0.00000, 31.14495]","[0.00000, 9.08422]"
"[35, 40]","[0.00000, 18.46093]","[0.00000, 5.38280]","[0.00000, 1.93165]","[0.00000, 0.87016]","[0.00000, 3.72299]","[0.00000, 3.05453]","[0.00000, 1.10032]","[0.00000, 1.46130]","[0.00000, 6.49379]","[0.00000, 0.63362]","[0.00000, 16.28242]","[0.00000, 3.87291]"
"[40, 45]","[0.00000, 9.54073]","[0.00000, 2.32623]","[0.00000, 0.73208]","[0.00000, 0.29330]","[0.00000, 1.53763]","[0.00000, 1.22857]","[0.00000, 0.38318]","[0.00000, 0.55100]","[0.00000, 2.96774]","[0.00000, 0.20519]","[0.00000, 8.53681]","[0.00000, 1.64425]"
"[45, 50]","[0.00000, 4.94198]","[0.00000, 1.00816]","[0.00000, 0.27853]","[0.00000, 0.09935]","[0.00000, 0.63544]","[0.00000, 0.49462]","[0.00000, 0.13393]","[0.00000, 0.20825]","[0.00000, 1.36010]","[0.00000, 0.06662]","[0.00000, 4.48269]","[0.00000, 0.69560]"
"[50, 55]","[0.00000, 2.56541]","[0.00000, 0.43803]","[0.00000, 0.10631]","[0.00000, 0.03380]","[0.00000, 0.26270]","[0.00000, 0.19925]","[0.00000, 0.04696]","[0.00000, 0.07882]","[0.00000, 0.62460]","[0.00000, 0.02168]","[0.00000, 2.35580]","[0.00000, 0.29339]"
"[55, 60]","[0.00000, 1.33437]","[0.00000, 0.19075]","[0.00000, 0.04069]","[0.00000, 0.01154]","[0.00000, 0.10863]","[0.00000, 0.08029]","[0.00000, 0.01652]","[0.00000, 0.02986]","[0.00000, 0.28726]","[0.00000, 0.00707]","[0.00000, 1.23859]","[0.00000, 0.12342]"
"[60, 65]","[0.00000, 0.69532]","[0.00000, 0.08323]","[0.00000, 0.01561]","[0.00000, 0.00395]","[0.00000, 0.04493]","[0.00000, 0.03236]","[0.00000, 0.00582]","[0.00000, 0.01132]","[0.00000, 0.13225]","[0.00000, 0.00231]","[0.00000, 0.65136]","[0.00000, 0.05181]"
"[65, 70]","[0.00000, 0.36291]","[0.00000, 0.03638]","[0.00000, 0.00600]","[0.00000, 0.00135]","[0.00000, 0.01859]","[0.00000, 0.01304]","[0.00000, 0.00206]","[0.00000, 0.00429]","[0.00000, 0.06094]","[0.00000, 0.00076]","[0.00000, 0.34258]","[0.00000, 0.02170]"
"[70, 75]","[0.00000, 0.18969]","[0.00000, 0.01593]","[0.00000, 0.00231]","[0.00000, 0.00047]","[0.00000, 0.00769]","[0.00000, 0.00526]","[0.00000, 0.00073]","[0.00000, 0.00163]","[0.00000, 0.02809]","[0.00000, 0.00025]","[0.00000, 0.18019]","[0.00000, 0.00908]"
"[75, 80]","[0.00000, 0.09928]","[0.00000, 0.00698]","[0.00000, 0.00089]","[0.00000, 0.00016]","[0.00000, 0.00318]","[0.00000, 0.00212]","[0.00000, 0.00026]","[0.00000, 0.00062]","[0.00000, 0.01296]","[0.00000, 0.00008]","[0.00000, 0.09478]","[0.00000, 0.00379]"
"[80, 85]","[0.00000, 0.05202]","[0.00000, 0.00307]","[0.00000, 0.00034]","[0.00000, 0.00006]","[0.00000, 0.00132]","[0.00000, 0.00085]","[0.00000, 0.00009]","[0.00000, 0.00023]","[0.00000, 0.00598]","[0.00000, 0.00003]","[0.00000, 0.04986]","[0.00000, 0.00158]"
