,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[30, 35]","[0.00000, 50.46807]","[0.00000, 38.73394]","[0.00000, 25.80295]","[0.00000, 41.49782]","[0.00000, 40.24651]","[0.00000, 63.91691]","[0.00000, 44.27765]","[0.00000, 43.47909]","[0.00000, 49.21753]","[0.00000, 36.64968]","[0.00000, 84.46341]","[0.00000, 21.48240]"
"[35, 40]","[0.00000, 27.12970]","[0.00000, 20.10226]","[0.00000, 12.33462]","[0.00000, 21.37647]","[0.00000, 20.41395]","[0.00000, 35.78904]","[0.00000, 23.60260]","[0.00000, 23.64271]","[0.00000, 26.22904]","[0.00000, 18.77550]","[0.00000, 48.86289]","[0.00000, 10.50886]"
"[40, 45]","[0.00000, 14.60602]","[0.00000, 10.45569]","[0.00000, 5.89479]","[0.00000, 11.02485]","[0.00000, 10.36994]","[0.00000, 20.06540]","[0.00000, 12.65622]","[0.00000, 12.91087]","[0.00000, 13.98884]","[0.00000, 9.61839]","[0.00000, 28.33456]","[0.00000, 5.12309]"
"[45, 50]","[0.00000, 7.87509]","[0.00000, 5.44698]","[0.00000, 2.81641]","[0.00000, 5.69685]","[0.00000, 5.27378]","[0.00000, 11.26427]","[0.00000, 6.81599]","[0.00000, 7.07075]","[0.00000, 7.46656]","[0.00000, 4.92845]","[0.00000, 16.45979]","[0.00000, 2.49032]"
"[50, 55]","[0.00000, 4.25187]","[0.00000, 2.84107]","[0.00000, 1.34519]","[0.00000, 2.95015]","[0.00000, 2.68443]","[0.00000, 6.33140]","[0.00000, 3.68220]","[0.00000, 3.87981]","[0.00000, 3.98860]","[0.00000, 2.52601]","[0.00000, 9.57442]","[0.00000, 1.20760]"
"[55, 60]","[0.00000, 2.29862]","[0.00000, 1.48325]","[0.00000, 0.64226]","[0.00000, 1.53115]","[0.00000, 1.36737]","[0.00000, 3.56293]","[0.00000, 1.99368]","[0.00000, 2.13162]","[0.00000, 2.13257]","[0.00000, 1.29498]","[0.00000, 5.57497]","[0.00000, 0.58439]"
"[60, 65]","[0.00000, 1.24417]","[0.00000, 0.77495]","[0.00000, 0.30654]","[0.00000, 0.79638]","[0.00000, 0.69690]","[0.00000, 2.00720]","[0.00000, 1.08119]","[0.00000, 1.17213]","[0.00000, 1.14126]","[0.00000, 0.66400]","[0.00000, 3.24874]","[0.00000, 0.28230]"
"[65, 70]","[0.00000, 0.67420]","[0.00000, 0.40514]","[0.00000, 0.14625]","[0.00000, 0.41502]","[0.00000, 0.35535]","[0.00000, 1.13191]","[0.00000, 0.58702]","[0.00000, 0.64490]","[0.00000, 0.61133]","[0.00000, 0.34051]","[0.00000, 1.89435]","[0.00000, 0.13617]"
"[70, 75]","[0.00000, 0.36574]","[0.00000, 0.21192]","[0.00000, 0.06975]","[0.00000, 0.21667]","[0.00000, 0.18127]","[0.00000, 0.63889]","[0.00000, 0.31899]","[0.00000, 0.35495]","[0.00000, 0.32777]","[0.00000, 0.17464]","[0.00000, 1.10516]","[0.00000, 0.06560]"
"[75, 80]","[0.00000, 0.19860]","[0.00000, 0.11091]","[0.00000, 0.03326]","[0.00000, 0.11330]","[0.00000, 0.09250]","[0.00000, 0.36091]","[0.00000, 0.17344]","[0.00000, 0.19542]","[0.00000, 0.17591]","[0.00000, 0.08957]","[0.00000, 0.64502]","[0.00000, 0.03156]"
