,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 35]","[0.00000, 30.71086]","[0.00000, 37.06143]","[0.00000, 56.52245]","[0.00000, 112.87761]","[0.00000, 72.52171]","[0.00000, 74.51611]","[0.00000, 98.48213]","[0.00000, 82.89773]","[0.00000, 62.35972]","[0.00000, 35.01604]","[0.00000, 25.00412]","[0.00000, 20.41387]"
"[35, 40]","[0.00000, 23.22916]","[0.00000, 29.04810]","[0.00000, 41.67288]","[0.00000, 73.39912]","[0.00000, 57.95983]","[0.00000, 55.84010]","[0.00000, 52.34124]","[0.00000, 46.99581]","[0.00000, 41.44628]","[0.00000, 28.52816]","[0.00000, 18.14624]","[0.00000, 15.65222]"
"[40, 45]","[0.00000, 15.43719]","[0.00000, 20.90615]","[0.00000, 28.85987]","[0.00000, 64.61317]","[0.00000, 40.08807]","[0.00000, 39.78692]","[0.00000, 37.27942]","[0.00000, 33.00911]","[0.00000, 28.04579]","[0.00000, 18.82084]","[0.00000, 12.71877]","[0.00000, 10.71609]"
"[45, 50]","[0.00000, 11.01667]","[0.00000, 15.83025]","[0.00000, 21.29133]","[0.00000, 70.70179]","[0.00000, 28.38490]","[0.00000, 27.30657]","[0.00000, 24.12490]","[0.00000, 21.53849]","[0.00000, 19.33283]","[0.00000, 13.63093]","[0.00000, 9.09013]","[0.00000, 7.16068]"
"[50, 55]","[0.00000, 7.63796]","[0.00000, 11.43161]","[0.00000, 16.19775]","[0.00000, 85.77453]","[0.00000, 21.09281]","[0.00000, 18.62955]","[0.00000, 15.19241]","[0.00000, 14.44475]","[0.00000, 13.84033]","[0.00000, 10.57743]","[0.00000, 6.94376]","[0.00000, 5.46725]"
"[55, 60]","[0.00000, 5.52482]","[0.00000, 8.44817]","[0.00000, 12.11318]","[0.00000, 55.27743]","[0.00000, 16.19955]","[0.00000, 12.88896]","[0.00000, 10.08878]","[0.00000, 9.87622]","[0.00000, 10.54543]","[0.00000, 8.48397]","[0.00000, 5.83881]","[0.00000, 4.34153]"
"[60, 65]","[0.00000, 4.05778]","[0.00000, 7.16648]","[0.00000, 10.85192]","[0.00000, 57.27978]","[0.00000, 13.19055]","[0.00000, 9.61216]","[0.00000, 6.82205]","[0.00000, 6.90130]","[0.00000, 8.24512]","[0.00000, 6.99580]","[0.00000, 4.99510]","[0.00000, 3.43266]"
"[65, 70]","[0.00000, 3.34630]","[0.00000, 6.09482]","[0.52911, 9.62980]","[0.00000, 55.20705]","[0.00000, 11.09578]","[0.00000, 7.59384]","[0.00000, 4.91136]","[0.00000, 4.94522]","[0.00000, 6.35801]","[0.00000, 5.56831]","[0.00000, 4.26578]","[0.00000, 2.88305]"
"[70, 75]","[0.00000, 2.86061]","[0.00000, 4.99810]","[0.49581, 8.14055]","[0.00000, 56.12785]","[0.00171, 9.10817]","[0.00000, 6.00644]","[0.00000, 3.69046]","[0.00000, 3.54268]","[0.00000, 4.94655]","[0.00000, 4.75416]","[0.00000, 3.90487]","[0.00000, 2.72930]"
"[75, 80]","[0.00000, 2.73493]","[0.00000, 4.82526]","[1.20021, 7.65325]","[0.00000, 55.05277]","[0.77853, 7.75623]","[0.00000, 4.79415]","[0.00000, 2.83310]","[0.00000, 2.84254]","[0.00000, 4.24611]","[0.00000, 4.48359]","[0.00000, 3.69082]","[0.00000, 2.61965]"
"[80, 85]","[0.00000, 2.47775]","[0.00000, 4.53569]","[1.48280, 7.20026]","[0.00000, 56.50925]","[1.15155, 7.07765]","[0.00000, 4.20206]","[0.00000, 2.35680]","[0.00000, 2.41936]","[0.00000, 3.78751]","[0.00000, 4.29602]","[0.00000, 3.61468]","[0.00000, 2.44562]"
"[85, 90]","[0.00000, 2.43660]","[0.00000, 4.37837]","[1.49915, 6.83891]","[0.00000, 56.83248]","[1.48877, 6.43742]","[0.00000, 3.90736]","[0.00000, 2.11646]","[0.00000, 2.24615]","[0.00000, 3.27636]","[0.00000, 4.15466]","[0.00000, 3.55280]","[0.00000, 2.51298]"
"[90, 95]","[0.00000, 2.41526]","[0.00000, 4.47763]","[1.94016, 7.28922]","[0.00000, 55.50988]","[1.97680, 6.66661]","[0.00000, 3.79091]","[0.00000, 1.84611]","[0.00000, 1.93947]","[0.00000, 3.20577]","[0.00000, 4.25922]","[0.00000, 3.54591]","[0.00000, 2.25337]"
"[95, 100]","[0.00000, 2.26244]","[0.00000, 4.15388]","[1.69635, 6.77029]","[0.00000, 54.46306]","[1.99721, 6.33152]","[0.00000, 3.72757]","[0.00000, 1.78784]","[0.00000, 1.84381]","[0.00000, 3.04397]","[0.00000, 4.13820]","[0.00000, 3.52263]","[0.00000, 2.34774]"
"[100, 125]","[0.00000, 2.48793]","[0.00000, 4.41327]","[2.09920, 7.12311]","[0.00000, 54.64292]","[1.93803, 6.20083]","[0.00000, 3.35342]","[0.00000, 1.58562]","[0.00000, 2.00691]","[0.00000, 3.57246]","[0.17172, 4.87834]","[0.00000, 4.01840]","[0.00000, 2.57895]"
"[125, 150]","[0.00000, 2.42834]","[0.00000, 4.24416]","[1.76758, 6.71289]","[0.00000, 52.58724]","[1.77994, 6.08287]","[0.00000, 3.52323]","[0.00000, 1.76493]","[0.00000, 1.83352]","[0.00000, 2.94790]","[0.00000, 4.43392]","[0.00000, 3.46442]","[0.00000, 2.32938]"
"[150, 175]","[0.00000, 2.48551]","[0.00000, 4.23351]","[1.60962, 6.56014]","[0.00000, 51.87309]","[1.67503, 5.88735]","[0.00000, 3.46900]","[0.00000, 1.82605]","[0.00000, 1.90936]","[0.00000, 2.96716]","[0.00000, 4.19427]","[0.00000, 3.68243]","[0.00000, 2.75508]"
"[175, 200]","[0.00000, 2.91492]","[0.00000, 4.43210]","[1.28430, 6.30655]","[0.00000, 49.34486]","[1.17692, 5.44838]","[0.00000, 3.38956]","[0.00000, 2.00374]","[0.00000, 2.05568]","[0.00000, 2.94252]","[0.00000, 3.88411]","[0.00000, 3.53478]","[0.00000, 2.84418]"
"[200, 225]","[0.00000, 2.70427]","[0.00000, 4.42321]","[1.72175, 6.79514]","[0.00000, 46.95017]","[1.69653, 6.04508]","[0.00000, 3.56426]","[0.00000, 1.81732]","[0.00000, 1.89392]","[0.00000, 2.94104]","[0.00000, 4.06272]","[0.00000, 3.55490]","[0.00000, 2.55782]"
"[225, 250]","[0.00000, 2.82912]","[0.00000, 4.37996]","[1.21210, 6.23005]","[0.00000, 37.42684]","[1.13103, 5.41098]","[0.00000, 3.38311]","[0.00000, 2.01369]","[0.00000, 2.07423]","[0.00000, 2.96597]","[0.00000, 3.87979]","[0.00000, 3.48740]","[0.00000, 2.66425]"
"[250, 275]","[0.00000, 2.67184]","[0.00000, 4.32381]","[1.43262, 6.44529]","[0.00000, 34.28766]","[1.47643, 5.77404]","[0.00000, 3.46522]","[0.00000, 1.90336]","[0.00000, 2.01223]","[0.00000, 2.97781]","[0.00000, 4.03523]","[0.00000, 3.57837]","[0.00000, 2.61212]"
"[275, 300]","[0.00000, 2.99687]","[0.00000, 4.47329]","[1.19795, 6.22674]","[0.00000, 31.86505]","[1.00539, 5.38657]","[0.00000, 3.36444]","[0.00000, 2.04653]","[0.00000, 2.09507]","[0.00000, 2.96253]","[0.00000, 3.91988]","[0.00000, 3.53910]","[0.00000, 2.79987]"
"[300, 325]","[0.00000, 2.95016]","[0.00000, 4.65607]","[1.65220, 6.81336]","[0.00000, 33.36517]","[1.35992, 5.75635]","[0.00000, 3.43604]","[0.00000, 1.93257]","[0.00000, 2.09060]","[0.00000, 3.10280]","[0.00000, 4.06976]","[0.00000, 3.54294]","[0.00000, 2.71619]"
"[325, 350]","[0.00000, 2.63281]","[0.00000, 4.21749]","[1.31644, 6.42717]","[0.00000, 34.52948]","[1.32960, 5.88460]","[0.00000, 3.54747]","[0.00000, 2.01843]","[0.00000, 2.02241]","[0.00000, 3.21310]","[0.00000, 4.15127]","[0.00000, 3.56353]","[0.00000, 2.61306]"
"[350, 375]","[0.00000, 2.96502]","[0.00000, 4.54373]","[1.40533, 6.52304]","[0.00000, 34.25322]","[1.15811, 5.71095]","[0.00000, 3.51945]","[0.00000, 2.03779]","[0.00000, 2.18148]","[0.00000, 3.12008]","[0.00000, 4.04668]","[0.00000, 3.55852]","[0.00000, 2.75189]"
"[375, 400]","[0.00000, 3.05044]","[0.00000, 4.57957]","[1.31396, 6.49297]","[0.00000, 34.86741]","[1.08499, 5.66539]","[0.00000, 3.55978]","[0.00000, 2.14425]","[0.00000, 2.23766]","[0.00000, 3.11456]","[0.00000, 4.07273]","[0.00000, 3.58222]","[0.00000, 2.84548]"
"[400, 425]","[0.00000, 3.25158]","[0.00000, 4.36458]","[0.81874, 6.07563]","[0.00000, 36.16957]","[0.99711, 5.56044]","[0.00000, 3.61938]","[0.00000, 2.15638]","[0.00000, 2.09595]","[0.00000, 3.03140]","[0.00000, 4.17650]","[0.00000, 4.03336]","[0.00000, 3.30782]"
"[425, 450]","[0.00000, 2.81778]","[0.00000, 4.52141]","[1.47085, 6.63201]","[0.00000, 41.67850]","[1.34672, 6.00725]","[0.00000, 3.68610]","[0.00000, 2.07846]","[0.00000, 2.23413]","[0.00000, 3.22807]","[0.00000, 4.22937]","[0.00000, 3.67137]","[0.00000, 2.70677]"
