,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[13.66014, 179.14194]","[22.1234, 225.82608]","[33.04283, 201.92463]","[0.0, 237.61924]","[0.0, 215.93108]","[0.0, 470.40841]","[15.30458, 509.2936]","[125.80327, 495.96391]","[99.15662, 451.48599]","[24.31467, 336.75272]","[0.0, 237.14341]","[0.0, 184.43108]"
"[20, 25]","[0.0, 91.79014]","[3.52014, 115.32216]","[8.62491, 99.02875]","[0.0, 112.69703]","[0.0, 109.12337]","[0.0, 299.2754]","[0.0, 331.18866]","[44.74194, 322.15278]","[27.11058, 294.99892]","[0.0, 204.38433]","[0.0, 119.44712]","[0.0, 92.24443]"
"[25, 30]","[0.0, 46.52497]","[0.0, 58.67448]","[1.85716, 48.24507]","[0.0, 52.76129]","[0.0, 54.54545]","[0.0, 188.62047]","[0.0, 213.59889]","[9.57739, 207.55695]","[0.0, 191.65225]","[0.0, 122.91116]","[0.0, 60.3557]","[0.0, 45.78283]"
"[30, 35]","[0.0, 23.38611]","[0.0, 29.90026]","[0.2461, 23.45562]","[0.0, 24.43053]","[0.0, 27.05383]","[0.0, 118.1924]","[0.0, 137.07195]","[0.0, 132.94378]","[0.0, 123.9245]","[0.0, 73.43213]","[0.0, 30.64398]","[0.0, 22.56221]"
"[35, 40]","[0.0, 11.67665]","[0.0, 15.30864]","[0.0, 11.41852]","[0.0, 11.1761]","[0.0, 13.34385]","[0.0, 73.80256]","[0.0, 87.69465]","[0.0, 84.78322]","[0.0, 79.82176]","[0.0, 43.67226]","[0.0, 15.62679]","[0.0, 11.02097]"
"[40, 45]","[0.0, 5.79683]","[0.0, 7.89017]","[0.01318, 5.58107]","[0.0, 5.03375]","[0.0, 6.55496]","[0.0, 45.99256]","[0.0, 56.00074]","[0.0, 53.89193]","[0.0, 51.25248]","[0.0, 25.8937]","[0.0, 7.9959]","[0.0, 5.31865]"
"[45, 50]","[0.0, 2.86274]","[0.0, 4.09946]","[0.05222, 2.74527]","[0.0, 2.21807]","[0.0, 3.21034]","[0.0, 28.63341]","[0.0, 35.72185]","[0.0, 34.17025]","[0.0, 32.82403]","[0.0, 15.32224]","[0.0, 4.10098]","[0.0, 2.52321]"
"[50, 55]","[0.0, 1.40643]","[0.01726, 2.14952]","[0.06596, 1.36184]","[0.0, 0.94548]","[0.0, 1.56872]","[0.0, 17.82056]","[0.0, 22.77169]","[0.0, 21.62418]","[0.0, 20.97785]","[0.0, 9.05596]","[0.0, 2.10625]","[0.0, 1.16754]"
"[55, 60]","[0.0, 0.68718]","[0.05658, 1.13855]","[0.06138, 0.68263]","[0.0, 0.38164]","[0.0, 0.76523]","[0.0, 11.09253]","[0.0, 14.51124]","[0.0, 13.66461]","[0.0, 13.38425]","[0.0, 5.34916]","[0.0, 1.08228]","[0.0, 0.52004]"
"[60, 65]","[0.0, 0.33369]","[0.0621, 0.60972]","[0.04936, 0.34636]","[0.0, 0.13917]","[0.0, 0.37282]","[0.0, 6.90773]","[0.0, 9.24575]","[0.0, 8.62538]","[0.0, 8.52771]","[0.0, 3.15912]","[0.0, 0.55588]","[0.0, 0.21748]"
"[65, 70]","[0.0, 0.16086]","[0.05382, 0.33036]","[0.03646, 0.17815]","[0.0, 0.0398]","[0.0, 0.18149]","[0.0, 4.30451]","[0.0, 5.89061]","[0.0, 5.44012]","[0.0, 5.42741]","[0.0, 1.86603]","[0.0, 0.28511]","[0.0, 0.08069]"
