,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[6.55434, 188.64648]","[25.23583, 214.36964]","[24.77534, 197.25477]","[0.0, 222.62187]","[0.0, 207.09754]","[0.0, 439.16823]","[21.85741, 479.28522]","[88.06741, 497.37332]","[80.93469, 434.15785]","[21.17033, 319.95972]","[0.0, 240.12983]","[0.0, 218.85392]"
"[20, 25]","[0.0, 96.33219]","[5.78067, 108.25876]","[3.85216, 96.23575]","[0.0, 102.88383]","[0.0, 104.46604]","[0.0, 273.28595]","[0.0, 305.40014]","[20.02898, 320.53626]","[16.16471, 280.76011]","[0.0, 188.14284]","[0.0, 122.75093]","[0.0, 119.06918]"
"[25, 30]","[0.0, 48.64266]","[0.84772, 54.4702]","[0.0, 46.6482]","[0.0, 47.02525]","[0.0, 52.11096]","[0.0, 168.40268]","[0.0, 192.72325]","[0.0, 204.57047]","[0.0, 180.49438]","[0.0, 109.53464]","[0.0, 63.21783]","[0.0, 65.23204]"
"[30, 35]","[0.0, 24.37859]","[0.0, 27.45683]","[0.0, 22.56569]","[0.0, 21.26575]","[0.0, 25.76535]","[0.0, 103.13024]","[0.0, 120.85093]","[0.0, 129.66234]","[0.0, 115.46295]","[0.0, 63.37018]","[0.0, 32.77475]","[0.0, 35.99828]"
"[35, 40]","[0.0, 12.15547]","[0.0, 13.9138]","[0.0, 10.92979]","[0.0, 9.48971]","[0.0, 12.64501]","[0.0, 62.90851]","[0.0, 75.46451]","[0.0, 81.77414]","[0.0, 73.55989]","[0.0, 36.52566]","[0.0, 17.07586]","[0.0, 19.98517]"
"[40, 45]","[0.0, 6.03868]","[0.04222, 7.10487]","[0.0, 5.31505]","[0.0, 4.15659]","[0.0, 6.16417]","[0.0, 38.27835]","[0.0, 46.99127]","[0.0, 51.38421]","[0.0, 46.70622]","[0.0, 21.0118]","[0.0, 8.92684]","[0.0, 11.1449]"
"[45, 50]","[0.0, 2.99148]","[0.11147, 3.66194]","[0.0, 2.60141]","[0.0, 1.77054]","[0.0, 2.98467]","[0.0, 23.25617]","[0.0, 29.20626]","[0.0, 32.20156]","[0.0, 29.57392]","[0.0, 12.07881]","[0.0, 4.67692]","[0.0, 6.23441]"
"[50, 55]","[0.0, 1.47832]","[0.12788, 1.90754]","[0.0, 1.28455]","[0.0, 0.72118]","[0.0, 1.43436]","[0.0, 14.11722]","[0.0, 18.12971]","[0.0, 20.14056]","[0.0, 18.68378]","[0.0, 6.94494]","[0.0, 2.4534]","[0.0, 3.49445]"
"[55, 60]","[0.0, 0.72877]","[0.11522, 1.00528]","[0.00282, 0.64146]","[0.0, 0.27136]","[0.0, 0.68308]","[0.0, 8.56609]","[0.0, 11.24466]","[0.0, 12.57915]","[0.0, 11.7822]","[0.0, 3.99649]","[0.0, 1.2877]","[0.0, 1.9608]"
"[60, 65]","[0.0, 0.35827]","[0.09207, 0.53642]","[0.01949, 0.32469]","[0.0, 0.08621]","[0.0, 0.32146]","[0.0, 5.19729]","[0.0, 6.97059]","[0.0, 7.84869]","[0.0, 7.41903]","[0.0, 2.30284]","[0.0, 0.67584]","[0.0, 1.10062]"
"[65, 70]","[0.0, 0.17552]","[0.06849, 0.28997]","[0.02146, 0.16695]","[0.0, 0.01518]","[0.0, 0.14882]","[0.0, 3.15376]","[0.0, 4.31965]","[0.0, 4.89385]","[0.0, 4.6661]","[0.0012, 1.32918]","[0.0, 0.35452]","[0.0, 0.61763]"
"[70, 75]","[0.0, 0.0856]","[0.04859, 0.15884]","[0.01814, 0.08735]","[0.0, 5000.0]","[0.0, 0.06728]","[0.0, 1.91428]","[0.0, 2.67635]","[0.0, 3.05013]","[0.0, 2.93194]","[0.02308, 0.7687]","[0.0, 0.18577]","[0.0, 0.34631]"
"[75, 80]","[0.0, 0.04149]","[0.03336, 0.08817]","[0.0137, 0.04658]","[0.0, 5000.0]","[0.0, 0.02932]","[0.0, 1.1624]","[0.0, 1.65804]","[0.0, 1.90058]","[0.0, 1.84093]","[0.02746, 0.44553]","[0.0, 0.0972]","[0.0, 0.19392]"
"[80, 85]","[0.0, 0.01994]","[0.02236, 0.04958]","[0.00973, 0.02532]","[0.0, 5000.0]","[0.0, 0.01202]","[0.0, 0.70618]","[0.0, 1.02715]","[0.0, 1.18418]","[0.0, 1.15524]","[0.02468, 0.25884]","[0.0, 0.05075]","[0.0, 0.1084]"
"[85, 90]","[0.0, 0.00947]","[0.01472, 0.02822]","[0.00664, 0.01403]","[0.0, 5000.0]","[0.0, 0.00438]","[0.0, 0.42924]","[0.0, 0.63633]","[0.0, 0.73784]","[0.0, 0.72465]","[0.01972, 0.15075]","[0.0, 0.02642]","[0.0, 0.06045]"
"[90, 95]","[0.0, 0.00442]","[0.00955, 0.01625]","[0.00442, 0.00792]","[0.0, 5000.0]","[0.0, 0.00118]","[0.0, 0.26106]","[0.0, 0.39423]","[0.0, 0.45979]","[0.0, 0.45441]","[0.01476, 0.08803]","[0.0, 0.01371]","[0.0, 0.03362]"
"[95, 100]","[0.0, 0.00201]","[0.00614, 0.00945]","[0.00289, 0.00455]","[0.0, 5000.0]","[0.0, 5000.0]","[0.0, 0.15886]","[0.0, 0.24426]","[0.0, 0.28657]","[0.0, 0.28489]","[0.01059, 0.05154]","[0.0, 0.00708]","[0.0, 0.01863]"
