,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[20.24622, 194.35659]","[10.77272, 248.52402]","[32.61781, 204.60591]","[0.0, 231.63921]","[0.0, 209.82507]","[0.0, 468.16137]","[29.08161, 498.76993]","[121.72265, 506.95958]","[103.28067, 460.48876]","[7.25754, 375.08794]","[0.0, 258.44651]","[0.0, 232.28549]"
"[20, 25]","[0.0, 101.56608]","[0.0, 130.19398]","[7.54296, 101.92652]","[0.0, 108.21323]","[0.0, 104.87136]","[0.0, 299.86524]","[0.0, 323.83355]","[42.85187, 329.07586]","[29.86717, 301.95586]","[0.0, 233.74271]","[0.0, 135.01045]","[0.0, 126.45186]"
"[25, 30]","[0.0, 52.60037]","[0.0, 67.96384]","[0.88536, 50.50836]","[0.0, 50.10086]","[0.0, 51.84518]","[0.0, 190.25368]","[0.0, 208.52919]","[8.91436, 211.71843]","[0.0, 196.81039]","[0.0, 144.4239]","[0.0, 70.8115]","[0.0, 68.99753]"
"[30, 35]","[0.0, 27.07187]","[0.0, 35.51812]","[0.0, 24.99948]","[0.0, 23.01379]","[0.0, 25.44039]","[0.0, 119.9544]","[0.0, 133.58197]","[0.0, 135.38727]","[0.0, 127.65138]","[0.0, 88.71582]","[0.0, 37.31534]","[0.0, 37.83195]"
"[35, 40]","[0.0, 13.86933]","[0.0, 18.62646]","[0.0, 12.39771]","[0.0, 10.47329]","[0.0, 12.4202]","[0.0, 75.32195]","[0.0, 85.28807]","[0.0, 86.20824]","[0.0, 82.46835]","[0.0, 54.27883]","[0.0, 19.75231]","[0.0, 20.85032]"
"[40, 45]","[0.0, 7.07923]","[0.0, 9.81394]","[0.0, 6.17563]","[0.0, 4.70658]","[0.0, 6.04267]","[0.0, 47.17361]","[0.0, 54.33966]","[0.0, 54.72869]","[0.0, 53.10917]","[0.0, 33.11897]","[0.0, 10.49815]","[0.0, 11.54269]"
"[45, 50]","[0.0, 3.60125]","[0.0, 5.19856]","[0.0, 3.09655]","[0.0, 2.07701]","[0.0, 2.93307]","[0.0, 29.49861]","[0.0, 34.57622]","[0.0, 34.67044]","[0.0, 34.11498]","[0.0, 20.17039]","[0.0, 5.60017]","[0.0, 6.41232]"
"[50, 55]","[0.0, 1.82562]","[0.0, 2.76982]","[0.00512, 1.56588]","[0.0, 0.89171]","[0.0, 1.42158]","[0.0, 18.43093]","[0.0, 21.9834]","[0.0, 21.93093]","[0.0, 21.86932]","[0.0, 12.26874]","[0.0, 2.99742]","[0.0, 3.57095]"
"[55, 60]","[0.0, 0.92182]","[0.0, 1.48499]","[0.03396, 0.79998]","[0.0, 0.36623]","[0.0, 0.6884]","[0.0, 11.51226]","[0.0, 13.97067]","[0.0, 13.85825]","[0.0, 13.9965]","[0.0, 7.45613]","[0.0, 1.60935]","[0.0, 1.99151]"
"[60, 65]","[0.0, 0.46323]","[0.0, 0.80145]","[0.03865, 0.41353]","[0.0, 0.13901]","[0.0, 0.33325]","[0.0, 7.19118]","[0.0, 8.87651]","[0.0, 8.75107]","[0.0, 8.94629]","[0.0, 4.52879]","[0.0, 0.86665]","[0.0, 1.11125]"
"[65, 70]","[0.0, 0.23136]","[0.0, 0.43561]","[0.03353, 0.2166]","[0.0, 0.04457]","[0.0, 0.16134]","[0.0, 4.49343]","[0.0, 5.63943]","[0.0, 5.52363]","[0.0, 5.71247]","[0.0, 2.74978]","[0.0, 0.46803]","[0.0, 0.61988]"
"[70, 75]","[0.0, 0.11465]","[0.0, 0.23853]","[0.02583, 0.11507]","[0.0, 0.00793]","[0.0, 0.07816]","[0.0, 2.80911]","[0.0, 3.58295]","[0.0, 3.4856]","[0.0, 3.64468]","[0.0, 1.66928]","[0.0, 0.25347]","[0.0, 0.3454]"
"[75, 80]","[0.0, 0.05622]","[0.00027, 0.13165]","[0.01861, 0.06205]","[0.0, 5000.0]","[0.0, 0.03791]","[0.0, 1.75722]","[0.0, 2.2766]","[0.0, 2.19929]","[0.0, 2.32394]","[0.0, 1.01328]","[0.0, 0.13765]","[0.0, 0.1921]"
"[80, 85]","[0.0, 0.02718]","[0.0043, 0.07326]","[0.01285, 0.03397]","[0.0, 5000.0]","[0.0, 0.01843]","[0.0, 1.09996]","[0.0, 1.44675]","[0.0, 1.38765]","[0.0, 1.48111]","[0.0, 0.61509]","[0.0, 0.07495]","[0.0, 0.10656]"
"[85, 90]","[0.0, 0.01289]","[0.00495, 0.04111]","[0.00862, 0.01888]","[0.0, 5000.0]","[0.0, 0.00898]","[0.0, 0.68904]","[0.0, 0.91956]","[0.0, 0.87559]","[0.0, 0.94361]","[0.0, 0.37341]","[0.0, 0.04092]","[0.0, 0.05891]"
"[90, 95]","[0.0, 0.00594]","[0.00432, 0.02327]","[0.00567, 0.01064]","[0.0, 5000.0]","[0.0, 0.0044]","[0.0, 0.43195]","[0.0, 0.58459]","[0.0, 0.55255]","[0.0, 0.60102]","[0.0, 0.22673]","[0.0, 0.0224]","[0.0, 0.03243]"
"[95, 100]","[0.0, 0.00262]","[0.00336, 0.01328]","[0.00367, 0.00608]","[0.0, 5000.0]","[0.0, 0.00217]","[0.0, 0.27099]","[0.0, 0.37172]","[0.0, 0.34874]","[0.0, 0.38274]","[0.0, 0.1377]","[0.0, 0.0123]","[0.0, 0.01775]"
"[100, 125]","[0.0, 0.00029]","[0.00133, 0.00343]","[0.00115, 0.00159]","[0.0, 5000.0]","[0.0, 0.00042]","[0.0, 0.08275]","[0.0, 0.11662]","[0.0, 0.10765]","[0.0, 0.12031]","[0.0, 0.03919]","[8e-05, 0.00287]","[0.0, 0.00398]"
