,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[37.35365, 137.33742]","[36.56536, 186.81013]","[46.60959, 165.86442]","[0.0, 210.78571]","[21.81899, 175.44191]","[0.0, 356.31296]","[47.3883, 403.79915]","[43.31245, 469.41082]","[66.07993, 371.06273]","[25.78992, 250.56212]","[0.0, 167.90892]","[0.0, 174.66142]"
"[20, 25]","[10.07242, 67.20006]","[9.86732, 93.85456]","[15.11677, 78.62287]","[0.0, 96.29122]","[0.0, 87.08207]","[0.0, 208.31033]","[2.20037, 245.34692]","[0.0, 296.57919]","[11.033, 231.41876]","[6.39755, 137.29767]","[0.0, 75.10244]","[0.0, 86.40979]"
"[25, 30]","[1.5817, 32.73301]","[2.17501, 46.92035]","[4.88044, 37.06981]","[0.0, 43.42781]","[0.0, 42.90826]","[0.0, 120.45866]","[0.0, 147.7079]","[0.0, 185.58179]","[0.0, 143.67637]","[1.72751, 74.56775]","[0.0, 33.51298]","[0.0, 42.76072]"
"[30, 35]","[0.0, 15.89057]","[0.30357, 23.43096]","[1.63712, 17.44584]","[0.0, 19.34797]","[0.0, 20.97359]","[0.0, 69.15814]","[0.0, 88.4089]","[0.0, 115.37223]","[0.0, 88.83348]","[0.90091, 40.31197]","[0.0, 14.9221]","[0.0, 21.17435]"
"[35, 40]","[0.0, 7.69489]","[0.012, 11.72501]","[0.624, 8.22193]","[0.0, 8.4923]","[0.0, 10.16103]","[0.0, 39.51577]","[0.0, 52.72079]","[0.0, 71.40701]","[0.0, 54.72757]","[0.82517, 21.7601]","[0.0, 6.61512]","[0.0, 10.47696]"
"[40, 45]","[0.0, 3.71894]","[0.04714, 5.89529]","[0.29712, 3.89269]","[0.0, 3.65185]","[0.0, 4.8721]","[0.0, 22.50625]","[0.0, 31.36621]","[0.0, 44.0631]","[0.0, 33.61348]","[0.77352, 11.75493]","[0.0, 2.90913]","[0.0, 5.16935]"
"[45, 50]","[0.0, 1.79442]","[0.09534, 2.98535]","[0.17535, 1.85746]","[0.0, 1.5234]","[0.0, 2.30682]","[0.0, 12.79082]","[0.0, 18.6351]","[0.0, 27.13572]","[0.0, 20.59307]","[0.65622, 6.36569]","[0.0, 1.26238]","[0.0, 2.53726]"
"[50, 55]","[0.0, 0.86448]","[0.10836, 1.52575]","[0.1161, 0.89621]","[0.0, 0.60536]","[0.0, 1.07461]","[0.0, 7.25886]","[0.0, 11.06249]","[0.0, 16.68979]","[0.0, 12.58999]","[0.51048, 3.46005]","[0.0, 0.53608]","[0.0, 1.23524]"
"[55, 60]","[0.0, 0.41577]","[0.09717, 0.78838]","[0.0793, 0.43866]","[0.0, 0.22052]","[0.0, 0.48965]","[0.0, 4.11557]","[0.0, 6.56447]","[0.0, 10.25714]","[0.0, 7.68415]","[0.37279, 1.88946]","[0.0, 0.2197]","[0.0, 0.5942]"
"[60, 65]","[0.0, 0.19957]","[0.07681, 0.41243]","[0.05379, 0.21846]","[0.0, 0.06632]","[0.0, 0.2161]","[0.0, 2.33205]","[0.0, 3.8948]","[0.0, 6.30123]","[0.0, 4.68357]","[0.26014, 1.0373]","[0.0, 0.08461]","[0.0, 0.28093]"
"[65, 70]","[0.0, 0.09555]","[0.05623, 0.21867]","[0.03584, 0.11097]","[0.0, 0.00924]","[0.0, 0.09074]","[0.0, 1.32101]","[0.0, 2.31093]","[0.0, 3.87044]","[0.0, 2.8516]","[0.17559, 0.57278]","[0.0, 0.02878]","[0.0, 0.12949]"
