,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 155.78903]","[0.0, 237.09004]","[0.0, 130.84265]","[0.0, 102.6542]","[0.0, 115.48412]","[0.0, 315.64714]","[0.0, 371.20475]","[89.04661, 331.45143]","[49.53182, 320.51047]","[0.0, 273.32409]","[0.0, 162.29028]","[0.0, 133.60472]"
"[25, 30]","[0.0, 89.3864]","[0.0, 147.44268]","[0.0, 67.67481]","[0.0, 47.23126]","[0.0, 59.03147]","[0.0, 205.71199]","[0.0, 248.4741]","[38.58852, 216.39898]","[11.75204, 211.88878]","[0.0, 172.90461]","[0.0, 88.11759]","[0.0, 72.49313]"
"[30, 35]","[0.0, 50.98618]","[0.0, 91.90429]","[0.0, 35.08751]","[0.0, 21.50804]","[0.0, 30.03025]","[0.0, 133.22073]","[0.0, 165.64917]","[14.31384, 140.66583]","[0.0, 139.40974]","[0.0, 108.65555]","[0.0, 47.83168]","[0.0, 39.35014]"
"[35, 40]","[0.0, 28.96753]","[0.0, 57.43463]","[0.0, 18.29289]","[0.0, 9.67413]","[0.0, 15.23867]","[0.0, 85.87696]","[0.0, 110.16278]","[3.31281, 91.14897]","[0.0, 91.36598]","[0.0, 67.96063]","[0.0, 25.98742]","[0.0, 21.38142]"
"[40, 45]","[0.0, 16.41588]","[0.0, 35.97709]","[0.0, 9.60795]","[0.0, 4.27843]","[0.0, 7.72726]","[0.0, 55.17488]","[0.0, 73.15865]","[0.0, 58.92446]","[0.0, 59.69015]","[0.0, 42.36268]","[0.0, 14.14102]","[0.0, 11.62718]"
"[45, 50]","[0.0, 9.28917]","[0.0, 22.57898]","[0.0, 5.08949]","[0.0, 1.84504]","[0.0, 3.92164]","[0.0, 35.36714]","[0.0, 48.54833]","[0.0, 38.02437]","[0.0, 38.89646]","[0.0, 26.33986]","[0.0, 7.70903]","[0.0, 6.32452]"
"[50, 55]","[0.0, 5.25304]","[0.0, 14.19115]","[0.0, 2.72064]","[0.0, 0.76398]","[0.0, 1.99496]","[0.0, 22.63516]","[0.0, 32.20728]","[0.0, 24.5033]","[0.0, 25.2942]","[0.0, 16.34627]","[0.0, 4.2107]","[0.0, 3.43878]"
"[55, 60]","[0.0, 2.97068]","[0.0, 8.92899]","[0.04689, 1.46802]","[0.0, 0.29425]","[0.0, 1.01895]","[0.0, 14.47256]","[0.0, 21.36651]","[0.0, 15.77288]","[0.0, 16.42139]","[0.0, 10.12972]","[0.0, 2.30413]","[0.0, 1.86756]"
"[60, 65]","[0.0, 1.68095]","[0.0, 5.62248]","[0.06675, 0.79958]","[0.0, 0.09722]","[0.0, 0.52358]","[0.0, 9.24863]","[0.0, 14.17747]","[0.0, 10.14423]","[0.0, 10.6468]","[0.0, 6.27044]","[0.0, 1.26287]","[0.0, 1.0122]"
"[65, 70]","[0.0, 0.95218]","[0.0, 3.54241]","[0.06175, 0.43951]","[0.0, 0.01945]","[0.0, 0.27131]","[0.0, 5.90916]","[0.0, 9.41036]","[0.0, 6.51964]","[0.0, 6.89549]","[0.0, 3.87825]","[0.0, 0.69307]","[0.0, 0.54698]"
"[70, 75]","[0.0, 0.54019]","[0.0, 2.23277]","[0.04905, 0.24373]","[0.0, 5000.0]","[0.0, 0.14219]","[0.0, 3.77572]","[0.0, 6.24875]","[0.0, 4.18779]","[0.0, 4.46214]","[0.0, 2.39718]","[0.0, 0.38069]","[0.0, 0.29438]"
"[75, 80]","[0.0, 0.30706]","[0.0, 1.40772]","[0.03598, 0.13628]","[0.0, 5000.0]","[0.0, 0.07562]","[0.0, 2.41313]","[0.0, 4.15129]","[0.0, 2.68876]","[0.0, 2.88556]","[0.0, 1.48102]","[0.0, 0.20917]","[0.0, 0.15758]"
"[80, 85]","[0.0, 0.17496]","[0.0, 0.88772]","[0.02512, 0.07678]","[0.0, 5000.0]","[0.0, 0.04095]","[0.0, 1.54287]","[0.0, 2.75925]","[0.0, 1.72569]","[0.0, 1.86505]","[0.0, 0.9147]","[0.0, 0.11489]","[0.0, 0.08376]"
"[85, 90]","[0.0, 0.09998]","[0.0, 0.5599]","[0.01695, 0.04355]","[0.0, 5000.0]","[0.0, 0.02267]","[0.0, 0.98693]","[0.0, 1.83496]","[0.0, 1.10726]","[0.0, 1.20497]","[0.0, 0.56479]","[0.0, 0.06303]","[0.0, 0.04412]"
"[90, 95]","[0.0, 0.05732]","[0.0, 0.35317]","[0.01115, 0.02485]","[0.0, 5000.0]","[0.0, 0.01286]","[0.0, 0.63166]","[0.0, 1.22092]","[0.0, 0.7103]","[0.0, 0.77826]","[0.0, 0.34869]","[0.0, 0.03451]","[0.0, 0.02296]"
"[95, 100]","[0.0, 0.03299]","[0.0, 0.2228]","[0.00719, 0.01424]","[0.0, 5000.0]","[0.0, 0.00749]","[0.0, 0.40451]","[0.0, 0.81278]","[0.0, 0.45558]","[0.0, 0.50255]","[0.0, 0.21525]","[0.0, 0.01882]","[0.0, 0.01176]"
"[100, 125]","[0.0, 0.00855]","[0.0, 0.06867]","[0.00218, 0.00363]","[0.0, 5000.0]","[0.00058, 0.00216]","[0.0, 0.12909]","[0.0, 0.28238]","[0.0, 0.14543]","[0.0, 0.16279]","[0.0, 0.06332]","[0.0, 0.00421]","[0.0, 0.00218]"
"[125, 150]","[0.0, 0.00062]","[0.0, 0.00687]","[0.00017, 0.00022]","[0.0, 5000.0]","[0.00019, 0.00025]","[0.0, 0.01412]","[0.0, 0.03738]","[0.0, 0.01577]","[0.0, 0.01825]","[0.0, 0.00568]","[0.0, 0.00014]","[0.0, 5000.0]"
"[150, 175]","[0.0, 2e-05]","[0.0, 0.00069]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.00153]","[0.0, 0.0051]","[0.0, 0.00157]","[0.0, 0.00218]","[0.0, 0.00042]","[0.0, 0.0]","[0.0, 1e-05]"
"[175, 200]","[0.0, 0.0]","[0.0, 6e-05]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.00016]","[0.0, 0.00069]","[0.0, 0.00016]","[0.0, 0.00024]","[0.0, 3e-05]","[0.0, 0.0]","[0.0, 0.0]"
"[200, 225]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 1e-05]","[0.0, 9e-05]","[0.0, 1e-05]","[0.0, 2e-05]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[225, 250]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 1e-05]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[250, 275]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[275, 300]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[300, 325]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[325, 350]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[350, 375]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[375, 400]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[400, 425]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
