,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[29.96226, 141.70991]","[35.90316, 184.24038]","[39.14157, 172.13246]","[0.0, 215.54424]","[13.54262, 186.84105]","[0.0, 373.23303]","[46.5566, 409.86599]","[58.7089, 460.86074]","[77.08895, 368.05589]","[20.30198, 263.2761]","[0.0, 174.88121]","[0.0, 188.4678]"
"[20, 25]","[5.6345, 70.04277]","[9.66214, 92.30212]","[11.99925, 81.24234]","[0.0, 98.47299]","[0.0, 94.40125]","[0.0, 220.242]","[0.28975, 250.82568]","[2.15041, 290.09136]","[17.91885, 229.45489]","[3.54267, 144.60659]","[0.0, 79.98459]","[0.0, 94.53374]"
"[25, 30]","[0.0, 34.50881]","[2.1169, 46.02519]","[3.68033, 38.04876]","[0.0, 44.52279]","[0.0, 47.40439]","[0.0, 128.6269]","[0.0, 152.06844]","[0.0, 180.90984]","[0.0, 142.50578]","[0.25774, 78.68736]","[0.0, 36.60009]","[0.0, 47.29874]"
"[30, 35]","[0.0, 16.96615]","[0.28164, 22.92774]","[1.20906, 17.76173]","[0.0, 19.93083]","[0.0, 23.66357]","[0.0, 74.62954]","[0.0, 91.62244]","[0.0, 112.11771]","[0.0, 88.18957]","[0.13034, 42.61914]","[0.0, 16.78132]","[0.0, 23.63934]"
"[35, 40]","[0.0, 8.33027]","[0.0, 11.44527]","[0.4837, 8.29611]","[0.0, 8.81397]","[0.0, 11.74342]","[0.0, 43.11462]","[0.0, 54.97147]","[0.0, 69.18978]","[0.0, 54.40404]","[0.40884, 23.05059]","[0.0, 7.69979]","[0.0, 11.79984]"
"[40, 45]","[0.0, 4.08653]","[0.03084, 5.73998]","[0.25564, 3.89077]","[0.0, 3.83333]","[0.0, 5.79237]","[0.0, 24.83628]","[0.0, 32.88761]","[0.0, 42.57581]","[0.0, 33.47137]","[0.54175, 12.47674]","[0.0, 3.527]","[0.0, 5.87775]"
"[45, 50]","[0.0, 2.00332]","[0.08032, 2.89862]","[0.16443, 1.83847]","[0.0, 1.62715]","[0.0, 2.83774]","[0.0, 14.27872]","[0.0, 19.63762]","[0.0, 26.14908]","[0.0, 20.54643]","[0.52423, 6.76918]","[0.0, 1.60795]","[0.0, 2.91798]"
"[50, 55]","[0.0, 0.98137]","[0.09582, 1.47682]","[0.11324, 0.87825]","[0.0, 0.66517]","[0.0, 1.37915]","[0.0, 8.19771]","[0.0, 11.71081]","[0.0, 16.0406]","[0.0, 12.58907]","[0.43427, 3.68524]","[0.0, 0.72673]","[0.0, 1.44122]"
"[55, 60]","[0.0, 0.48029]","[0.08746, 0.76042]","[0.07802, 0.42558]","[0.0, 0.25518]","[0.0, 0.6636]","[0.0, 4.7019]","[0.0, 6.97791]","[0.0, 9.83259]","[0.0, 7.7019]","[0.32854, 2.01479]","[0.0, 0.32388]","[0.0, 0.70654]"
"[60, 65]","[0.0, 0.23475]","[0.06969, 0.39624]","[0.05266, 0.20985]","[0.0, 0.08649]","[0.0, 0.31517]","[0.0, 2.69499]","[0.0, 4.15571]","[0.0, 6.02491]","[0.0, 4.7063]","[0.23444, 1.1068]","[0.0, 0.14121]","[0.0, 0.34271]"
"[65, 70]","[0.0, 0.11453]","[0.05122, 0.20917]","[0.03473, 0.10557]","[0.0, 0.02102]","[0.0, 0.14705]","[0.0, 1.54396]","[0.0, 2.47429]","[0.0, 3.69125]","[0.0, 2.8731]","[0.16071, 0.61116]","[0.0, 0.05944]","[0.0, 0.16374]"
"[70, 75]","[0.0, 0.05573]","[0.03572, 0.11192]","[0.02245, 0.05429]","[0.0, 5000.0]","[0.0, 0.06689]","[0.0, 0.88426]","[0.0, 1.47304]","[0.0, 2.26158]","[0.0, 1.7527]","[0.10705, 0.33931]","[0.0, 0.02358]","[0.0, 0.07654]"
