,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[0.9616, 270.47008]","[0.0, 421.33185]","[17.44972, 244.48055]","[0.0, 209.83756]","[0.0, 210.19833]","[0.0, 468.26791]","[35.8109, 547.12061]","[174.05463, 517.69322]","[130.90695, 482.46948]","[0.0, 418.47275]","[0.0, 280.94546]","[0.0, 249.53404]"
"[20, 25]","[0.0, 154.43096]","[0.0, 270.32262]","[1.94199, 125.98759]","[0.0, 96.57375]","[0.0, 106.11051]","[0.0, 305.40296]","[0.0, 367.56337]","[78.44401, 340.28581]","[48.05488, 320.94142]","[0.0, 268.0803]","[0.0, 151.18194]","[0.0, 137.13652]"
"[25, 30]","[0.0, 87.30633]","[0.0, 173.4883]","[0.0, 64.79901]","[0.0, 44.02224]","[0.0, 52.97592]","[0.0, 197.50311]","[0.0, 245.26294]","[31.88862, 221.92496]","[10.6839, 212.26386]","[0.0, 170.17409]","[0.0, 81.24594]","[0.0, 75.03096]"
"[30, 35]","[0.0, 49.04726]","[0.0, 111.52389]","[0.0, 33.46717]","[0.0, 19.8904]","[0.0, 26.21975]","[0.0, 126.91332]","[0.0, 162.97569]","[10.26698, 143.94758]","[0.0, 139.71962]","[0.0, 107.31912]","[0.0, 43.66616]","[0.0, 41.02782]"
"[35, 40]","[0.0, 27.45072]","[0.0, 71.83354]","[0.35929, 17.43023]","[0.0, 8.89072]","[0.0, 12.88422]","[0.0, 81.16632]","[0.0, 108.02304]","[0.96392, 93.00528]","[0.0, 91.60991]","[0.0, 67.362]","[0.0, 23.48652]","[0.0, 22.45463]"
"[40, 45]","[0.0, 15.33513]","[0.0, 46.35632]","[0.56084, 9.18118]","[0.0, 3.9151]","[0.0, 6.29098]","[0.0, 51.72702]","[0.0, 71.4939]","[0.0, 59.9192]","[0.0, 59.8744]","[0.0, 42.13802]","[0.0, 12.6477]","[0.0, 12.30431]"
"[45, 50]","[0.0, 8.56351]","[0.0, 29.96417]","[0.56551, 4.90108]","[0.0, 1.68611]","[0.0, 3.05297]","[0.0, 32.8809]","[0.0, 47.28012]","[0.0, 38.52067]","[0.0, 39.03095]","[0.0, 26.29431]","[0.0, 6.82085]","[0.0, 6.74882]"
"[50, 55]","[0.0, 4.78585]","[0.0, 19.39464]","[0.47942, 2.65499]","[0.0, 0.70096]","[0.0, 1.47224]","[0.0, 20.86269]","[0.0, 31.25659]","[0.0, 24.72392]","[0.0, 25.38965]","[0.0, 16.37853]","[0.0, 3.68418]","[0.0, 3.70339]"
"[55, 60]","[0.0, 2.67942]","[0.0, 12.56699]","[0.37032, 1.4606]","[0.0, 0.27417]","[0.0, 0.70504]","[0.0, 13.2203]","[0.0, 20.66277]","[0.0, 15.84908]","[0.0, 16.48759]","[0.0, 10.18904]","[0.0, 1.99291]","[0.0, 2.03191]"
"[60, 65]","[0.0, 1.50411]","[0.0, 8.14989]","[0.27019, 0.81617]","[0.0, 0.09498]","[0.0, 0.33494]","[0.0, 8.37037]","[0.0, 13.66177]","[0.0, 10.15032]","[0.0, 10.69187]","[0.0, 6.3329]","[0.0, 1.07939]","[0.0, 1.11388]"
"[65, 70]","[0.0, 0.84728]","[0.0, 5.28887]","[0.18982, 0.46312]","[0.0, 0.0236]","[0.0, 0.15762]","[0.0, 5.29697]","[0.0, 9.03555]","[0.0, 6.49594]","[0.0, 6.92571]","[0.0, 3.93376]","[0.0, 0.58513]","[0.0, 0.60965]"
"[70, 75]","[0.0, 0.47931]","[0.0, 3.43401]","[0.1299, 0.26667]","[0.0, 5000.0]","[0.0, 0.07332]","[0.0, 3.35121]","[0.0, 5.97819]","[0.0, 4.15495]","[0.0, 4.48216]","[0.0, 2.44256]","[0.0, 0.3173]","[0.0, 0.33287]"
"[75, 80]","[0.0, 0.2725]","[0.0, 2.23058]","[0.08723, 0.15566]","[0.0, 5000.0]","[0.0, 0.03363]","[0.0, 2.1201]","[0.0, 3.9571]","[0.0, 2.65651]","[0.0, 2.8987]","[0.0, 1.51631]","[0.0, 0.17199]","[0.0, 0.18115]"
"[80, 85]","[0.0, 0.15582]","[0.0, 1.44934]","[0.05776, 0.09199]","[0.0, 5000.0]","[0.0, 0.01516]","[0.0, 1.3414]","[0.0, 2.62055]","[0.0, 1.69796]","[0.0, 1.87361]","[0.0, 0.94122]","[0.0, 0.09311]","[0.0, 0.09816]"
"[85, 90]","[0.0, 0.08967]","[0.0, 0.94196]","[0.03785, 0.05497]","[0.0, 5000.0]","[0.0, 0.00669]","[0.0, 0.84891]","[0.0, 1.7363]","[0.0, 1.08506]","[0.0, 1.21051]","[0.0, 0.58425]","[0.0, 0.05028]","[0.0, 0.05289]"
"[90, 95]","[0.0, 0.05197]","[0.0, 0.61232]","[0.0246, 0.03316]","[0.0, 5000.0]","[0.0, 0.00288]","[0.0, 0.53741]","[0.0, 1.151]","[0.0, 0.6933]","[0.0, 0.78185]","[0.0, 0.36269]","[0.0, 0.02704]","[0.0, 0.0283]"
"[95, 100]","[0.0, 0.03036]","[0.0, 0.3981]","[0.01589, 0.02017]","[0.0, 5000.0]","[0.0, 0.00121]","[0.0, 0.34035]","[0.0, 0.7634]","[0.0, 0.44295]","[0.0, 0.50486]","[0.0, 0.22519]","[0.0, 0.01445]","[0.0, 0.01501]"
"[100, 125]","[0.0, 0.00823]","[0.0, 0.13102]","[0.00506, 0.00589]","[0.0, 5000.0]","[0.0, 0.00017]","[0.0, 0.10596]","[0.0, 0.26302]","[0.0, 0.14028]","[0.0, 0.16354]","[0.0, 0.06711]","[0.0, 0.00305]","[0.0, 0.00311]"
"[125, 150]","[0.00024, 0.0007]","[0.0, 0.01525]","[0.00052, 0.00055]","[0.0, 5000.0]","[0.0, 2e-05]","[0.0, 0.01093]","[0.0, 0.03417]","[0.0, 0.01496]","[0.0, 0.01833]","[0.0, 0.00622]","[0.0, 5e-05]","[0.0, 6e-05]"
"[150, 175]","[0.0, 1e-05]","[0.0, 0.00184]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.00111]","[0.0, 0.00457]","[0.0, 0.00145]","[0.0, 0.0022]","[0.0, 0.00049]","[0.0, 0.0]","[0.0, 2e-05]"
"[175, 200]","[0.0, 0.0]","[0.0, 0.00021]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.00011]","[0.0, 0.0006]","[0.0, 0.00015]","[0.0, 0.00024]","[0.0, 4e-05]","[0.0, 0.0]","[0.0, 0.0]"
"[200, 225]","[0.0, 0.0]","[0.0, 2e-05]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 1e-05]","[0.0, 8e-05]","[0.0, 1e-05]","[0.0, 2e-05]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[225, 250]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 1e-05]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[250, 275]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[275, 300]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[300, 325]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
