,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 313.69667]","[0.00000, 383.22697]","[0.00000, 533.49894]","[0.00000, 671.11675]","[0.00000, 626.33519]","[0.00000, 676.50818]","[0.00000, 1036.46355]","[0.00000, 916.31188]","[0.00000, 720.85472]","[0.00000, 574.71673]","[0.00000, 327.68498]","[0.00000, 255.00184]"
"[7, 8]","[0.00000, 265.95120]","[0.00000, 356.04473]","[0.00000, 490.75603]","[0.00000, 650.90982]","[0.00000, 575.54445]","[0.00000, 596.75891]","[0.00000, 951.56061]","[0.00000, 793.32647]","[0.00000, 638.53607]","[0.00000, 504.02247]","[0.00000, 295.37520]","[0.00000, 237.59085]"
"[8, 9]","[0.00000, 238.75614]","[0.00000, 310.25787]","[0.00000, 449.67380]","[0.00000, 578.13856]","[0.00000, 524.09324]","[0.00000, 522.46960]","[0.00000, 860.14413]","[0.00000, 681.31079]","[0.00000, 552.62344]","[0.00000, 440.44753]","[0.00000, 265.48351]","[0.00000, 208.48492]"
"[9, 10]","[0.00000, 234.11348]","[0.00000, 289.45167]","[0.00000, 386.59332]","[0.00000, 517.42363]","[0.00000, 486.06061]","[0.00000, 576.15893]","[0.00000, 902.03429]","[0.00000, 650.09285]","[0.00000, 495.20236]","[0.00000, 375.15807]","[0.00000, 228.10729]","[0.00000, 196.75160]"
"[10, 11]","[0.00000, 208.43467]","[0.00000, 264.12947]","[0.00000, 358.57141]","[0.00000, 487.23575]","[0.00000, 444.41858]","[0.00000, 540.65127]","[0.00000, 844.14604]","[0.00000, 570.45251]","[0.00000, 425.55991]","[0.00000, 315.47076]","[0.00000, 191.69982]","[0.00000, 170.31161]"
"[11, 12]","[0.00000, 177.44135]","[0.00000, 234.20924]","[0.00000, 322.26086]","[0.00000, 427.11823]","[0.00000, 395.31037]","[0.00000, 365.41589]","[0.00000, 716.06178]","[0.00000, 494.08942]","[0.00000, 376.34770]","[0.00000, 268.63453]","[0.00000, 161.03327]","[0.00000, 138.58024]"
"[12, 13]","[0.00000, 153.25255]","[0.00000, 214.55697]","[0.00000, 298.52751]","[0.00000, 389.77617]","[0.00000, 342.72239]","[0.00000, 299.09355]","[0.00000, 623.81148]","[0.00000, 393.75491]","[0.00000, 339.13968]","[0.00000, 241.85920]","[0.00000, 145.53487]","[0.00000, 124.48354]"
"[13, 14]","[0.00000, 144.60215]","[0.00000, 201.84509]","[0.00000, 289.18356]","[0.00000, 382.81023]","[0.00000, 337.83814]","[0.00000, 315.81063]","[0.00000, 539.89457]","[0.00000, 370.37486]","[0.00000, 330.60139]","[0.00000, 241.15787]","[0.00000, 144.37059]","[0.00000, 121.91289]"
"[14, 15]","[0.00000, 140.76946]","[0.00000, 182.44624]","[0.00000, 263.65843]","[0.00000, 364.52356]","[0.00000, 343.44559]","[0.00000, 289.48509]","[0.00000, 477.26627]","[0.00000, 354.57579]","[0.00000, 370.92527]","[0.00000, 231.01377]","[0.00000, 132.45652]","[0.00000, 121.71278]"
"[15, 16]","[0.00000, 138.25997]","[0.00000, 174.30878]","[0.00000, 253.60955]","[0.00000, 349.44996]","[0.00000, 328.88063]","[0.00000, 303.04272]","[0.00000, 582.66073]","[0.00000, 352.32838]","[0.00000, 364.01354]","[0.00000, 219.25737]","[0.00000, 120.92577]","[0.00000, 115.33605]"
