,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 224.00499]","[0.00000, 245.16239]","[0.00000, 456.04412]","[0.00000, 469.89193]","[0.00000, 516.89118]","[0.00000, 619.91678]","[0.00000, 534.27872]","[0.00000, 1028.52030]","[0.00000, 845.97781]","[0.00000, 519.94721]","[0.00000, 261.66247]","[0.00000, 248.50393]"
"[7, 8]","[0.00000, 203.21737]","[0.00000, 226.11889]","[0.00000, 408.66728]","[0.00000, 427.76415]","[0.00000, 468.06542]","[0.00000, 582.74852]","[0.00000, 467.59242]","[0.00000, 945.77908]","[0.00000, 778.55288]","[0.00000, 491.72810]","[0.00000, 249.18011]","[0.00000, 227.33051]"
"[8, 9]","[0.00000, 192.05227]","[0.00000, 207.38640]","[0.00000, 376.49491]","[0.00000, 388.77587]","[0.00000, 443.23487]","[0.00000, 547.33409]","[0.00000, 439.59313]","[0.00000, 883.46310]","[0.00000, 728.65661]","[0.00000, 450.87419]","[0.00000, 224.78537]","[0.00000, 200.17524]"
"[9, 10]","[0.00000, 157.39075]","[0.00000, 195.55779]","[0.00000, 374.67803]","[0.00000, 408.99900]","[0.00000, 441.96222]","[0.00000, 508.12530]","[0.00000, 371.19032]","[0.00000, 771.89800]","[0.00000, 654.19938]","[0.00000, 408.22455]","[0.00000, 195.61577]","[0.00000, 169.73046]"
"[10, 11]","[0.00000, 147.88200]","[0.00000, 183.00955]","[0.00000, 346.63374]","[0.00000, 382.96945]","[0.00000, 411.43945]","[0.00000, 479.86527]","[0.00000, 384.02701]","[0.00000, 689.85107]","[0.00000, 601.71488]","[0.00000, 363.75902]","[0.00000, 171.50904]","[0.00000, 154.42805]"
"[11, 12]","[0.00000, 141.47262]","[0.00000, 186.03935]","[0.00000, 340.33750]","[0.00000, 394.69631]","[0.00000, 414.68273]","[0.00000, 463.21397]","[0.00000, 463.38761]","[0.00000, 688.14992]","[0.00000, 564.83815]","[0.00000, 336.17192]","[0.00000, 160.90387]","[0.00000, 142.22731]"
"[12, 13]","[0.00000, 142.05565]","[0.00000, 200.65535]","[0.00000, 326.13045]","[0.00000, 389.73385]","[0.00000, 420.98917]","[0.00000, 442.51671]","[0.00000, 435.61995]","[0.00000, 699.47190]","[0.00000, 547.71049]","[0.00000, 314.50604]","[0.00000, 165.75173]","[0.00000, 132.40576]"
"[13, 14]","[0.00000, 134.34078]","[0.00000, 200.73131]","[0.00000, 313.79621]","[0.00000, 369.82142]","[0.00000, 427.61832]","[0.00000, 438.55781]","[0.00000, 419.99222]","[0.00000, 692.63259]","[0.00000, 559.02181]","[0.00000, 309.50212]","[0.00000, 165.36274]","[0.00000, 122.30540]"
"[14, 15]","[0.00000, 126.73266]","[0.00000, 192.28026]","[0.00000, 297.97250]","[0.00000, 336.03217]","[0.00000, 373.11834]","[0.00000, 403.73153]","[0.00000, 398.49518]","[0.00000, 699.85366]","[0.00000, 563.83586]","[0.00000, 310.75994]","[0.00000, 152.46461]","[0.00000, 113.18511]"
"[15, 16]","[0.00000, 123.35029]","[0.00000, 178.58802]","[0.00000, 263.20025]","[0.00000, 289.23538]","[0.00000, 323.41097]","[0.00000, 305.48995]","[0.00000, 384.61665]","[0.00000, 649.94163]","[0.00000, 547.38864]","[0.00000, 286.43955]","[0.00000, 142.04347]","[0.00000, 112.84827]"
