,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 25]","[378.72, 411.21]","[369.71, 426.04]","[326.86, 441.31]","[341.12, 387.66]","[307.49, 414.30]","[228.21, 540.34]","[270.54, 571.81]","[237.28, 652.48]","[371.54, 507.05]","[326.95, 499.06]","[287.65, 492.13]","[331.84, 439.93]"
"[25, 35]","[373.31, 412.84]","[358.81, 408.64]","[333.59, 412.47]","[342.43, 385.70]","[332.95, 399.82]","[200.00, 654.15]","[234.19, 602.60]","[230.50, 663.05]","[345.66, 568.19]","[289.76, 602.87]","[269.76, 580.15]","[330.91, 480.18]"
"[35, 45]","[368.72, 406.32]","[372.68, 393.83]","[314.28, 466.62]","[264.16, 540.81]","[212.98, 623.72]","[200.00, 829.13]","[282.57, 653.93]","[215.65, 767.14]","[317.83, 676.24]","[217.73, 740.17]","[240.36, 648.05]","[238.81, 579.23]"
"[45, 55]","[344.42, 499.08]","[307.81, 502.71]","[268.29, 520.53]","[203.91, 568.30]","[339.76, 455.90]","[200.00, 883.58]","[337.89, 719.22]","[221.78, 984.75]","[363.25, 897.88]","[233.05, 961.21]","[262.81, 791.56]","[200.00, 728.08]"
"[55, 65]","[314.99, 615.16]","[240.66, 619.08]","[200.00, 637.01]","[333.55, 487.69]","[370.82, 505.82]","[200.00, 1074.39]","[348.54, 778.52]","[307.96, 933.86]","[390.90, 894.41]","[265.37, 978.98]","[328.88, 815.73]","[200.00, 871.73]"
"[65, 75]","[292.82, 698.81]","[210.42, 749.90]","[247.93, 704.98]","[212.44, 753.71]","[200.00, 853.63]","[200.00, 936.49]","[453.17, 830.37]","[339.73, 1059.12]","[456.42, 964.13]","[267.96, 1069.63]","[367.23, 830.51]","[200.00, 908.26]"
"[75, 85]","[293.14, 777.13]","[229.89, 774.22]","[200.00, 796.16]","[200.00, 821.31]","[200.00, 989.76]","[200.00, 1184.94]","[451.42, 867.60]","[410.41, 1039.02]","[512.30, 997.53]","[337.31, 1130.77]","[417.68, 925.28]","[200.00, 1011.73]"
"[85, 95]","[285.92, 759.60]","[341.17, 639.76]","[282.78, 768.85]","[306.03, 902.09]","[385.49, 979.83]","[200.00, 1353.37]","[560.04, 960.56]","[453.69, 1097.11]","[525.80, 1037.81]","[390.18, 1134.83]","[496.00, 906.21]","[213.31, 1002.21]"
"[95, 105]","[334.29, 792.78]","[381.35, 682.59]","[363.18, 780.07]","[296.85, 1014.60]","[336.70, 1141.58]","[200.00, 1450.39]","[645.72, 992.84]","[534.22, 1132.30]","[562.30, 1113.17]","[487.74, 1142.95]","[551.79, 947.21]","[263.41, 1039.44]"
"[105, 115]","[412.00, 814.44]","[394.61, 722.58]","[331.49, 759.05]","[282.98, 873.11]","[360.31, 938.66]","[200.00, 1464.07]","[619.70, 1031.70]","[554.52, 1206.85]","[605.03, 1176.32]","[547.42, 1160.99]","[609.43, 955.38]","[290.91, 1098.38]"
"[115, 150]","[385.67, 1017.01]","[361.25, 1000.19]","[356.31, 1080.68]","[471.25, 1104.45]","[482.25, 1224.49]","[200.00, 1857.29]","[722.76, 1126.84]","[616.17, 1273.96]","[609.84, 1295.95]","[637.61, 1221.39]","[644.21, 1084.42]","[416.55, 1132.85]"
"[150, 195]","[642.37, 1027.75]","[598.83, 1040.24]","[627.77, 1038.78]","[713.14, 1029.86]","[722.01, 1125.05]","[200.00, 2000.00]","[793.71, 1238.67]","[672.43, 1394.64]","[769.76, 1275.84]","[771.10, 1200.44]","[741.46, 1122.39]","[655.27, 1097.45]"
