,[1, 1],[2, 2],[3, 3],[4, 4],[5, 5],[6, 6],[7, 7],[8, 8],[9, 9],[10, 10],[11, 11],[12, 12]
[15, 25],[365.52, 418.58],[364.30, 398.30],[339.77, 421.97],[355.59, 411.29],[335.80, 435.39],[339.99, 442.83],[274.51, 539.01],[297.48, 563.06],[244.73, 657.21],[339.28, 572.51],[320.96, 561.01],[289.67, 540.12]
[25, 35],[366.14, 416.31],[367.97, 399.07],[336.78, 421.10],[348.93, 393.23],[331.17, 402.42],[288.49, 470.69],[296.98, 530.32],[210.26, 699.97],[200.00, 806.83],[342.60, 608.24],[296.75, 595.13],[277.26, 547.41]
[35, 45],[366.85, 416.89],[367.72, 389.77],[329.88, 442.28],[294.71, 511.52],[285.27, 558.80],[200.00, 692.99],[200.00, 755.41],[200.00, 799.66],[200.00, 943.89],[329.53, 684.55],[281.83, 663.97],[243.49, 611.56]
[45, 55],[332.86, 504.60],[358.96, 410.39],[288.27, 472.65],[338.41, 433.28],[275.42, 502.44],[271.06, 528.56],[228.31, 645.57],[200.00, 854.86],[200.00, 1084.81],[325.46, 847.74],[314.17, 793.20],[239.57, 729.28]
[55, 65],[222.45, 721.59],[372.76, 468.73],[200.00, 621.30],[307.61, 498.13],[316.10, 525.33],[292.36, 614.77],[252.65, 757.75],[200.00, 1078.07],[200.00, 1183.27],[353.43, 932.64],[332.28, 891.95],[200.00, 891.74]
[65, 75],[333.49, 688.74],[311.67, 564.87],[200.00, 676.84],[200.00, 725.62],[200.00, 804.64],[200.00, 1062.67],[200.00, 1026.71],[200.00, 1237.76],[200.00, 1255.19],[390.20, 1000.73],[386.84, 963.18],[236.43, 973.11]
[75, 85],[243.41, 870.79],[327.21, 671.31],[200.00, 792.08],[200.00, 829.20],[200.00, 920.77],[200.00, 1131.36],[237.51, 978.27],[200.00, 1380.52],[236.26, 1351.87],[508.57, 1138.23],[478.18, 1061.23],[316.17, 1006.96]
[85, 95],[340.38, 843.62],[333.20, 788.27],[334.27, 787.88],[315.43, 792.88],[419.04, 655.61],[200.00, 941.45],[382.98, 868.74],[200.85, 1300.73],[296.65, 1416.15],[576.87, 1174.36],[515.28, 1082.29],[330.72, 1030.83]
[95, 105],[496.26, 801.04],[449.53, 744.20],[380.61, 795.23],[255.67, 956.37],[200.00, 1108.79],[200.00, 1270.54],[395.45, 1082.20],[200.00, 1480.43],[340.84, 1401.14],[592.93, 1168.71],[557.15, 1100.83],[377.04, 1097.67]
[105, 115],[509.18, 784.83],[434.28, 749.82],[459.54, 787.52],[556.32, 833.90],[602.29, 898.52],[404.10, 1146.49],[626.19, 975.83],[200.42, 1515.32],[444.22, 1415.65],[645.05, 1274.94],[647.07, 1158.53],[439.21, 1109.51]
[115, 150],[487.70, 1090.21],[436.11, 1081.05],[401.99, 1140.05],[405.19, 1195.11],[387.78, 1259.30],[357.03, 1329.08],[579.48, 1173.03],[294.95, 1562.80],[473.44, 1483.92],[645.86, 1333.21],[661.63, 1226.17],[574.89, 1149.40]
[150, 195],[528.57, 1088.53],[525.21, 1256.17],[913.98, 1499.06],[200.00, 2000.00],[1015.43, 2000.00],[200.00, 2000.00],[471.46, 1742.81],[330.74, 1532.04],[479.10, 1477.77],[763.24, 1442.42],[824.55, 1383.80],[661.16, 1234.53]
