,[1, 1],[2, 2],[3, 3],[4, 4],[5, 5],[6, 6],[7, 7],[8, 8],[9, 9],[10, 10],[11, 11],[12, 12]
[15, 25],[289.55, 559.53],[250.94, 625.86],[293.85, 707.71],[200.00, 1467.72],[460.32, 861.37],[200.00, 1463.37],[423.06, 659.31],[319.94, 529.20],[201.83, 518.52],[200.00, 545.42],[273.53, 533.67],[308.30, 542.29]
[25, 35],[331.00, 614.27],[227.53, 748.35],[296.91, 737.37],[200.00, 1214.16],[459.78, 710.01],[200.00, 1263.11],[388.92, 575.05],[306.26, 480.91],[218.60, 470.11],[200.00, 523.96],[272.76, 532.75],[328.42, 568.70]
[35, 45],[382.35, 678.31],[200.00, 1137.56],[319.14, 788.22],[200.00, 1030.23],[422.83, 661.23],[200.00, 995.07],[278.98, 634.23],[320.29, 441.82],[252.78, 403.06],[200.00, 472.27],[270.07, 509.92],[350.90, 589.32]
[45, 55],[345.12, 671.94],[200.00, 1074.39],[291.46, 776.33],[200.00, 960.53],[425.94, 658.85],[200.00, 1028.61],[303.87, 602.92],[300.27, 441.95],[232.26, 398.23],[200.00, 466.67],[241.61, 516.16],[335.18, 574.68]
[55, 65],[350.85, 697.12],[200.00, 1202.04],[274.93, 839.52],[200.00, 923.27],[411.48, 642.74],[200.00, 939.68],[332.28, 534.35],[290.40, 443.13],[200.82, 444.40],[200.00, 483.14],[262.54, 503.79],[322.27, 598.75]
[65, 75],[346.64, 729.30],[200.00, 1157.67],[232.92, 893.35],[200.00, 887.14],[373.53, 678.41],[200.00, 936.56],[200.00, 808.68],[328.57, 484.07],[210.41, 479.48],[200.00, 513.08],[268.77, 481.39],[321.32, 600.86]
[75, 85],[260.59, 838.51],[200.00, 1235.60],[238.08, 926.37],[209.54, 896.43],[318.90, 733.59],[200.00, 893.33],[200.00, 804.55],[321.02, 488.39],[209.78, 485.86],[200.00, 537.13],[275.88, 479.38],[289.86, 641.98]
[85, 95],[204.92, 924.19],[200.00, 1256.54],[224.95, 945.79],[207.28, 895.94],[286.07, 774.45],[200.00, 894.58],[200.00, 797.44],[257.78, 629.88],[227.41, 535.53],[200.00, 594.39],[292.48, 495.13],[268.05, 693.64]
[95, 105],[229.49, 1007.80],[200.00, 1329.97],[201.68, 1042.52],[200.00, 977.74],[257.94, 855.65],[200.00, 927.75],[200.00, 824.28],[330.93, 537.98],[213.57, 552.41],[200.00, 665.19],[329.15, 555.32],[281.84, 796.74]
[105, 115],[200.00, 1055.45],[200.00, 1294.76],[348.57, 987.80],[302.56, 931.96],[339.42, 792.58],[200.00, 870.48],[222.39, 791.38],[285.96, 647.08],[201.79, 633.91],[200.00, 720.18],[306.81, 557.44],[286.22, 760.62]
[115, 150],[217.22, 1238.65],[283.57, 1275.86],[223.78, 1320.68],[380.11, 1066.88],[367.38, 962.28],[219.81, 1008.58],[229.11, 909.23],[282.91, 764.21],[200.00, 803.56],[200.00, 1009.82],[271.14, 806.25],[237.45, 1028.63]
[150, 195],[200.00, 2000.00],[200.00, 1876.26],[346.02, 1522.87],[400.95, 1364.83],[448.96, 1169.96],[323.77, 1146.62],[479.72, 870.33],[306.30, 971.16],[343.20, 926.13],[200.00, 1598.72],[200.00, 1388.28],[200.00, 1957.75]
