,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 25]","[8.04, 8.08]","[7.84, 8.31]","[8.05, 8.14]","[8.08, 8.13]","[8.06, 8.15]","[7.92, 8.25]","[7.88, 8.27]","[7.89, 8.24]","[8.06, 8.08]","[8.01, 8.14]","[7.97, 8.17]","[8.01, 8.12]"
"[25, 35]","[8.03, 8.10]","[8.06, 8.09]","[7.96, 8.22]","[8.07, 8.13]","[8.06, 8.13]","[7.92, 8.21]","[7.84, 8.23]","[7.79, 8.24]","[7.93, 8.09]","[7.87, 8.18]","[7.90, 8.18]","[7.96, 8.15]"
"[35, 45]","[8.02, 8.09]","[8.06, 8.09]","[8.05, 8.12]","[8.04, 8.14]","[8.02, 8.14]","[7.84, 8.25]","[7.85, 8.16]","[7.73, 8.21]","[7.84, 8.07]","[7.76, 8.17]","[7.84, 8.14]","[7.85, 8.20]"
"[45, 55]","[8.01, 8.08]","[8.05, 8.10]","[8.03, 8.14]","[8.02, 8.14]","[7.97, 8.13]","[7.81, 8.19]","[7.80, 8.10]","[7.70, 8.11]","[7.77, 8.03]","[7.69, 8.15]","[7.83, 8.09]","[7.78, 8.23]"
"[55, 65]","[7.96, 8.11]","[8.04, 8.09]","[8.00, 8.16]","[7.96, 8.16]","[7.92, 8.11]","[7.74, 8.17]","[7.68, 8.12]","[7.68, 8.05]","[7.70, 8.01]","[7.66, 8.11]","[7.82, 8.04]","[7.74, 8.23]"
"[65, 75]","[7.86, 8.16]","[7.96, 8.10]","[7.89, 8.18]","[7.86, 8.15]","[7.82, 8.11]","[7.74, 8.09]","[7.76, 7.97]","[7.67, 7.98]","[7.72, 7.91]","[7.64, 8.04]","[7.80, 7.98]","[7.69, 8.22]"
"[75, 85]","[7.78, 8.15]","[7.84, 8.15]","[7.80, 8.21]","[7.80, 8.16]","[7.76, 8.10]","[7.70, 8.03]","[7.70, 7.91]","[7.64, 7.92]","[7.66, 7.92]","[7.61, 8.04]","[7.78, 7.97]","[7.67, 8.18]"
"[85, 95]","[7.75, 8.10]","[7.76, 8.13]","[7.78, 8.12]","[7.76, 8.09]","[7.75, 8.03]","[7.70, 7.97]","[7.65, 7.92]","[7.62, 7.89]","[7.64, 7.87]","[7.59, 7.98]","[7.75, 7.91]","[7.65, 8.12]"
"[95, 105]","[7.72, 8.06]","[7.79, 8.03]","[7.76, 8.02]","[7.71, 8.01]","[7.70, 7.95]","[7.70, 7.88]","[7.65, 7.87]","[7.60, 7.88]","[7.63, 7.85]","[7.60, 7.93]","[7.72, 7.89]","[7.63, 8.08]"
"[105, 115]","[7.71, 8.01]","[7.76, 7.97]","[7.77, 7.93]","[7.69, 7.95]","[7.69, 7.90]","[7.69, 7.83]","[7.65, 7.82]","[7.57, 7.85]","[7.52, 7.90]","[7.58, 7.89]","[7.71, 7.86]","[7.62, 8.05]"
"[115, 150]","[7.69, 7.95]","[7.73, 7.92]","[7.73, 7.90]","[7.54, 8.03]","[7.67, 7.85]","[7.67, 7.81]","[7.45, 7.99]","[7.57, 7.86]","[7.57, 7.86]","[7.58, 7.89]","[7.69, 7.83]","[7.64, 7.95]"
"[150, 195]","[7.67, 7.87]","[7.71, 7.83]","[7.69, 7.84]","[7.47, 8.03]","[7.63, 7.81]","[7.64, 7.76]","[7.36, 8.00]","[7.54, 7.82]","[7.60, 7.78]","[7.58, 7.84]","[7.64, 7.82]","[7.66, 7.85]"
