,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 25]","[8.05, 8.10]","[8.06, 8.11]","[8.03, 8.16]","[8.08, 8.12]","[8.04, 8.14]","[7.82, 8.34]","[7.75, 8.40]","[7.92, 8.22]","[7.94, 8.19]","[8.00, 8.13]","[8.02, 8.12]","[8.00, 8.14]"
"[25, 35]","[7.99, 8.16]","[8.02, 8.14]","[8.04, 8.13]","[8.08, 8.10]","[7.94, 8.25]","[7.86, 8.32]","[7.88, 8.26]","[7.88, 8.22]","[7.82, 8.25]","[7.92, 8.15]","[7.95, 8.14]","[7.99, 8.14]"
"[35, 45]","[7.95, 8.21]","[8.01, 8.14]","[8.01, 8.14]","[8.07, 8.11]","[8.06, 8.16]","[7.57, 8.66]","[7.99, 8.18]","[7.80, 8.26]","[7.68, 8.29]","[7.81, 8.16]","[7.86, 8.18]","[7.93, 8.18]"
"[45, 55]","[7.97, 8.15]","[7.90, 8.24]","[8.00, 8.15]","[8.00, 8.14]","[7.98, 8.16]","[7.89, 8.21]","[7.80, 8.23]","[7.71, 8.23]","[7.58, 8.30]","[7.72, 8.16]","[7.75, 8.20]","[7.81, 8.23]"
"[55, 65]","[7.81, 8.26]","[7.94, 8.17]","[7.87, 8.23]","[7.95, 8.11]","[7.82, 8.23]","[7.82, 8.21]","[7.86, 8.12]","[7.62, 8.26]","[7.48, 8.32]","[7.63, 8.15]","[7.68, 8.17]","[7.69, 8.28]"
"[65, 75]","[7.77, 8.21]","[7.81, 8.20]","[7.74, 8.28]","[7.88, 8.14]","[7.89, 8.12]","[7.59, 8.37]","[7.78, 8.09]","[7.60, 8.17]","[7.42, 8.28]","[7.58, 8.12]","[7.64, 8.15]","[7.63, 8.26]"
"[75, 85]","[7.70, 8.18]","[7.71, 8.21]","[7.66, 8.25]","[7.81, 8.08]","[7.85, 8.01]","[7.74, 8.08]","[7.82, 7.96]","[7.54, 8.16]","[7.40, 8.25]","[7.57, 8.08]","[7.60, 8.11]","[7.57, 8.22]"
"[85, 95]","[7.67, 8.14]","[7.68, 8.13]","[7.67, 8.11]","[7.76, 7.99]","[7.76, 7.99]","[7.77, 7.98]","[7.70, 8.03]","[7.54, 8.13]","[7.38, 8.22]","[7.57, 8.01]","[7.59, 8.05]","[7.54, 8.20]"
"[95, 105]","[7.68, 8.05]","[7.68, 8.05]","[7.69, 8.01]","[7.76, 7.92]","[7.73, 7.93]","[7.74, 7.91]","[7.68, 7.94]","[7.55, 8.01]","[7.40, 8.13]","[7.57, 7.96]","[7.60, 8.00]","[7.52, 8.16]"
"[105, 115]","[7.68, 7.99]","[7.67, 8.00]","[7.69, 7.95]","[7.74, 7.88]","[7.75, 7.85]","[7.74, 7.86]","[7.69, 7.88]","[7.57, 7.97]","[7.42, 8.08]","[7.57, 7.94]","[7.61, 7.95]","[7.53, 8.09]"
"[115, 150]","[7.67, 7.93]","[7.66, 7.94]","[7.69, 7.88]","[7.62, 7.91]","[7.68, 7.84]","[7.72, 7.80]","[7.68, 7.83]","[7.55, 7.93]","[7.45, 8.00]","[7.55, 7.91]","[7.57, 7.93]","[7.57, 7.99]"
"[150, 195]","[7.62, 7.89]","[7.65, 7.88]","[7.67, 7.85]","[7.69, 7.79]","[7.67, 7.78]","[7.64, 7.79]","[7.59, 7.82]","[7.53, 7.86]","[7.49, 7.90]","[7.53, 7.87]","[7.55, 7.87]","[7.54, 7.93]"
